Directory,File Count
emergency sounds,0
emergency sounds/Battle cry,1501
emergency sounds/Vehicle horn,1501
emergency sounds/Scrape,1501
emergency sounds/Machine gun,1501
emergency sounds/Explosion,1501
emergency sounds/Train horn,1501
emergency sounds/Whip,1501
emergency sounds/Motor vehicle (road),1501
emergency sounds/Tire squeal,1501
emergency sounds/Alarm,1501
emergency sounds/Reversing beeps,1501
emergency sounds/Gunshot,1501
emergency sounds/Firecracker,1501
emergency sounds/Gasp,1501
emergency sounds/Screaming,1501
normal sounds,0
normal sounds/Tick,1501
normal sounds/Mechanisms,1501
normal sounds/Wind,1501
normal sounds/Generic impact sounds,1501
normal sounds/Female speech,1501
normal sounds/Bird vocalization,1501
normal sounds/Breathing,1501
normal sounds/Wind noise (microphone),1501
normal sounds/Human voice,1501
normal sounds/Child speech,1501
normal sounds/Walk,1501
normal sounds/Tap,1501
normal sounds/Surface contact,1501
normal sounds/Sound effect,1501
normal sounds/Male speech,1501
normal sounds/Background noise,1501
normal sounds/Laughter,1501
normal sounds/Music,1501
