File Name,File Path,Parent Folder
n8D4rTJ-1E4.m4a,emergency sounds/Battle cry/n8D4rTJ-1E4.m4a,Battle cry
n8D4rTJ-1E4.m4a,normal sounds/Background noise/n8D4rTJ-1E4.m4a,Background noise
nEahTzq1wQY.webm,emergency sounds/Battle cry/nEahTzq1wQY.webm,Battle cry
nEahTzq1wQY.webm,normal sounds/Laughter/nEahTzq1wQY.webm,Laughter
2MjwmFnXCeY.webm,emergency sounds/Battle cry/2MjwmFnXCeY.webm,Battle cry
2MjwmFnXCeY.webm,emergency sounds/Vehicle horn/2MjwmFnXCeY.webm,Vehicle horn
2MjwmFnXCeY.webm,emergency sounds/Motor vehicle (road)/2MjwmFnXCeY.webm,Motor vehicle (road)
2MjwmFnXCeY.webm,emergency sounds/Firecracker/2MjwmFnXCeY.webm,Firecracker
74ho3u1Xa5Y.m4a,emergency sounds/Battle cry/74ho3u1Xa5Y.m4a,Battle cry
74ho3u1Xa5Y.m4a,normal sounds/Wind/74ho3u1Xa5Y.m4a,Wind
D99-noYPOUM.m4a,emergency sounds/Battle cry/D99-noYPOUM.m4a,Battle cry
D99-noYPOUM.m4a,normal sounds/Laughter/D99-noYPOUM.m4a,Laughter
60V2yF0BhUY.webm,emergency sounds/Battle cry/60V2yF0BhUY.webm,Battle cry
60V2yF0BhUY.webm,normal sounds/Tick/60V2yF0BhUY.webm,Tick
60V2yF0BhUY.webm,normal sounds/Music/60V2yF0BhUY.webm,Music
K45ISAM6g5o.m4a,emergency sounds/Battle cry/K45ISAM6g5o.m4a,Battle cry
K45ISAM6g5o.m4a,normal sounds/Human voice/K45ISAM6g5o.m4a,Human voice
oyQYavkMfGk.m4a,emergency sounds/Battle cry/oyQYavkMfGk.m4a,Battle cry
oyQYavkMfGk.m4a,emergency sounds/Gasp/oyQYavkMfGk.m4a,Gasp
-bOmOinDpPo.m4a,emergency sounds/Battle cry/-bOmOinDpPo.m4a,Battle cry
-bOmOinDpPo.m4a,normal sounds/Music/-bOmOinDpPo.m4a,Music
I3tsPWybQRI.webm,emergency sounds/Battle cry/I3tsPWybQRI.webm,Battle cry
I3tsPWybQRI.webm,emergency sounds/Scrape/I3tsPWybQRI.webm,Scrape
GCmrXfNcdEg.webm,emergency sounds/Battle cry/GCmrXfNcdEg.webm,Battle cry
GCmrXfNcdEg.webm,normal sounds/Tap/GCmrXfNcdEg.webm,Tap
kEou6SMZuHM.m4a,emergency sounds/Battle cry/kEou6SMZuHM.m4a,Battle cry
kEou6SMZuHM.m4a,normal sounds/Human voice/kEou6SMZuHM.m4a,Human voice
kEou6SMZuHM.m4a,normal sounds/Music/kEou6SMZuHM.m4a,Music
9L9XJAwCV10.m4a,emergency sounds/Battle cry/9L9XJAwCV10.m4a,Battle cry
9L9XJAwCV10.m4a,normal sounds/Male speech/9L9XJAwCV10.m4a,Male speech
9L9XJAwCV10.m4a,normal sounds/Music/9L9XJAwCV10.m4a,Music
zcF9cWL9dxo.m4a,emergency sounds/Battle cry/zcF9cWL9dxo.m4a,Battle cry
zcF9cWL9dxo.m4a,normal sounds/Walk/zcF9cWL9dxo.m4a,Walk
ff3rZjZY3WE.m4a,emergency sounds/Battle cry/ff3rZjZY3WE.m4a,Battle cry
ff3rZjZY3WE.m4a,emergency sounds/Screaming/ff3rZjZY3WE.m4a,Screaming
ff3rZjZY3WE.m4a,normal sounds/Female speech/ff3rZjZY3WE.m4a,Female speech
ff3rZjZY3WE.m4a,normal sounds/Human voice/ff3rZjZY3WE.m4a,Human voice
ff3rZjZY3WE.m4a,normal sounds/Child speech/ff3rZjZY3WE.m4a,Child speech
ff3rZjZY3WE.m4a,normal sounds/Male speech/ff3rZjZY3WE.m4a,Male speech
KKeIl1L0EAc.m4a,emergency sounds/Battle cry/KKeIl1L0EAc.m4a,Battle cry
KKeIl1L0EAc.m4a,emergency sounds/Motor vehicle (road)/KKeIl1L0EAc.m4a,Motor vehicle (road)
KKeIl1L0EAc.m4a,normal sounds/Walk/KKeIl1L0EAc.m4a,Walk
--PMnfMhn1A.m4a,emergency sounds/Battle cry/--PMnfMhn1A.m4a,Battle cry
--PMnfMhn1A.m4a,emergency sounds/Vehicle horn/--PMnfMhn1A.m4a,Vehicle horn
4CpHdjRouKw.m4a,emergency sounds/Battle cry/4CpHdjRouKw.m4a,Battle cry
4CpHdjRouKw.m4a,normal sounds/Wind/4CpHdjRouKw.m4a,Wind
4CpHdjRouKw.m4a,normal sounds/Human voice/4CpHdjRouKw.m4a,Human voice
4CpHdjRouKw.m4a,normal sounds/Walk/4CpHdjRouKw.m4a,Walk
