 segment_id,start_time_seconds,end_time_seconds
zfI3S4Pgqg0_5000,0.0,9.002
1xkIrZWnqMI_1000,0.067,9.101
sP1Z-CPJfmM_30000,5.218,10.0
xitOXLtQ7yA_10000,9.911,10.0
-ZQyOHRlm8k_30000,2.526,4.274
a43rlA1JJfo_30000,7.246,7.778
CSrYYxsMRrg_0,0.0,10.0
V2FuraJKqPI_180000,0.41,10.0
EJrdkGLf0hU_30000,2.004,10.0
dneg2OTx8Qs_20000,0.948,1.143
dneg2OTx8Qs_20000,1.289,1.46
dneg2OTx8Qs_20000,1.614,2.183
dneg2OTx8Qs_20000,2.914,2.995
dneg2OTx8Qs_20000,3.084,3.149
dneg2OTx8Qs_20000,3.255,3.32
dneg2OTx8Qs_20000,3.417,3.482
dneg2OTx8Qs_20000,3.58,3.726
dneg2OTx8Qs_20000,3.897,4.035
dneg2OTx8Qs_20000,4.213,4.278
dneg2OTx8Qs_20000,4.376,4.425
dneg2OTx8Qs_20000,4.538,4.603
dneg2OTx8Qs_20000,4.709,4.766
dneg2OTx8Qs_20000,5.497,5.578
dneg2OTx8Qs_20000,5.659,5.749
dneg2OTx8Qs_20000,5.822,5.903
dneg2OTx8Qs_20000,6.001,6.074
dneg2OTx8Qs_20000,6.171,6.325
dneg2OTx8Qs_20000,6.488,6.634
dneg2OTx8Qs_20000,6.813,6.878
dneg2OTx8Qs_20000,6.959,7.057
dneg2OTx8Qs_20000,7.154,7.211
dneg2OTx8Qs_20000,7.3,7.373
ASqPH436kTo_0,0.0,0.307
ASqPH436kTo_0,0.832,1.344
4Qya4ch1qho_30000,9.803,10.0
eGaQqpi2_Mc_20000,5.024,5.583
8YzPGD6srLg_22000,2.172,8.211
QNiBnMlfT2U_20000,0.0,10.0
--OMDPXfO6o_9000,0.0,9.785
Kdoepth5luc_26000,8.299,9.378
0ZPafgZftWk_80000,0.0,10.0
HjwDaIoNbKg_10000,0.0,0.567
HjwDaIoNbKg_10000,0.89,1.858
HjwDaIoNbKg_10000,2.142,3.11
HjwDaIoNbKg_10000,3.362,4.362
HjwDaIoNbKg_10000,4.598,5.307
HjwDaIoNbKg_10000,8.165,8.465
2LW-pin9aW8_28000,0.0,9.222
Wcu3nUmWr6A_30000,9.939,10.0
2cLoIAMnddw_10000,0.0,10.0
8xu6MU5Mxwg_170000,0.0,7.992
8xu6MU5Mxwg_170000,8.315,9.165
8xu6MU5Mxwg_170000,9.315,10.0
3C9gbaFQJ1w_30000,2.189,2.625
vN7dJyt-nj0_20000,0.0,10.0
xaW1JoI4R1Q_100000,0.166,0.359
xaW1JoI4R1Q_100000,0.487,0.704
xaW1JoI4R1Q_100000,0.845,1.024
xaW1JoI4R1Q_100000,1.152,1.357
8a9U6xOH5DM_150000,7.554,10.0
6OcRbc4cDo0_50000,1.385,3.785
n5txG3WfhWQ_20000,0.0,0.389
n5txG3WfhWQ_20000,0.8,2.053
n5txG3WfhWQ_20000,2.495,3.768
1Hf_1QejY4I_10000,2.101,2.532
1Hf_1QejY4I_10000,3.076,3.531
1Hf_1QejY4I_10000,4.092,4.522
