 segment_id,start_time_seconds,end_time_seconds
oVwT5cKlQNk_0,2.019,8.85
9L9XJAwCV10_210000,2.814,4.221
9L9XJAwCV10_210000,6.298,8.172
9L9XJAwCV10_210000,9.18,10.0
n8D4rTJ-1E4_190000,7.845,10.0
kEou6SMZuHM_180000,0.0,10.0
fesAqrGTu5w_0,0.066,1.255
fesAqrGTu5w_0,1.456,3.081
fesAqrGTu5w_0,3.33,6.539
fesAqrGTu5w_0,6.732,8.102
fesAqrGTu5w_0,8.33,9.858
ff3rZjZY3WE_10000,7.859,9.536
4CpHdjRouKw_30000,0.849,5.516
4CpHdjRouKw_30000,5.818,6.705
556JYoU2eD0_10000,0.0,2.189
556JYoU2eD0_10000,2.875,7.21
-bOmOinDpPo_5000,1.078,1.718
-bOmOinDpPo_5000,8.036,9.077
KcTpuLlCpuA_90000,0.0,10.0
zgDY6ROov5E_30000,2.134,9.48
EUqzwQrx9jg_220000,9.173,10.0
4gqkPW31DgE_250000,0.0,1.755
4gqkPW31DgE_250000,1.892,3.475
60V2yF0BhUY_1000,0.307,3.92
60V2yF0BhUY_1000,4.077,4.553
60V2yF0BhUY_1000,4.739,5.242
60V2yF0BhUY_1000,5.465,8.978
BevtKv5gVNE_17000,0.0,9.345
DZ738XJ-f6o_10000,0.0,0.608
DZ738XJ-f6o_10000,2.24,3.581
DZ738XJ-f6o_10000,5.438,7.228
Ms24Yu3FxSU_130000,3.344,3.639
Ms24Yu3FxSU_130000,3.804,4.127
Ms24Yu3FxSU_130000,4.292,4.622
Ms24Yu3FxSU_130000,4.773,5.021
Ms24Yu3FxSU_130000,5.186,5.516
Ms24Yu3FxSU_130000,5.674,5.969
Ms24Yu3FxSU_130000,6.148,7.866
Ms24Yu3FxSU_130000,8.052,8.313
Ms24Yu3FxSU_130000,8.485,8.773
Ms24Yu3FxSU_130000,8.938,9.282
Ms24Yu3FxSU_130000,9.454,9.701
eJRxB2EvJos_50000,0.0,3.905
eJRxB2EvJos_50000,7.122,10.0
54tYla7YbjQ_30000,0.0,2.004
KvP1sayctY4_8000,2.742,9.554
YtArsyw7X2E_170000,0.0,10.0
e05b1gQl_tk_240000,2.266,3.628
e05b1gQl_tk_240000,3.987,5.737
e05b1gQl_tk_240000,6.275,10.0
9a8eza-EovA_20000,0.0,1.096
9a8eza-EovA_20000,1.241,4.313
9a8eza-EovA_20000,4.505,5.165
9a8eza-EovA_20000,5.344,7.467
9a8eza-EovA_20000,7.66,10.0
4dEZAYbtAYA_30000,0.0,0.734
4dEZAYbtAYA_30000,0.998,2.729
4dEZAYbtAYA_30000,2.924,6.03
4dEZAYbtAYA_30000,6.216,9.086
4dEZAYbtAYA_30000,9.312,10.0
GCmrXfNcdEg_30000,0.0,10.0
0Zh8HjR0CbM_25000,0.0,0.614
0Zh8HjR0CbM_25000,0.795,1.457
0Zh8HjR0CbM_25000,1.575,2.039
0Zh8HjR0CbM_25000,2.22,2.693
0Zh8HjR0CbM_25000,2.929,3.425
0Zh8HjR0CbM_25000,3.709,4.22
0Zh8HjR0CbM_25000,4.543,5.142
0Zh8HjR0CbM_25000,5.323,5.906
0Zh8HjR0CbM_25000,6.126,6.496
0Zh8HjR0CbM_25000,7.417,7.945
0Zh8HjR0CbM_25000,8.268,8.701
0Zh8HjR0CbM_25000,8.969,9.472
0Zh8HjR0CbM_25000,9.732,10.0
BTtNRh47vsY_120000,1.681,2.622
BTtNRh47vsY_120000,6.299,7.261
BTtNRh47vsY_120000,9.591,10.0
7MOiiUZjIzE_30000,3.339,3.906
6Hjpz5DMhdc_40000,0.0,10.0
8F7sX99uUf8_6000,4.774,6.574
8F7sX99uUf8_6000,6.74,7.599
K45ISAM6g5o_10000,0.294,1.076
s9IS_lGiKaA_110000,0.012,8.066
s9IS_lGiKaA_110000,9.011,10.0
5ov55LD9-UQ_13000,0.0,9.344
vUKNIP40res_50000,0.0,0.859
vUKNIP40res_50000,1.593,2.672
vUKNIP40res_50000,3.214,4.121
vUKNIP40res_50000,4.725,5.687
vUKNIP40res_50000,6.401,7.397
P07aAfPANgg_0,0.173,0.425
P07aAfPANgg_0,0.638,1.882
P07aAfPANgg_0,2.063,3.236
P07aAfPANgg_0,3.441,4.787
P07aAfPANgg_0,5.008,6.244
P07aAfPANgg_0,6.449,7.661
P07aAfPANgg_0,7.827,9.126
P07aAfPANgg_0,9.425,10.0
NSbbjT8gpW8_230000,0.0,0.509
NSbbjT8gpW8_230000,1.143,10.0
lktgB-_ZZbo_120000,0.933,2.573
lktgB-_ZZbo_120000,3.085,3.868
lktgB-_ZZbo_120000,4.643,5.613
lktgB-_ZZbo_120000,6.125,6.93
lktgB-_ZZbo_120000,7.63,8.382
lktgB-_ZZbo_120000,9.097,10.0
OCSLh3Oncmw_30000,5.749,6.431
OCSLh3Oncmw_30000,6.878,7.503
OCSLh3Oncmw_30000,7.999,8.608
OCSLh3Oncmw_30000,8.836,10.0
M6rXbTuTx3s_25000,0.0,1.963
M6rXbTuTx3s_25000,4.35,7.148
74ho3u1Xa5Y_20000,2.425,4.346
74ho3u1Xa5Y_20000,7.409,9.409
zcF9cWL9dxo_60000,5.952,7.268
zcF9cWL9dxo_60000,9.104,10.0
3CUMnFYQU0o_10000,0.0,1.741
3CUMnFYQU0o_10000,3.316,4.917
3CUMnFYQU0o_10000,6.351,10.0
qdmKt-mIE08_60000,0.0,10.0
N_Hla0UHSgE_240000,0.979,2.402
N_Hla0UHSgE_240000,3.433,4.931
N_Hla0UHSgE_240000,6.086,7.474
N_Hla0UHSgE_240000,8.567,9.701
QGZ4Ow9QSVM_13000,2.673,6.582
4pOXLwUbe88_10000,2.457,3.047
4pOXLwUbe88_10000,4.354,5.094
4pOXLwUbe88_10000,5.339,6.244
4pOXLwUbe88_10000,6.362,7.102
4pOXLwUbe88_10000,7.307,8.205
4pOXLwUbe88_10000,8.386,9.094
4pOXLwUbe88_10000,9.181,9.85
SJM_Cbu1nmI_30000,0.0,2.792
