 segment_id,start_time_seconds,end_time_seconds
3tDgrjEX1mE_30000,0.379,2.962
3tDgrjEX1mE_30000,3.385,4.644
3tDgrjEX1mE_30000,5.944,7.122
3tDgrjEX1mE_30000,8.438,9.006
hkVoq1bU4Pk_290000,2.879,6.745
UkPpEhnr8mg_30000,0.0,9.476
CfEHqU1Tq-4_30000,0.14,1.397
CfEHqU1Tq-4_30000,1.746,2.282
YVJh-Uj9OBo_30000,0.258,0.498
YVJh-Uj9OBo_30000,1.557,2.024
YVJh-Uj9OBo_30000,2.382,3.516
dw1VYxCa_Bw_30000,0.0,10.0
dw1VYxCa_Bw_30000,0.0,10.0
RpFDag_WTi4_30000,6.886,10.0
Gou4PoO6R14_150000,2.28,4.546
FigQcqOinD4_0,8.63,8.73
h7oUH_Pl_Is_0,6.684,8.787
E0aHOpSmsjA_350000,1.609,2.919
ChzE0kLWsFE_9000,0.0,1.985
ChzE0kLWsFE_9000,6.034,7.454
aUEhd0opNDc_30000,1.463,2.786
SkDsOd8avIk_10000,6.626,9.079
T-xts_QpxKk_70000,6.171,8.909
lJzdhrY3ZHs_2000,4.582,5.166
pVcW5x2Xbeg_20000,1.859,3.736
cdH4AuHpJjY_10000,1.037,7.698
SrdQNUWX0B8_0,0.037,8.235
R-YPHXNgnfM_30000,6.22,7.071
RH2inNvNIlE_10000,0.0,10.0
3o-nfj_8WwY_190000,6.755,7.248
3o-nfj_8WwY_190000,9.794,10.0
DOo0-_IFdw8_30000,9.274,10.0
50sN7LzDzqE_30000,8.602,10.0
dTR8LIZwFl8_0,6.421,7.784
9HVnVotaTdY_8000,0.763,6.545
z9WHMx78BSc_30000,0.0,3.706
z9WHMx78BSc_30000,4.755,9.012
VpI4_rfg2yY_80000,5.509,6.787
VpI4_rfg2yY_80000,7.777,8.505
-QWAZRrgu4A_30000,9.595,10.0
hYK1iRaNkcw_50000,3.56,4.648
qZVlAi_KqBo_30000,6.753,7.742
rlWeOZ_NXxs_30000,3.688,7.196
Y-2pnodFNaI_350000,0.0,2.696
RIeWYi9ZmkE_40000,3.393,5.388
TwJ395KoLh4_23000,6.269,8.232
uuVxcOmS3is_30000,3.715,5.369
SQE2239zRH0_30000,6.261,7.167
AMEqb9PcW_c_20000,6.402,10.0
tlSuLvSQqmI_11000,5.66,9.088
FsxBcvfLVZE_380000,1.046,2.144
CPbqvVooEC0_30000,0.0,10.0
MHehl3QtRPU_2000,2.943,7.4
ZL-c-0D_LIk_310000,4.89,6.622
ZL-c-0D_LIk_310000,8.601,9.577
anOnnI--NbQ_110000,8.142,10.0
odMuGQyhwJY_80000,8.056,9.663
UhkpQE4uLYY_150000,8.581,10.0
doGIJUigwm4_250000,1.851,10.0
8UCas1-M3eU_1000,3.338,8.348
ZAQYio8faHA_30000,3.331,8.449
Zdh74aCKZQ4_30000,5.868,9.116
W2552XOV7_o_5000,0.0,1.979
B-hjLsC30Tc_40000,4.638,5.85
TMBhHjxwm_Q_590000,8.058,8.638
TMBhHjxwm_Q_590000,8.873,9.98
OFG1-bkR7a8_0,6.152,10.0
OqzNbzR1nEY_30000,0.0,10.0
d02IZaFdIvk_0,2.014,3.078
qGE8Ls7V3Fs_19000,0.614,3.86
qGE8Ls7V3Fs_19000,8.256,9.115
Jq4ocF3ciyI_0,0.103,0.525
Jq4ocF3ciyI_0,3.069,3.719
Jq4ocF3ciyI_0,4.382,5.282
Jq4ocF3ciyI_0,5.772,6.171
