 segment_id,start_time_seconds,end_time_seconds
KcgMyfsPYEA_20000,0.434,1.204
KcgMyfsPYEA_20000,2.102,2.842
KcgMyfsPYEA_20000,3.695,3.979
KcgMyfsPYEA_20000,4.218,7.12
pWQwgHZgnqo_0,3.604,10.0
8bHF08-vDfs_20000,9.299,9.787
XVOseMmE5i4_260000,0.0,1.687
XVOseMmE5i4_260000,2.881,3.32
XVOseMmE5i4_260000,3.832,4.124
fo0EBnM1Pd0_150000,0.0,0.692
fo0EBnM1Pd0_150000,0.986,1.407
fo0EBnM1Pd0_150000,1.618,2.634
fo0EBnM1Pd0_150000,2.912,5.267
h1g2jAT-QyU_10000,0.0,10.0
LQ1yuxtn4dg_10000,0.0,5.768
LQ1yuxtn4dg_10000,7.36,7.891
LQ1yuxtn4dg_10000,9.232,10.0
tbMcCNoAiOc_380000,0.0,10.0
jeRHfzfR5jA_0,6.628,8.383
jeRHfzfR5jA_0,9.495,10.0
0BsDSnkkEKI_30000,8.805,10.0
AkMDZYZraRo_310000,2.879,10.0
-lX6k3KrDJY_30000,0.0,2.309
-lX6k3KrDJY_30000,3.387,10.0
f-XyvH4RX2c_30000,0.735,1.567
f-XyvH4RX2c_30000,1.799,2.088
f-XyvH4RX2c_30000,2.337,10.0
L-LCOvA-T8U_150000,2.54,3.433
L-LCOvA-T8U_150000,5.797,10.0
W3hmHCYWBlU_10000,0.0,10.0
66g5MZ252T8_50000,3.952,4.995
Cgb-g6Zur98_60000,5.913,6.591
nVz-pqYlsJ8_0,0.017,10.0
DQkQZaH592g_0,0.035,10.0
OE3wwY1uPzw_110000,0.0,10.0
XfGjHrnMGHE_0,0.465,6.496
ZVvwj2Pqr3I_30000,3.465,10.0
xLyAnvpXtT0_40000,2.357,10.0
bN5Y5miUBIE_30000,0.0,1.896
bN5Y5miUBIE_30000,2.137,3.093
bN5Y5miUBIE_30000,3.303,4.485
bN5Y5miUBIE_30000,4.635,4.823
bN5Y5miUBIE_30000,4.981,5.418
bN5Y5miUBIE_30000,5.598,6.84
bN5Y5miUBIE_30000,7.148,7.75
bN5Y5miUBIE_30000,8.194,9.285
bN5Y5miUBIE_30000,9.481,10.0
3f6MhTCSGaE_1000,3.73,6.389
Nizyd0VH05A_100000,0.0,10.0
viB7-87WT2U_160000,0.015,10.0
k4Tc1TjSC00_40000,0.0,10.0
PuCDouEKGd8_20000,0.0,10.0
SCIbrMs-G2k_30000,0.0,10.0
Y0P1S-mEMR4_30000,0.0,5.674
Y0P1S-mEMR4_30000,8.732,10.0
6FMXF7JvxQg_170000,3.695,4.793
6FMXF7JvxQg_170000,5.658,6.539
6FMXF7JvxQg_170000,7.306,7.577
6FMXF7JvxQg_170000,7.795,8.179
6FMXF7JvxQg_170000,8.367,10.0
muNZxQqWnt0_20000,0.0,4.415
muNZxQqWnt0_20000,4.518,4.885
muNZxQqWnt0_20000,5.39,5.826
muNZxQqWnt0_20000,5.952,6.778
muNZxQqWnt0_20000,6.892,7.248
muNZxQqWnt0_20000,7.42,7.718
muNZxQqWnt0_20000,7.833,8.268
eN-IPGM6kYg_20000,8.335,9.255
wf57lUIx8ME_90000,0.293,1.543
wf57lUIx8ME_90000,2.19,2.664
wf57lUIx8ME_90000,2.927,3.687
wf57lUIx8ME_90000,4.695,5.388
wf57lUIx8ME_90000,6.148,6.704
wf57lUIx8ME_90000,7.382,8.458
wf57lUIx8ME_90000,8.879,9.293
wf57lUIx8ME_90000,9.819,10.0
E4ll9ObqVV4_70000,0.0,0.34
E4ll9ObqVV4_70000,0.483,1.588
E4ll9ObqVV4_70000,1.912,2.273
E4ll9ObqVV4_70000,3.001,3.744
E4ll9ObqVV4_70000,3.893,6.134
E4ll9ObqVV4_70000,6.219,10.0
n4vTFORcrJw_270000,6.913,7.181
dx9emuX_5jw_30000,0.0,1.048
dx9emuX_5jw_30000,3.364,5.413
dx9emuX_5jw_30000,7.532,9.534
juvkFEsIvr0_40000,0.0,10.0
HOGVnlZ-jt0_30000,1.679,6.301
HOGVnlZ-jt0_30000,6.537,10.0
HiWLW88p7MU_6000,5.323,5.754
a8TfMzAAvo8_80000,0.0,10.0
faoV3ciQcQA_0,7.685,10.0
4lndrReF5y4_30000,0.0,0.314
4lndrReF5y4_30000,1.045,1.224
4lndrReF5y4_30000,1.589,2.329
UwW9GhFHWEg_30000,0.0,10.0
97k2LP-xyl8_30000,0.015,10.0
DgzwB7oyzyw_200000,0.34,1.165
DgzwB7oyzyw_200000,1.516,1.777
DgzwB7oyzyw_200000,2.093,2.299
DgzwB7oyzyw_200000,2.526,3.227
DgzwB7oyzyw_200000,3.591,3.825
DgzwB7oyzyw_200000,4.175,4.437
DgzwB7oyzyw_200000,4.711,5.138
DgzwB7oyzyw_200000,5.9,6.691
DgzwB7oyzyw_200000,7.818,9.083
JzJib8i_kBM_20000,0.623,1.354
JzJib8i_kBM_20000,2.077,2.629
JzJib8i_kBM_20000,3.011,3.734
JzJib8i_kBM_20000,4.1,5.448
JzJib8i_kBM_20000,5.952,6.918
JzJib8i_kBM_20000,7.495,7.698
JzJib8i_kBM_20000,8.031,8.763
JzJib8i_kBM_20000,9.282,10.0
qfdbc2iY4HI_120000,3.224,3.966
thCZyybf18Q_180000,3.612,5.128
thCZyybf18Q_180000,6.235,6.359
thCZyybf18Q_180000,6.56,6.767
thCZyybf18Q_180000,7.838,9.461
0poMyUX8Jvk_230000,0.0,10.0
MUJeGObgANw_60000,3.91,6.417
bRHCkNymdlw_0,3.205,3.857
MVDZbYCQNEI_2000,1.342,3.672
MVDZbYCQNEI_2000,6.008,7.186
if_ZyvQ0zPw_190000,0.0,0.581
if_ZyvQ0zPw_190000,1.804,4.526
if_ZyvQ0zPw_190000,5.303,6.622
if_ZyvQ0zPw_190000,6.828,7.591
if_ZyvQ0zPw_190000,8.065,10.0
FIRfLnbSbMY_0,8.734,10.0
BjK-QrjWJfQ_20000,6.184,6.774
_ijy2fXY9po_70000,0.0,10.0
630hI-8bPko_250000,0.0,10.0
Lgx1AK6VpfM_0,9.692,10.0
merc1uMs5K8_30000,0.0,0.677
merc1uMs5K8_30000,1.307,2.167
merc1uMs5K8_30000,2.271,2.683
merc1uMs5K8_30000,2.89,3.991
merc1uMs5K8_30000,4.117,4.587
merc1uMs5K8_30000,5.218,6.892
merc1uMs5K8_30000,7.122,10.0
Fk0T8mIKoNw_110000,0.0,3.73
Fk0T8mIKoNw_110000,4.58,10.0
Cnmbo5vlAbQ_0,0.068,1.4
Cnmbo5vlAbQ_0,1.588,2.265
Cnmbo5vlAbQ_0,2.483,3.326
Cnmbo5vlAbQ_0,5.199,5.508
Cnmbo5vlAbQ_0,6.02,6.336
Cnmbo5vlAbQ_0,7.457,7.667
