 segment_id,start_time_seconds,end_time_seconds
vNuO2muCeNo_0,1.646,1.898
vNuO2muCeNo_0,4.803,5.283
vNuO2muCeNo_0,6.11,6.417
vNuO2muCeNo_0,8.118,8.48
FUNlb0qViSE_10000,3.04,3.344
vCF-KWMXhSc_150000,4.715,5.146
_n3EwOztt-c_10000,4.701,5.074
VZxbU4YvbgU_40000,1.955,2.263
VZxbU4YvbgU_40000,6.159,6.606
ftUJsscRpEU_30000,7.087,7.431
i13woB5tvQE_30000,2.225,2.466
i13woB5tvQE_30000,6.296,6.628
i13woB5tvQE_30000,9.484,9.748
0-mP1PhqBLA_60000,2.074,2.446
0-mP1PhqBLA_60000,4.75,5.237
WhCFv8s2gjM_3000,1.403,1.752
WhCFv8s2gjM_3000,2.589,3.149
DsBUJquZ6po_0,4.278,4.579
DsBUJquZ6po_0,8.21,8.486
Ao0n1cqfFDw_20000,1.477,1.767
Ao0n1cqfFDw_20000,3.081,3.413
dp1uFuH3VsY_40000,7.263,7.765
JjUjPRH9pa0_140000,3.79,3.956
JjUjPRH9pa0_140000,6.709,6.94
dcy3L3JRMcc_430000,1.914,2.475
dcy3L3JRMcc_430000,4.449,4.701
dcy3L3JRMcc_430000,5.334,5.578
dcy3L3JRMcc_430000,9.031,9.266
iMHgNZ6KoIE_290000,0.275,0.768
kR2f1XYlWms_0,0.493,0.86
kR2f1XYlWms_0,6.95,7.294
kR2f1XYlWms_0,8.945,9.3
-VbTE2bPuyw_210000,1.736,2.34
-VbTE2bPuyw_210000,3.096,3.777
4LocIx9ISpE_80000,9.589,9.865
zvI0DL8hl14_30000,2.125,2.753
zvI0DL8hl14_30000,3.777,4.673
zvI0DL8hl14_30000,6.376,7.337
zvI0DL8hl14_30000,8.988,9.91
Vs0dGCtO5xQ_10000,3.424,3.644
8a9U6xOH5DM_150000,2.241,2.433
8a9U6xOH5DM_150000,3.508,3.764
8a9U6xOH5DM_150000,5.032,5.339
4aY_7fnm5oA_0,7.695,8.991
a_La3oXEbTw_17000,6.969,7.976
ql2X0iGDZdo_13000,7.841,8.409
NWDD0tyIKr8_130000,3.944,4.545
NWDD0tyIKr8_130000,7.631,8.028
OhgHggnmTAg_40000,0.875,1.07
OhgHggnmTAg_40000,5.911,6.196
OhgHggnmTAg_40000,9.161,9.323
oSZYvnJWBxw_40000,5.122,5.467
abTPRP0_F-A_180000,3.337,3.612
r3H6hLhD_UM_220000,4.165,4.701
r3H6hLhD_UM_220000,5.684,5.968
BXjBA4-RVIM_30000,4.976,5.252
5F_r79N3Q_w_270000,9.674,10.0
sEKnPvV0Fgo_13000,8.612,8.951
NVfYZ5UdQiI_20000,3.856,4.067
IlhvbAGAYog_100000,0.516,0.677
IlhvbAGAYog_100000,0.963,1.147
IlhvbAGAYog_100000,6.548,6.938
IJKcD7SJm_k_490000,5.665,6.181
_LwBb_IsG5g_30000,1.249,1.514
YzWLvywRB7I_7000,0.51,1.841
YzWLvywRB7I_7000,3.718,4.841
Ch0LMmhBUg4_260000,4.289,4.635
jfoEJIgOIpg_30000,2.557,2.913
jfoEJIgOIpg_30000,7.122,7.523
KO0qe-3anLw_100000,2.727,3.409
FiZ5zSINfNA_30000,3.888,4.343
FiZ5zSINfNA_30000,6.504,6.789
FiZ5zSINfNA_30000,9.193,9.551
sArGQfiV2Ro_400000,5.819,6.0
SQE2239zRH0_30000,8.658,9.025
_Fdo-H_1qZo_220000,2.459,2.849
_Fdo-H_1qZo_220000,7.016,7.333
qmiJxajaB5s_0,4.181,4.367
qmiJxajaB5s_0,8.865,9.073
UAzCkCIa3Dw_70000,1.742,2.008
UAzCkCIa3Dw_70000,2.134,2.742
UAzCkCIa3Dw_70000,4.069,4.551
UAzCkCIa3Dw_70000,5.677,6.018
UAzCkCIa3Dw_70000,6.514,6.826
UAzCkCIa3Dw_70000,7.826,8.264
UAzCkCIa3Dw_70000,9.123,9.412
baEcAQMwRo4_30000,3.854,4.456
FCjUlxwb2iQ_160000,0.0,0.257
3zs3wVcFfvU_30000,0.55,0.849
3zs3wVcFfvU_30000,5.482,5.768
3zs3wVcFfvU_30000,7.798,8.062
6N2oLlvGmXo_22000,9.157,9.431
Bp_MtY2LITA_30000,0.615,0.896
Bp_MtY2LITA_30000,5.839,6.21
ZuPoOHCdvUw_230000,9.464,10.0
--9oYufMS_k_0,0.396,1.088
ToP-cdb4LNA_280000,0.077,0.282
ToP-cdb4LNA_280000,1.972,2.407
ToP-cdb4LNA_280000,3.188,3.47
9hpAYu9J7ec_110000,9.623,10.0
2DoU2LKmH_I_30000,6.171,6.374
2DoU2LKmH_I_30000,8.73,8.925
_GI7meqlYZk_30000,2.817,3.111
_GI7meqlYZk_30000,5.659,5.89
gtIGv-nfQkQ_0,2.452,2.825
Z3jbrc6Ym30_50000,3.635,4.163
Vp0szRGcquk_60000,4.929,5.48
2k6u_IlnbME_100000,7.99,8.796
yOzHKJ9dHBc_80000,4.052,4.382
LhpHdLZwc48_120000,2.438,2.763
ukGLlPje4jA_140000,8.052,8.23
CJQ321KcA_Q_80000,2.996,3.214
x9vxPUVx40Y_30000,4.211,4.472
x9vxPUVx40Y_30000,4.971,5.108
x9vxPUVx40Y_30000,6.677,6.914
x9vxPUVx40Y_30000,8.932,9.281
Yp-KcwOsFNw_90000,6.663,7.023
Yp-KcwOsFNw_90000,8.475,8.911
e5ttSYXvblM_50000,5.547,6.022
AanVp17FYeQ_410000,4.136,4.558
KDZvJY7j588_240000,2.922,3.19
q436dArlWp0_30000,0.883,1.533
x3NR8J_F4xA_250000,2.989,3.324
bHO9S_z91dU_290000,5.531,5.8
Vq1ML8W-XWw_20000,7.452,8.091
3EOMe7CsL30_10000,0.063,0.354
Dlp5acsuPkM_17000,3.226,3.645
1yimvaW1so4_10000,7.354,7.827
HucapaDsAhg_110000,2.546,2.967
zztvx3WUBss_30000,4.709,5.087
G69phlNIvmU_100000,0.134,0.457
k5F_ZkTjqYY_480000,7.869,8.145
4T2KBwRxi_g_520000,1.543,1.803
4T2KBwRxi_g_520000,4.228,4.457
4T2KBwRxi_g_520000,6.74,7.213
4T2KBwRxi_g_520000,9.244,9.504
0akxVo5_W5k_520000,0.249,0.485
s6WdJ9vrA4E_0,3.831,4.064
