 segment_id,start_time_seconds,end_time_seconds
aCNk-6UiGLI_100000,8.454,9.319
aANx5lIAkeI_150000,8.056,9.097
GXQWgHBe6Y0_30000,5.299,6.142
GXQWgHBe6Y0_30000,6.827,8.047
VXq7gPVi5Po_2000,7.187,7.442
9elyrAhNzS8_140000,9.764,10.0
49qnHwM3ms8_30000,2.787,2.981
49qnHwM3ms8_30000,3.202,3.534
49qnHwM3ms8_30000,5.401,6.446
HwBWMWW2Phg_410000,9.197,10.0
sNSHV8zlddE_220000,1.421,2.085
sNSHV8zlddE_220000,2.195,2.857
sNSHV8zlddE_220000,4.102,4.853
eBiM8S755gs_220000,1.435,3.872
HP4pdYya5YA_50000,0.64,1.091
HP4pdYya5YA_50000,2.039,2.889
HP4pdYya5YA_50000,3.574,4.628
HP4pdYya5YA_50000,6.321,7.276
HP4pdYya5YA_50000,7.682,8.766
pvLbIw5FBiI_130000,0.0,1.224
pvLbIw5FBiI_130000,8.056,9.25
E0aHOpSmsjA_350000,5.228,5.614
OX9HvIixzZU_170000,5.636,6.095
URrMKZ4jVwI_310000,8.559,9.15
JQj7ABTIxLE_30000,0.273,0.419
JQj7ABTIxLE_30000,0.571,0.737
JQj7ABTIxLE_30000,0.84,0.986
JQj7ABTIxLE_30000,1.103,1.228
JQj7ABTIxLE_30000,1.484,1.629
JQj7ABTIxLE_30000,1.85,1.975
JQj7ABTIxLE_30000,3.06,3.261
JQj7ABTIxLE_30000,3.551,3.842
JQj7ABTIxLE_30000,4.741,4.948
JQj7ABTIxLE_30000,5.903,6.041
JQj7ABTIxLE_30000,6.525,6.774
JQj7ABTIxLE_30000,7.044,7.189
JQj7ABTIxLE_30000,7.327,7.604
JQj7ABTIxLE_30000,7.811,8.51
JQj7ABTIxLE_30000,8.904,9.319
JQj7ABTIxLE_30000,9.596,10.0
yB4GnuNxL2w_330000,2.394,6.78
uRjqSSLsbDA_120000,7.73,9.395
uRjqSSLsbDA_120000,9.546,10.0
r0BK6IPSr2g_10000,0.068,0.188
r0BK6IPSr2g_10000,0.444,0.64
r0BK6IPSr2g_10000,1.016,1.234
r0BK6IPSr2g_10000,1.467,1.708
r0BK6IPSr2g_10000,2.039,2.25
r0BK6IPSr2g_10000,2.476,2.664
r0BK6IPSr2g_10000,3.01,3.198
r0BK6IPSr2g_10000,4.251,4.447
r0BK6IPSr2g_10000,4.673,4.898
r0BK6IPSr2g_10000,5.207,5.448
adb8gCSmNac_200000,0.837,1.067
adb8gCSmNac_200000,1.158,3.016
adb8gCSmNac_200000,6.239,6.628
adb8gCSmNac_200000,7.374,7.81
adb8gCSmNac_200000,7.913,8.291
adb8gCSmNac_200000,8.383,10.0
GmsjWV9O-YU_160000,0.867,1.654
GmsjWV9O-YU_160000,2.02,2.426
GmsjWV9O-YU_160000,4.002,4.969
GmsjWV9O-YU_160000,5.911,6.179
GmsjWV9O-YU_160000,6.39,6.715
GmsjWV9O-YU_160000,7.365,8.373
RCEBJCXKcWA_0,7.098,7.518
ieW_9Jeanag_20000,5.424,5.562
ieW_9Jeanag_20000,5.773,5.919
ieW_9Jeanag_20000,6.074,6.293
ieW_9Jeanag_20000,6.478,6.725
ieW_9Jeanag_20000,8.787,9.087
ieW_9Jeanag_20000,9.248,9.737
owkQPR4r-uc_30000,0.692,1.084
owkQPR4r-uc_30000,1.392,1.512
owkQPR4r-uc_30000,1.701,1.964
owkQPR4r-uc_30000,2.144,2.476
owkQPR4r-uc_30000,2.679,3.062
owkQPR4r-uc_30000,3.266,3.476
owkQPR4r-uc_30000,3.582,3.762
owkQPR4r-uc_30000,3.845,4.063
owkQPR4r-uc_30000,4.176,4.748
owkQPR4r-uc_30000,4.868,5.38
owkQPR4r-uc_30000,5.561,5.899
owkQPR4r-uc_30000,6.027,6.336
owkQPR4r-uc_30000,6.584,6.734
owkQPR4r-uc_30000,7.916,8.044
owkQPR4r-uc_30000,8.856,9.007
owkQPR4r-uc_30000,9.18,9.669
owkQPR4r-uc_30000,9.925,10.0
PBtZcja7ops_10000,0.444,10.0
qu9o3lUB_ac_30000,1.526,1.874
qu9o3lUB_ac_30000,2.116,2.811
qu9o3lUB_ac_30000,5.211,6.937
3i0DMLppaH0_10000,0.557,1.42
3i0DMLppaH0_10000,5.804,7.413
3i0DMLppaH0_10000,7.613,8.644
3i0DMLppaH0_10000,8.906,10.0
aDI74K42qao_10000,3.091,3.627
La6-3zEojGM_30000,0.619,1.284
La6-3zEojGM_30000,3.234,3.888
bh0304cIxic_30000,1.272,1.738
bh0304cIxic_30000,5.711,6.336
bh0304cIxic_30000,7.908,8.691
UgDkZLMTXmY_110000,8.676,9.404
R8ZR2oRs98U_16000,0.0,2.668
R8ZR2oRs98U_16000,2.807,3.588
R8ZR2oRs98U_16000,3.704,4.81
R8ZR2oRs98U_16000,4.964,5.622
R8ZR2oRs98U_16000,5.738,6.055
R8ZR2oRs98U_16000,6.302,6.526
3nttMKsXNuY_440000,0.0,0.314
3nttMKsXNuY_440000,4.912,5.651
NvrHo7-Vaow_300000,1.928,2.56
NvrHo7-Vaow_300000,4.086,4.622
NvrHo7-Vaow_300000,5.165,5.653
NvrHo7-Vaow_300000,7.22,7.777
NvrHo7-Vaow_300000,9.199,9.454
NvrHo7-Vaow_300000,9.639,10.0
FDfBtNQIRRk_270000,0.457,0.945
FDfBtNQIRRk_270000,1.787,2.205
FDfBtNQIRRk_270000,3.11,3.638
FDfBtNQIRRk_270000,4.016,4.866
FDfBtNQIRRk_270000,5.724,6.205
imftPC_UXws_80000,0.379,1.939
d1WQTeT1-B8_490000,6.14,6.727
d1WQTeT1-B8_490000,6.96,8.157
d1WQTeT1-B8_490000,9.075,9.496
ymBgUPkMM48_0,3.174,3.369
ymBgUPkMM48_0,3.515,3.799
ymBgUPkMM48_0,4.116,4.286
ymBgUPkMM48_0,4.425,4.636
ymBgUPkMM48_0,4.847,5.091
ymBgUPkMM48_0,5.359,6.171
ymBgUPkMM48_0,6.301,6.569
pessGI6rgmU_70000,8.463,9.255
jXW8JH1lT4s_30000,3.669,6.179
jXW8JH1lT4s_30000,7.447,8.584
kygLqrGPRyg_410000,0.0,0.588
kygLqrGPRyg_410000,7.907,8.23
kygLqrGPRyg_410000,8.959,9.248
kygLqrGPRyg_410000,9.653,10.0
gd8V7gK5aG8_30000,3.124,4.127
qoT3LnnDZWg_30000,1.681,1.969
qoT3LnnDZWg_30000,2.835,3.144
qoT3LnnDZWg_30000,4.196,4.629
qoT3LnnDZWg_30000,7.557,7.88
Z5sUXGGLnI8_520000,7.837,10.0
-DLL8LaKq-c_19000,0.224,0.964
8eQxKfJApNM_10000,0.856,0.999
8eQxKfJApNM_10000,1.255,1.455
8eQxKfJApNM_10000,1.74,1.954
8eQxKfJApNM_10000,2.91,3.409
8eQxKfJApNM_10000,4.051,4.265
8eQxKfJApNM_10000,4.508,4.708
8eQxKfJApNM_10000,4.85,5.05
8eQxKfJApNM_10000,6.091,6.262
8eQxKfJApNM_10000,6.419,6.605
8eQxKfJApNM_10000,6.805,6.947
8eQxKfJApNM_10000,7.104,7.275
8eQxKfJApNM_10000,7.475,7.66
8eQxKfJApNM_10000,8.417,8.616
8eQxKfJApNM_10000,8.802,8.973
8eQxKfJApNM_10000,9.215,9.387
a50D7Bx5m2E_30000,0.0,0.755
h2z9qQ6hc44_80000,1.2,3.052
N1Cdp1ihSqQ_150000,8.181,8.598
hv-2gmj2OO0_70000,0.184,1.598
hv-2gmj2OO0_70000,5.383,7.706
hYK1iRaNkcw_50000,2.843,3.342
hYK1iRaNkcw_50000,5.173,5.493
hYK1iRaNkcw_50000,5.647,6.159
qZVlAi_KqBo_30000,4.093,4.354
qZVlAi_KqBo_30000,4.526,4.732
qZVlAi_KqBo_30000,4.876,5.124
4hew3HeE1LI_0,0.546,1.083
4hew3HeE1LI_0,3.062,3.303
CqXVwTkTZtM_30000,7.047,8.102
D7eyHBIlIRg_340000,0.918,1.082
D7eyHBIlIRg_340000,1.643,1.807
w6tjCd5sFX0_10000,0.013,0.525
w6tjCd5sFX0_10000,1.088,1.383
w6tjCd5sFX0_10000,1.805,2.279
w6tjCd5sFX0_10000,3.214,3.649
w6tjCd5sFX0_10000,5.301,5.672
w6tjCd5sFX0_10000,7.657,8.067
I9sJIXIVfEQ_30000,8.175,8.407
Y-2pnodFNaI_350000,2.709,2.919
Y-2pnodFNaI_350000,3.101,3.352
GgQwZVQ4G54_10000,5.32,5.46
cv6z7fr9MWc_70000,0.07,0.753
cv6z7fr9MWc_70000,0.915,1.435
cv6z7fr9MWc_70000,5.042,10.0
JW_iifaWBMg_460000,0.0,1.533
JW_iifaWBMg_460000,2.662,3.417
JW_iifaWBMg_460000,6.277,6.715
JW_iifaWBMg_460000,9.071,10.0
Wl1bOlfU9XI_180000,9.669,9.835
UgTkiY6iF90_50000,4.11,4.645
UgTkiY6iF90_50000,5.402,5.867
UgTkiY6iF90_50000,6.042,6.554
UgTkiY6iF90_50000,7.555,8.149
RIeWYi9ZmkE_40000,1.519,3.166
uuVxcOmS3is_30000,2.857,3.403
QFCpZ4ygdkE_390000,0.218,0.602
QFCpZ4ygdkE_390000,2.51,2.983
QFCpZ4ygdkE_390000,5.621,6.056
QFCpZ4ygdkE_390000,8.284,8.745
3h7aihOKzb4_0,8.583,9.15
pkQcg0PFv0w_500000,2.946,4.448
X28eFNTHSGQ_20000,0.256,0.512
X28eFNTHSGQ_20000,1.344,1.549
X28eFNTHSGQ_20000,2.497,2.727
X28eFNTHSGQ_20000,3.47,3.764
