 segment_id,start_time_seconds,end_time_seconds
aANx5lIAkeI_150000,9.156,10.0
zl_8NDANRbY_0,3.303,8.157
K0NX5GmC2M0_110000,2.266,6.415
K0NX5GmC2M0_110000,7.644,9.68
DMXZ31lpI3Y_0,2.43,4.496
DMXZ31lpI3Y_0,6.22,8.385
1YYhDn819qM_340000,7.161,7.484
gwWfVEvOPhk_510000,0.03,0.704
gwWfVEvOPhk_510000,1.825,2.101
gwWfVEvOPhk_510000,3.677,3.97
gwWfVEvOPhk_510000,4.36,4.579
gwWfVEvOPhk_510000,5.383,5.692
gwWfVEvOPhk_510000,6.098,6.39
gwWfVEvOPhk_510000,6.732,10.0
c9OnubhhvZY_0,1.91,2.429
c9OnubhhvZY_0,2.983,5.592
c9OnubhhvZY_0,6.986,8.639
3BbjWM5htKY_260000,4.047,5.543
3BbjWM5htKY_260000,5.961,7.457
3BbjWM5htKY_260000,8.48,9.433
RXPHkrxBE8M_40000,5.367,8.616
PKEhOxE-Ovs_130000,0.417,2.669
PKEhOxE-Ovs_130000,5.843,9.15
I57XQS1aN6s_30000,0.768,6.461
gAZapNkFX-Q_29000,0.0,2.197
Lc3dw7qVRZE_360000,1.5,6.472
Lc3dw7qVRZE_360000,6.983,10.0
Ay69HNc7nyQ_11000,0.0,6.33
rlnY_yrBX_8_210000,0.526,1.268
rlnY_yrBX_8_210000,1.488,2.045
-Th_4dhrDaM_9000,4.228,6.798
CbwhFdAKzTQ_10000,1.121,2.862
CbwhFdAKzTQ_10000,5.969,7.207
GCvuGb_MtC8_80000,4.568,5.55
GCvuGb_MtC8_80000,5.75,6.995
8XalIJP9taw_0,4.904,10.0
kn0FT7Msebc_10000,0.656,1.885
kn0FT7Msebc_10000,3.296,10.0
lcBelXHMI40_20000,0.233,1.445
lcBelXHMI40_20000,1.701,3.725
E_xyG1m1GIM_130000,0.439,2.749
E_xyG1m1GIM_130000,3.365,3.703
E_xyG1m1GIM_130000,6.56,9.609
Ux5hHB0Mz0M_110000,5.282,6.855
1BSOODa1_58_480000,0.186,0.71
1BSOODa1_58_480000,1.234,4.82
1BSOODa1_58_480000,5.355,6.17
1BSOODa1_58_480000,6.321,7.334
1BSOODa1_58_480000,7.486,9.197
1BSOODa1_58_480000,9.43,10.0
0pVe2oKebWI_240000,0.251,1.887
0pVe2oKebWI_240000,2.093,2.684
0pVe2oKebWI_240000,2.835,3.598
0pVe2oKebWI_240000,3.756,5.103
0pVe2oKebWI_240000,5.282,6.505
0pVe2oKebWI_240000,6.67,10.0
w6tjCd5sFX0_10000,1.14,1.626
w6tjCd5sFX0_10000,1.754,5.032
w6tjCd5sFX0_10000,5.915,6.479
w6tjCd5sFX0_10000,6.697,7.401
w6tjCd5sFX0_10000,8.182,9.731
d3Qa52sNxzA_60000,7.945,9.039
WlQV-e1c1Xo_0,4.515,5.26
ZL-c-0D_LIk_310000,0.196,2.272
T90QKR6gaPU_110000,0.405,1.912
T90QKR6gaPU_110000,3.614,4.526
T90QKR6gaPU_110000,5.937,6.961
odMuGQyhwJY_80000,9.476,10.0
Nmw__dmj8oQ_150000,1.272,2.105
Nmw__dmj8oQ_150000,4.725,6.027
Nmw__dmj8oQ_150000,6.102,7.311
Nmw__dmj8oQ_150000,7.374,7.895
Nmw__dmj8oQ_150000,7.958,9.104
Nmw__dmj8oQ_150000,9.173,9.653
Nmw__dmj8oQ_150000,9.728,10.0
WDw78Cc-Zbk_30000,8.254,10.0
B-hjLsC30Tc_40000,0.0,2.693
B-hjLsC30Tc_40000,2.819,3.362
B-hjLsC30Tc_40000,4.26,4.488
B-hjLsC30Tc_40000,5.85,7.37
B-hjLsC30Tc_40000,7.724,8.071
TMBhHjxwm_Q_590000,1.378,2.302
TMBhHjxwm_Q_590000,2.495,3.489
TMBhHjxwm_Q_590000,3.938,5.118
TMBhHjxwm_Q_590000,5.58,6.14
TMBhHjxwm_Q_590000,6.795,7.361
TMBhHjxwm_Q_590000,7.541,7.934
y93cZqNCtks_470000,0.126,1.983
y93cZqNCtks_470000,6.662,8.142
KiHrPn5ojy4_500000,2.847,8.502
sTV-djV7AZY_9000,0.58,0.847
sTV-djV7AZY_9000,1.091,2.077
sTV-djV7AZY_9000,2.471,2.749
sTV-djV7AZY_9000,3.04,3.283
sTV-djV7AZY_9000,3.759,3.991
sTV-djV7AZY_9000,4.142,4.443
sTV-djV7AZY_9000,5.29,5.51
sTV-djV7AZY_9000,5.812,6.787
sTV-djV7AZY_9000,7.181,7.459
sTV-djV7AZY_9000,7.738,7.993
sTV-djV7AZY_9000,8.48,8.724
sTV-djV7AZY_9000,8.863,9.153
3bghjgcp4VA_19000,8.363,9.42
