 segment_id,start_time_seconds,end_time_seconds
k7G2ZfLeHOQ_30000,0.0,10.0
_-c2pttdt5g_30000,0.0,10.0
-Azy5tTojZU_30000,0.0,10.0
dIUthrXjhGM_30000,0.0,10.0
HJUunmkMLto_30000,0.0,10.0
1bkViuvwnPY_0,0.061,9.009
80tRDZ6c6SI_30000,0.0,10.0
_pXtEUeDXFk_30000,0.0,10.0
Cn2i5v4AGwQ_30000,0.0,10.0
eBiM8S755gs_220000,0.0,10.0
U-rMLpfjRkU_40000,0.0,10.0
PE-U8iMqwho_80000,0.0,10.0
58VC2k91-xg_30000,0.0,10.0
CXKupPWwO_A_30000,0.0,7.723
M8s5FCErKbM_30000,0.0,10.0
-12Z-4hvmyU_350000,0.0,7.741
-12Z-4hvmyU_350000,8.028,10.0
Ugz49bOoJTA_30000,0.008,10.0
--IVng5n_Mw_15000,0.0,9.009
7c29dbjnENA_20000,6.724,9.139
2hCUJuC5Ylw_30000,2.123,7.528
MeOxRGaws04_30000,0.0,10.0
Q7fBGvCgBmc_19000,0.0,9.932
PqRCeWcQUKQ_30000,5.024,10.0
9cUOBSF8bMg_290000,0.0,10.0
j39HHZPOcb4_19000,0.0,9.05
dMh2j7XvR5w_12000,0.0,8.659
P8qwxffsYRc_6000,0.0,1.064
P8qwxffsYRc_6000,2.555,8.057
ls6KWdtakb8_30000,0.0,10.0
1qfc5nr634U_24000,0.0,9.855
iKdk9FUEadk_80000,0.0,10.0
0SYAvZHJjNY_210000,0.0,10.0
OctCucatrYc_400000,0.0,10.0
2wWs7MLxbTk_30000,0.0,10.0
wQNQWCmyhdk_30000,0.0,10.0
tB0jUW8ztxM_200000,0.0,10.0
Dq07rzGO2HY_30000,0.0,10.0
HRfiTwvYsWE_30000,7.557,10.0
nPAlZLOrXqI_90000,0.0,10.0
cEYTFXmU2c4_10000,0.0,10.0
5SRNNTAxvMQ_30000,0.0,10.0
a1Y4OEadVZ0_30000,0.0,10.0
iCWnx2fFdHU_30000,0.0,10.0
GFJLOlXL3o0_30000,0.0,10.0
Fr4sultk3N8_40000,1.871,10.0
ZdIZ_xlEFdg_60000,0.0,10.0
94pLN9sZIXA_2000,0.0,9.401
TsPKAj8O5M8_0,0.0,10.0
x2UbAkwEVMU_80000,0.0,10.0
Zw1uBiq-ptM_30000,0.0,10.0
