 segment_id,start_time_seconds,end_time_seconds
vygkCMBTYvE_30000,4.354,4.787
vygkCMBTYvE_30000,5.055,5.48
vygkCMBTYvE_30000,5.787,6.354
vygkCMBTYvE_30000,6.52,6.984
vygkCMBTYvE_30000,7.197,7.654
C6j2yKszjOI_30000,0.233,0.798
C6j2yKszjOI_30000,1.129,1.701
fMHAwcF181g_30000,0.0,0.361
fMHAwcF181g_30000,0.643,1.138
fMHAwcF181g_30000,1.492,1.914
fMHAwcF181g_30000,2.247,2.597
fMHAwcF181g_30000,3.06,3.474
fMHAwcF181g_30000,4.018,4.36
fMHAwcF181g_30000,4.587,5.229
fMHAwcF181g_30000,5.513,5.976
fMHAwcF181g_30000,6.407,6.699
fMHAwcF181g_30000,7.057,7.529
fMHAwcF181g_30000,7.885,8.34
fMHAwcF181g_30000,8.738,8.99
fMHAwcF181g_30000,9.477,9.867
3Hap-Y1gubg_180000,0.538,0.81
3Hap-Y1gubg_180000,0.921,1.296
3Hap-Y1gubg_180000,1.421,1.687
3Hap-Y1gubg_180000,1.863,2.106
3Hap-Y1gubg_180000,2.246,2.578
3Hap-Y1gubg_180000,4.89,5.177
3Hap-Y1gubg_180000,5.354,5.604
3Hap-Y1gubg_180000,5.818,6.039
3Hap-Y1gubg_180000,6.193,6.458
3Hap-Y1gubg_180000,6.701,6.996
nR8ImcFVc_I_30000,3.668,3.966
HHVl52FQcNE_240000,0.452,0.916
HHVl52FQcNE_240000,1.241,1.693
HHVl52FQcNE_240000,2.008,2.488
HHVl52FQcNE_240000,2.78,3.232
HHVl52FQcNE_240000,3.58,4.032
HHVl52FQcNE_240000,4.363,4.782
HHVl52FQcNE_240000,5.113,5.565
HHVl52FQcNE_240000,5.869,6.349
HHVl52FQcNE_240000,6.751,7.11
HHVl52FQcNE_240000,7.397,7.75
HHVl52FQcNE_240000,8.163,8.665
HHVl52FQcNE_240000,9.735,9.95
GeZ9RIpmzdA_50000,0.179,0.497
GeZ9RIpmzdA_50000,0.775,1.105
GeZ9RIpmzdA_50000,1.353,1.567
GeZ9RIpmzdA_50000,2.643,2.886
GeZ9RIpmzdA_50000,3.222,3.407
GeZ9RIpmzdA_50000,3.858,4.222
GeZ9RIpmzdA_50000,4.459,4.685
GeZ9RIpmzdA_50000,5.119,5.414
GeZ9RIpmzdA_50000,5.755,6.084
GeZ9RIpmzdA_50000,6.345,6.663
GeZ9RIpmzdA_50000,6.952,7.287
GeZ9RIpmzdA_50000,7.6,7.895
GeZ9RIpmzdA_50000,8.178,8.456
GeZ9RIpmzdA_50000,8.768,9.109
-zxrdL6MlKI_30000,9.693,10.0
yjYKy4vJmlM_30000,9.094,10.0
3G7gM5LY7_8_30000,0.0,0.15
3G7gM5LY7_8_30000,0.488,0.921
3G7gM5LY7_8_30000,1.323,1.803
3G7gM5LY7_8_30000,2.15,2.567
3G7gM5LY7_8_30000,7.315,7.567
3G7gM5LY7_8_30000,7.976,8.417
3G7gM5LY7_8_30000,8.772,9.276
3G7gM5LY7_8_30000,9.606,10.0
KhRL1BVQtR0_410000,0.322,1.062
KhRL1BVQtR0_410000,1.338,2.023
KhRL1BVQtR0_410000,2.286,2.95
KhRL1BVQtR0_410000,3.206,3.911
KhRL1BVQtR0_410000,4.243,4.879
KhRL1BVQtR0_410000,5.239,5.965
KhRL1BVQtR0_410000,6.172,6.961
KhRL1BVQtR0_410000,7.147,7.867
KhRL1BVQtR0_410000,8.157,8.821
KhRL1BVQtR0_410000,9.132,9.775
7-Av6xmDe6c_30000,9.033,9.656
7-Av6xmDe6c_30000,9.796,10.0
9pBkYsPSzIU_30000,0.647,1.414
9pBkYsPSzIU_30000,2.293,2.638
9pBkYsPSzIU_30000,3.136,3.724
-FWkB2IDMhc_30000,0.031,0.205
-FWkB2IDMhc_30000,0.465,1.331
-FWkB2IDMhc_30000,1.52,2.134
-FWkB2IDMhc_30000,2.693,3.181
-FWkB2IDMhc_30000,3.78,4.102
-FWkB2IDMhc_30000,4.701,5.394
-FWkB2IDMhc_30000,5.685,6.346
-FWkB2IDMhc_30000,7.787,8.142
-FWkB2IDMhc_30000,8.654,8.921
-FWkB2IDMhc_30000,9.677,9.984
58vHfXUn3Gk_230000,2.817,3.227
58vHfXUn3Gk_230000,3.47,3.79
6CcQg_JiDW4_30000,2.78,3.268
6CcQg_JiDW4_30000,3.614,4.173
6CcQg_JiDW4_30000,4.48,4.961
6CcQg_JiDW4_30000,5.315,5.819
6CcQg_JiDW4_30000,6.173,6.661
6CcQg_JiDW4_30000,7.0,7.551
6CcQg_JiDW4_30000,7.874,8.354
6CcQg_JiDW4_30000,8.685,9.252
6CcQg_JiDW4_30000,9.567,10.0
qkZbN1nezLk_30000,6.006,6.608
M0tz6oMxqds_30000,4.47,5.199
M0tz6oMxqds_30000,7.681,8.653
M0tz6oMxqds_30000,8.918,9.706
yAq2pniNsfA_240000,4.787,8.432
y2dtIido3JU_30000,9.488,10.0
k573n_W1doI_140000,0.57,2.67
w-EUHuTK0DM_30000,3.95,4.477
w-EUHuTK0DM_30000,4.929,5.538
w-EUHuTK0DM_30000,5.989,6.584
w-EUHuTK0DM_30000,7.048,7.645
w-EUHuTK0DM_30000,8.15,8.653
w-EUHuTK0DM_30000,9.217,9.436
906wkL_jMKo_30000,0.183,0.677
906wkL_jMKo_30000,0.952,1.479
906wkL_jMKo_30000,1.697,2.259
906wkL_jMKo_30000,2.477,2.913
906wkL_jMKo_30000,3.28,3.75
906wkL_jMKo_30000,4.025,4.599
906wkL_jMKo_30000,4.782,5.252
906wkL_jMKo_30000,5.585,6.089
906wkL_jMKo_30000,6.491,6.869
906wkL_jMKo_30000,7.144,7.695
906wkL_jMKo_30000,7.936,8.417
906wkL_jMKo_30000,8.704,9.197
h4ZyeDWJ8Wk_30000,0.0,0.405
h4ZyeDWJ8Wk_30000,0.737,1.124
h4ZyeDWJ8Wk_30000,1.29,1.684
h4ZyeDWJ8Wk_30000,1.857,2.223
YhjEQrboW_M_30000,0.181,0.73
YhjEQrboW_M_30000,1.196,1.67
YhjEQrboW_M_30000,2.235,2.777
YhjEQrboW_M_30000,3.243,3.777
YhjEQrboW_M_30000,4.289,4.808
YhjEQrboW_M_30000,5.192,5.764
YhjEQrboW_M_30000,6.253,6.749
YhjEQrboW_M_30000,7.231,7.78
YhjEQrboW_M_30000,8.217,8.736
YhjEQrboW_M_30000,9.217,9.782
bE2KZveD5Q4_60000,0.239,0.626
bE2KZveD5Q4_60000,0.861,1.276
bE2KZveD5Q4_60000,1.643,1.975
bE2KZveD5Q4_60000,2.334,2.763
bE2KZveD5Q4_60000,3.06,3.427
bE2KZveD5Q4_60000,3.759,3.987
bE2KZveD5Q4_60000,4.506,4.741
bE2KZveD5Q4_60000,5.253,5.611
bE2KZveD5Q4_60000,5.887,6.163
bE2KZveD5Q4_60000,7.333,7.666
8G3BkCpyYLA_30000,0.465,0.803
8G3BkCpyYLA_30000,1.134,1.575
8G3BkCpyYLA_30000,1.921,2.315
8G3BkCpyYLA_30000,2.669,3.079
8G3BkCpyYLA_30000,3.394,3.827
8G3BkCpyYLA_30000,4.189,4.583
8G3BkCpyYLA_30000,4.89,5.331
8G3BkCpyYLA_30000,5.709,6.102
8G3BkCpyYLA_30000,6.441,6.835
8G3BkCpyYLA_30000,7.197,7.575
8G3BkCpyYLA_30000,7.929,8.339
8G3BkCpyYLA_30000,8.724,9.079
8G3BkCpyYLA_30000,9.433,9.835
KO7HYWM7u5M_30000,0.437,0.931
KO7HYWM7u5M_30000,1.165,1.598
KO7HYWM7u5M_30000,1.887,2.292
KO7HYWM7u5M_30000,2.581,3.083
KO7HYWM7u5M_30000,3.289,3.736
KO7HYWM7u5M_30000,4.01,4.443
KO7HYWM7u5M_30000,4.732,5.138
0KskqFt3DoY_15000,8.728,9.149
IPP2G8yOYEQ_0,9.787,10.0
7KZhAiRNGMU_30000,0.0,0.339
7KZhAiRNGMU_30000,0.709,1.378
7KZhAiRNGMU_30000,1.701,2.291
7KZhAiRNGMU_30000,2.52,3.465
7KZhAiRNGMU_30000,3.795,4.346
7KZhAiRNGMU_30000,4.709,5.378
7KZhAiRNGMU_30000,5.724,6.52
7KZhAiRNGMU_30000,6.78,7.449
7KZhAiRNGMU_30000,7.74,8.48
7KZhAiRNGMU_30000,8.787,9.394
7KZhAiRNGMU_30000,9.677,10.0
UPZGEmrkW1E_30000,5.822,6.26
UPZGEmrkW1E_30000,6.537,7.048
UPZGEmrkW1E_30000,7.349,7.804
UPZGEmrkW1E_30000,8.129,8.535
UPZGEmrkW1E_30000,8.828,9.299
UPZGEmrkW1E_30000,9.575,10.0
oVmuwU2Rrws_30000,4.522,5.056
FJ07e-6Dcqs_30000,0.0,0.598
FJ07e-6Dcqs_30000,1.099,1.648
FJ07e-6Dcqs_30000,2.143,2.727
FJ07e-6Dcqs_30000,3.221,3.709
FJ07e-6Dcqs_30000,4.148,4.615
FJ07e-6Dcqs_30000,5.227,5.852
FJ07e-6Dcqs_30000,6.229,6.793
FJ07e-6Dcqs_30000,7.26,7.85
FJ07e-6Dcqs_30000,8.304,8.826
FJ07e-6Dcqs_30000,9.341,9.87
KNYiVcGB_TY_10000,2.882,3.236
KNYiVcGB_TY_10000,3.496,3.811
KNYiVcGB_TY_10000,8.78,9.252
KNYiVcGB_TY_10000,9.551,9.984
6SOi-GYpwYk_0,0.347,0.703
6SOi-GYpwYk_0,1.082,1.442
6SOi-GYpwYk_0,1.81,2.178
6SOi-GYpwYk_0,2.541,2.894
6SOi-GYpwYk_0,3.276,3.671
6SOi-GYpwYk_0,3.839,4.368
2fi2VaNwcWk_30000,0.168,0.601
2fi2VaNwcWk_30000,0.815,1.206
2fi2VaNwcWk_30000,1.467,1.866
2fi2VaNwcWk_30000,2.155,2.519
2fi2VaNwcWk_30000,2.608,2.918
2fi2VaNwcWk_30000,3.158,3.509
2fi2VaNwcWk_30000,3.694,4.045
2fi2VaNwcWk_30000,4.354,4.705
2fi2VaNwcWk_30000,4.856,5.241
2fi2VaNwcWk_30000,5.474,5.804
2fi2VaNwcWk_30000,6.024,6.333
2fi2VaNwcWk_30000,6.546,6.89
2fi2VaNwcWk_30000,7.076,7.454
2fi2VaNwcWk_30000,7.715,8.065
2fi2VaNwcWk_30000,8.382,8.787
2fi2VaNwcWk_30000,9.632,10.0
-AXDeY-N2_M_30000,9.346,9.835
9p6wZ0f83nA_30000,3.383,3.761
9p6wZ0f83nA_30000,3.979,4.45
9p6wZ0f83nA_30000,4.679,5.172
9p6wZ0f83nA_30000,5.436,6.021
9p6wZ0f83nA_30000,6.216,6.72
9p6wZ0f83nA_30000,6.869,7.443
9p6wZ0f83nA_30000,7.626,8.131
9p6wZ0f83nA_30000,8.257,8.842
9p6wZ0f83nA_30000,9.025,9.518
9p6wZ0f83nA_30000,9.782,10.0
0XnlJAdG5e8_30000,2.984,3.386
xr74FEtjf28_80000,9.48,10.0
oCIbuRgBteg_60000,0.0,0.348
oCIbuRgBteg_60000,0.744,1.44
oCIbuRgBteg_60000,1.73,2.367
oCIbuRgBteg_60000,9.459,10.0
dudgZ4Nmjzo_180000,9.814,10.0
4AgEbbbhUtY_30000,3.88,5.653
4AgEbbbhUtY_30000,6.031,6.725
4AgEbbbhUtY_30000,9.433,10.0
7PAnD0mRNXM_30000,5.567,5.835
8Req6A2WRrA_24000,4.952,5.655
8Req6A2WRrA_24000,5.948,6.732
B-X2sxgP3jQ_30000,4.108,4.439
B-X2sxgP3jQ_30000,4.846,5.199
B-X2sxgP3jQ_30000,5.598,5.952
iWl-5LNURFc_30000,0.0,0.516
iWl-5LNURFc_30000,1.005,1.521
iWl-5LNURFc_30000,2.003,2.512
iWl-5LNURFc_30000,3.021,3.538
iWl-5LNURFc_30000,4.012,4.542
7vi2whrFgHU_30000,0.0,0.328
7vi2whrFgHU_30000,0.686,1.07
7vi2whrFgHU_30000,1.401,1.758
7vi2whrFgHU_30000,2.143,2.5
7vi2whrFgHU_30000,2.857,3.233
7vi2whrFgHU_30000,3.608,3.93
7vi2whrFgHU_30000,4.287,4.654
7vi2whrFgHU_30000,5.011,5.36
7vi2whrFgHU_30000,5.762,6.075
7vi2whrFgHU_30000,6.477,6.807
7vi2whrFgHU_30000,7.236,7.585
7vi2whrFgHU_30000,7.916,8.282
7vi2whrFgHU_30000,8.63,8.988
7vi2whrFgHU_30000,9.354,9.712
p9HKm2NXVeY_30000,0.0,0.156
p9HKm2NXVeY_30000,0.356,0.667
p9HKm2NXVeY_30000,0.937,1.331
p9HKm2NXVeY_30000,1.518,1.857
p9HKm2NXVeY_30000,2.127,2.389
p9HKm2NXVeY_30000,2.638,2.991
p9HKm2NXVeY_30000,3.219,3.558
p9HKm2NXVeY_30000,3.779,4.077
p9HKm2NXVeY_30000,4.388,4.658
p9HKm2NXVeY_30000,4.886,5.218
p9HKm2NXVeY_30000,5.446,5.75
p9HKm2NXVeY_30000,6.027,6.352
p9HKm2NXVeY_30000,6.608,6.933
p9HKm2NXVeY_30000,7.189,7.459
p9HKm2NXVeY_30000,7.749,8.074
p9HKm2NXVeY_30000,8.268,8.62
p9HKm2NXVeY_30000,8.849,9.222
p9HKm2NXVeY_30000,9.402,9.755
n0hXZUG83sc_110000,5.259,5.612
n0hXZUG83sc_110000,6.062,6.394
n0hXZUG83sc_110000,6.774,7.168
n0hXZUG83sc_110000,7.742,8.123
zRTxSrCtQhQ_170000,0.354,0.819
zRTxSrCtQhQ_170000,1.307,1.85
zRTxSrCtQhQ_170000,2.346,2.937
zRTxSrCtQhQ_170000,3.449,3.969
zRTxSrCtQhQ_170000,4.465,5.008
zRTxSrCtQhQ_170000,6.622,7.047
zRTxSrCtQhQ_170000,7.63,7.953
zRTxSrCtQhQ_170000,8.717,9.157
7rZCFbLB_6Y_30000,9.579,10.0
40GcfS1UTuY_30000,0.188,0.73
40GcfS1UTuY_30000,1.174,1.686
40GcfS1UTuY_30000,2.912,3.439
40GcfS1UTuY_30000,3.875,4.432
40GcfS1UTuY_30000,4.883,5.38
7KLcXpyuexo_400000,9.595,10.0
yNWov4pmdJA_30000,0.0,0.336
yNWov4pmdJA_30000,0.452,0.957
yNWov4pmdJA_30000,1.104,1.682
yNWov4pmdJA_30000,1.809,2.313
yNWov4pmdJA_30000,2.45,2.934
yNWov4pmdJA_30000,3.081,3.481
yNWov4pmdJA_30000,3.796,4.28
NRNl916iT84_140000,9.824,10.0
NnTmhlFwS4g_380000,4.457,4.876
NnTmhlFwS4g_380000,5.179,5.66
NnTmhlFwS4g_380000,5.9,6.301
NnTmhlFwS4g_380000,6.546,7.034
NnTmhlFwS4g_380000,7.282,7.674
NnTmhlFwS4g_380000,8.031,8.402
NnTmhlFwS4g_380000,8.705,9.124
NnTmhlFwS4g_380000,9.426,9.866
VCHEAfDfuVI_30000,9.52,9.906
L_j8ob46TKU_170000,9.819,10.0
hHUgB7p2LVg_200000,5.989,6.584
hHUgB7p2LVg_200000,6.885,7.524
hHUgB7p2LVg_200000,7.893,8.548
hHUgB7p2LVg_200000,8.728,9.857
8IuT5rB8yZY_30000,9.551,10.0
ExzJL0jbxq8_16000,0.01,0.546
ExzJL0jbxq8_16000,4.072,4.574
ExzJL0jbxq8_16000,5.011,5.586
ExzJL0jbxq8_16000,5.957,6.519
ExzJL0jbxq8_16000,7.035,7.492
ExzJL0jbxq8_16000,8.107,8.457
-Em3OpyaefM_30000,0.0,0.425
-Em3OpyaefM_30000,0.614,0.906
-Em3OpyaefM_30000,1.331,2.147
-Em3OpyaefM_30000,2.362,2.748
-Em3OpyaefM_30000,2.961,3.417
-Em3OpyaefM_30000,3.583,4.016
-Em3OpyaefM_30000,4.205,4.52
-Em3OpyaefM_30000,4.866,5.252
-Em3OpyaefM_30000,5.528,5.795
-Em3OpyaefM_30000,6.094,6.386
-Em3OpyaefM_30000,6.551,7.016
-Em3OpyaefM_30000,7.22,7.614
-Em3OpyaefM_30000,7.819,8.165
-Em3OpyaefM_30000,8.315,8.756
-Em3OpyaefM_30000,8.866,9.205
-Em3OpyaefM_30000,9.465,9.756
tKcypQ_ZAXE_120000,8.992,9.528
2CIJ4EdtPXk_30000,9.921,10.0
XlQzPNt0M2k_270000,6.819,7.378
