 segment_id,start_time_seconds,end_time_seconds
sWdJR9dInhw_19000,5.467,5.896
9-twZb7XCAg_30000,1.512,1.827
9-twZb7XCAg_30000,2.094,2.402
9-twZb7XCAg_30000,3.024,3.346
9-twZb7XCAg_30000,3.764,4.315
9-twZb7XCAg_30000,4.63,5.071
9-twZb7XCAg_30000,5.882,6.22
9-twZb7XCAg_30000,6.606,6.85
9-twZb7XCAg_30000,7.047,7.323
9-twZb7XCAg_30000,7.535,7.827
9-twZb7XCAg_30000,7.969,8.189
9-twZb7XCAg_30000,9.15,9.425
9-twZb7XCAg_30000,9.622,9.992
ya3i_wMz9nU_0,3.82,4.254
ya3i_wMz9nU_0,4.674,5.273
DdUurjG2r5w_270000,7.094,7.307
DdUurjG2r5w_270000,7.409,7.732
DdUurjG2r5w_270000,7.992,8.685
Gphls4tfX4o_20000,1.113,2.153
Gphls4tfX4o_20000,2.38,2.835
Gphls4tfX4o_20000,3.095,3.469
Gphls4tfX4o_20000,5.264,6.661
Gphls4tfX4o_20000,8.903,9.301
i13woB5tvQE_30000,4.3,5.069
SRFr69xe2c0_30000,1.501,2.13
SRFr69xe2c0_30000,3.603,4.122
SRFr69xe2c0_30000,6.791,6.999
L10zhD4-TmA_480000,7.924,9.427
7fCQwN7Oz7I_340000,0.0,0.906
7fCQwN7Oz7I_340000,2.661,3.463
7fCQwN7Oz7I_340000,7.156,7.672
7fCQwN7Oz7I_340000,7.821,8.394
G50gPfHdkSk_24000,4.298,4.58
4KXFNI_UQDs_6000,5.083,6.081
P6MtYXu6j0Q_30000,7.77,7.957
dMh2j7XvR5w_12000,4.998,7.045
2tC6tT0VKYc_30000,0.273,0.626
csIEDXUjS80_3000,7.801,8.733
WdCaezgbPDw_70000,0.0,0.619
WdCaezgbPDw_70000,2.076,2.466
WdCaezgbPDw_70000,4.931,6.055
WdCaezgbPDw_70000,6.239,7.993
WdCaezgbPDw_70000,8.05,8.704
rnNdkwGZph0_30000,2.435,3.036
c7vNH1EfpMo_90000,0.0,1.827
c7vNH1EfpMo_90000,1.969,3.748
c7vNH1EfpMo_90000,4.008,7.228
c7vNH1EfpMo_90000,7.323,9.079
HZbBwJm7Ew8_130000,4.049,4.699
HZbBwJm7Ew8_130000,5.01,5.501
HZbBwJm7Ew8_130000,6.836,7.514
HZbBwJm7Ew8_130000,8.517,8.904
kZtI9HxUV-o_100000,5.322,6.103
7fdF3Xo73-Y_340000,0.377,0.667
7fdF3Xo73-Y_340000,1.006,1.255
7fdF3Xo73-Y_340000,1.504,1.919
7fdF3Xo73-Y_340000,2.286,2.583
7fdF3Xo73-Y_340000,3.268,3.572
7fdF3Xo73-Y_340000,3.779,4.16
7fdF3Xo73-Y_340000,4.616,4.817
7fdF3Xo73-Y_340000,5.232,5.46
7fdF3Xo73-Y_340000,5.923,6.228
7fdF3Xo73-Y_340000,6.809,7.867
7fdF3Xo73-Y_340000,8.178,8.489
7fdF3Xo73-Y_340000,8.807,9.015
7fdF3Xo73-Y_340000,9.513,9.713
9BapWiq6MbU_30000,4.331,5.85
Vn7OfOVX5wY_30000,0.0,0.447
Vn7OfOVX5wY_30000,4.243,4.782
Vn7OfOVX5wY_30000,8.622,8.931
4aY_7fnm5oA_0,0.94,1.388
x1ud4nJSMSg_30000,4.346,5.08
x1ud4nJSMSg_30000,6.972,7.248
x1ud4nJSMSg_30000,7.397,7.683
UYPzojZrza8_420000,2.896,4.049
nW9O0zHPVlI_20000,5.342,7.291
nW9O0zHPVlI_20000,7.916,8.668
nW9O0zHPVlI_20000,9.007,10.0
5S85PE9j4eE_570000,8.303,9.679
c_RueUYJOls_10000,9.201,9.506
kSRTvSJrxgg_10000,7.953,8.283
HnHj-pooFpQ_430000,0.28,0.979
HnHj-pooFpQ_430000,2.638,3.371
HnHj-pooFpQ_430000,4.533,5.253
HnHj-pooFpQ_430000,6.214,7.12
HnHj-pooFpQ_430000,8.199,9.658
AxxG8pE0Pe4_280000,2.514,3.365
6VJQe49T03w_30000,8.589,10.0
18X0G_uIzrU_30000,5.896,6.235
18X0G_uIzrU_30000,7.832,8.019
dsNvv77-Z2I_160000,6.047,6.535
qnobLqectgI_60000,8.402,8.608
qnobLqectgI_60000,8.876,9.165
9pBkYsPSzIU_30000,8.302,8.537
VbBehjp3bfg_220000,9.31,10.0
ev2zm7pRpL0_110000,0.729,0.931
ev2zm7pRpL0_110000,1.619,1.845
ev2zm7pRpL0_110000,1.92,2.152
ev2zm7pRpL0_110000,2.238,2.481
ev2zm7pRpL0_110000,2.556,3.279
ev2zm7pRpL0_110000,4.06,4.303
ev2zm7pRpL0_110000,4.737,5.182
ev2zm7pRpL0_110000,5.662,6.015
ev2zm7pRpL0_110000,6.414,6.773
ev2zm7pRpL0_110000,7.039,7.235
ev2zm7pRpL0_110000,7.34,7.548
ev2zm7pRpL0_110000,7.704,7.958
ev2zm7pRpL0_110000,8.109,8.525
ev2zm7pRpL0_110000,9.034,9.265
w1t_z8IY5T8_120000,7.908,8.219
DIBtzsFJSVU_30000,4.326,4.658
HgfJjkZqjHc_80000,4.72,5.17
i-BqkD7y49k_80000,2.376,2.887
Wt-rz0MqTx8_30000,3.614,3.952
Wt-rz0MqTx8_30000,4.222,5.439
AWliGz_EWdU_200000,4.518,4.725
AWliGz_EWdU_200000,8.819,9.323
AWliGz_EWdU_200000,9.45,9.794
yaTtAJsRaRQ_220000,8.079,8.528
GlSiGSS3T9A_30000,5.282,5.66
aA1Ll7XxVoE_30000,2.394,3.071
