 segment_id,start_time_seconds,end_time_seconds
28oK-ruIvVw_70000,7.317,8.21
S7X8VIkM3oU_0,8.441,9.213
XEsnt3fMGoc_30000,0.0,0.655
XEsnt3fMGoc_30000,3.552,5.23
XEsnt3fMGoc_30000,5.862,7.464
I-ZTv2iR6T8_150000,0.082,0.828
B1M868KOyAU_20000,9.47,10.0
4Gw8jFlJyLI_50000,0.052,0.82
OX9HvIixzZU_170000,6.035,6.328
ff3rZjZY3WE_10000,0.505,0.931
ff3rZjZY3WE_10000,2.155,2.643
RNZ5LKsmE1k_180000,7.57,8.691
aIP_3-LNSR0_7000,0.0,1.596
aIP_3-LNSR0_7000,5.716,7.652
CjuS8Hj9FPA_0,0.877,3.829
nhWybupyrTA_70000,0.0,1.806
B0LCw7Av2Gg_30000,1.821,2.686
B0LCw7Av2Gg_30000,5.719,6.479
B0LCw7Av2Gg_30000,7.833,8.435
B0LCw7Av2Gg_30000,9.142,9.556
dcy3L3JRMcc_430000,2.792,3.352
pRR0NoGHjVk_50000,8.402,10.0
iMHgNZ6KoIE_290000,9.014,9.851
556JYoU2eD0_10000,0.0,0.322
556JYoU2eD0_10000,0.591,2.058
556JYoU2eD0_10000,4.319,5.045
556JYoU2eD0_10000,5.688,6.809
556JYoU2eD0_10000,7.286,8.323
556JYoU2eD0_10000,8.703,9.838
3TmlnYCDGqU_170000,4.567,6.866
OUYS95W_NTg_30000,3.31,4.265
OUYS95W_NTg_30000,5.492,6.548
M85bi9m--bs_15000,1.108,2.18
PsAAat-ktko_0,1.608,3.786
BsbI6URzLJA_8000,2.945,3.244
3_1q-Uwb3gI_160000,1.126,5.035
FBrWOjBreTI_0,4.028,4.637
FBrWOjBreTI_0,9.257,10.0
KIL_zROcGhs_100000,7.431,8.454
_fdHU1vkIdU_560000,6.388,8.383
4hew3HeE1LI_0,4.931,6.485
7lGQuGIqRZc_130000,8.685,10.0
_LwBb_IsG5g_30000,7.407,9.274
vNBenBIr-Gg_40000,9.342,10.0
q1oBXqEFXy4_70000,4.392,5.321
HI-2Ji_nDhk_90000,0.596,4.128
zIoAaj9Tqhg_10000,0.0,2.671
zIoAaj9Tqhg_10000,2.837,4.342
zIoAaj9Tqhg_10000,5.056,5.658
zIoAaj9Tqhg_10000,5.764,6.336
fN2-YyThNEg_160000,4.897,6.576
5z5DFQfiRZ4_90000,6.147,9.949
CgNKbp-L0Jk_0,7.589,8.375
NLr9Fdumkdw_30000,3.76,4.35
NLr9Fdumkdw_30000,7.585,8.228
NLr9Fdumkdw_30000,8.416,9.015
L5w_KnCFULA_0,2.478,3.632
L5w_KnCFULA_0,6.299,7.248
jBMPvTndxsw_30000,4.168,5.076
jBMPvTndxsw_30000,5.928,10.0
