 segment_id,start_time_seconds,end_time_seconds
95JAgJldpCE_10000,2.398,3.621
U-rMLpfjRkU_40000,4.098,4.691
U-rMLpfjRkU_40000,4.952,5.323
U-rMLpfjRkU_40000,5.53,6.764
U-rMLpfjRkU_40000,8.51,8.894
ByUCJATtC8s_30000,6.93,7.314
l0drwdB3BMM_15000,0.0,0.58
l0drwdB3BMM_15000,0.973,4.343
l0drwdB3BMM_15000,4.489,7.188
l0drwdB3BMM_15000,7.517,9.127
07ZXB1501rM_30000,1.78,2.343
07ZXB1501rM_30000,7.17,9.052
OrwximvUjTU_270000,2.727,3.994
dWCWw2f9CEo_280000,1.197,1.929
9G6GDDdOCD0_440000,0.0,3.241
9G6GDDdOCD0_440000,3.495,6.808
9G6GDDdOCD0_440000,7.0,10.0
mqWbUmnWtAQ_10000,0.0,5.67
mqWbUmnWtAQ_10000,6.494,10.0
-7LBtdl8Kbk_60000,8.382,9.165
gQ6QLvQbnoY_30000,4.626,5.363
dNCOG68XNvk_10000,2.354,3.731
dNCOG68XNvk_10000,4.083,6.281
dNCOG68XNvk_10000,7.49,7.877
dNCOG68XNvk_10000,8.022,10.0
ZYa5SoBIXfE_0,6.193,8.886
qNBG-fqJv6w_60000,6.85,9.403
HtYy2SWO9MQ_140000,0.0,0.361
HtYy2SWO9MQ_140000,0.827,6.415
HtYy2SWO9MQ_140000,8.789,10.0
rgnywiXRCk0_10000,6.921,8.362
BU1RHWLVlhQ_10000,9.234,10.0
4YXVsP4-AVA_30000,6.241,7.039
FB382A6VHC4_80000,9.112,10.0
g4PmzCibjbM_160000,9.501,10.0
HnI4gbM6DNo_450000,4.969,5.936
Fr4sultk3N8_40000,3.351,3.759
Fr4sultk3N8_40000,5.543,6.414
hZwITAD8pfk_30000,7.388,8.198
zjTXUR4cKhI_100000,4.665,6.975
dA5ExW8Enlk_210000,4.369,5.688
fMikHEZ3e8s_10000,0.0,4.786
5jlEmxtyEk0_30000,6.74,7.48
AtCS6gTpRLU_10000,0.419,3.408
-0MnD7jBvkE_0,0.427,3.477
_CZmWmEhIxs_0,2.049,3.022
PbsanjxYpiY_50000,4.679,6.113
IrC45HlQ9Ds_0,2.184,4.058
3Xmm3QTRrfw_30000,0.0,0.485
3Xmm3QTRrfw_30000,2.792,4.376
rK8h8ZVIqZg_10000,7.723,9.12
D7q7Mv0Kp-0_10000,0.591,0.903
D7q7Mv0Kp-0_10000,2.161,2.417
D7q7Mv0Kp-0_10000,3.89,4.153
D7q7Mv0Kp-0_10000,7.825,8.143
D7q7Mv0Kp-0_10000,8.6,8.862
D7q7Mv0Kp-0_10000,9.471,9.796
i9hhaaXOUcY_30000,1.174,4.823
i9hhaaXOUcY_30000,6.78,10.0
mb55nwY7GUE_20000,0.0,10.0
24pz7PVwcw0_90000,5.498,8.566
ME9tNRPgCGc_30000,0.0,0.692
ME9tNRPgCGc_30000,4.138,5.245
ME9tNRPgCGc_30000,7.035,8.014
3uee9wrUJ7Y_30000,0.0,0.42
3uee9wrUJ7Y_30000,2.109,4.425
oAd6__9YKMc_210000,2.711,10.0
AOkTdeAzVdk_5000,7.031,7.503
TT8-1OvQuqI_30000,0.617,2.122
TT8-1OvQuqI_30000,5.41,6.396
TT8-1OvQuqI_30000,6.862,8.292
TT8-1OvQuqI_30000,8.608,10.0
NjAlZR8v2bs_150000,0.0,9.462
YWq1GG9CG5M_0,0.102,1.716
YWq1GG9CG5M_0,2.356,7.849
YWq1GG9CG5M_0,9.129,10.0
nl1PVt3VWkw_300000,6.483,7.527
DUzPkzbHSpI_180000,0.0,0.623
DUzPkzbHSpI_180000,0.867,2.231
DUzPkzbHSpI_180000,3.044,3.856
Dq_Q_ts5IGA_30000,7.597,8.053
_jlACVVZ9nI_20000,4.676,6.016
dWO5limo-zw_0,1.057,4.322
289diVzjuZI_21000,5.829,7.025
4dVM4vmrLls_30000,9.276,10.0
mQtPEujxwnI_30000,0.0,1.175
scOvRpEB7KY_210000,2.756,3.094
scOvRpEB7KY_210000,6.724,10.0
1QiMkQ4cKRg_30000,8.665,10.0
4ohyFHYvgwA_70000,3.767,4.319
4ohyFHYvgwA_70000,7.929,8.081
4ohyFHYvgwA_70000,8.676,8.8
mzH8WqD5UI0_110000,6.477,7.15
mzH8WqD5UI0_110000,8.822,9.117
-XloZ97P7OE_30000,6.912,7.514
-XloZ97P7OE_30000,7.666,10.0
3SChnW-0Xdc_30000,2.312,2.995
6cjM67A7AeA_0,7.638,8.031
avHm5YJ83qE_20000,2.242,3.053
avHm5YJ83qE_20000,4.106,10.0
n5mbts8c7Y0_500000,2.54,3.282
n5mbts8c7Y0_500000,5.509,6.313
lZ-9BVPL78k_9000,4.328,5.058
sEZ4rFhoXI0_6000,0.694,2.747
-HuTNkegK0g_22000,1.208,4.989
84NFbeQy5CU_160000,0.858,5.323
84NFbeQy5CU_160000,8.291,10.0
xhWvyPC1xbM_70000,5.811,7.307
5RA7enpQvWI_80000,0.819,3.521
5RA7enpQvWI_80000,4.712,5.864
5RA7enpQvWI_80000,7.055,9.462
_GaJTQHriNg_260000,2.024,5.261
1yd_LqzcP7g_440000,6.339,7.102
abRVzANEOR0_130000,0.0,0.753
W0jccHIkg9Y_220000,2.215,3.252
W0jccHIkg9Y_220000,7.017,7.465
W0jccHIkg9Y_220000,8.515,9.014
Xwko17DbQok_30000,6.748,7.551
Dgti6ympdTQ_70000,8.948,10.0
Vmntgf_sbqY_30000,9.118,10.0
WXt-tnkeRUo_0,0.03,1.287
WXt-tnkeRUo_0,3.702,5.583
Gtu6WCE9oeM_70000,3.693,4.8
Gtu6WCE9oeM_70000,9.2,9.827
S58cFApFM28_260000,0.677,3.463
ZE8hTf_bQCk_30000,1.175,4.733
ZE8hTf_bQCk_30000,4.88,10.0
0s_BgvPYlDI_30000,1.646,2.853
0s_BgvPYlDI_30000,3.578,5.716
0s_BgvPYlDI_30000,6.628,10.0
k-gN_js84JA_30000,2.752,3.991
M6H52i3pupI_30000,9.685,10.0
crdlCK_o8-Q_90000,9.63,10.0
7I0qb73MmMQ_30000,0.72,1.849
7I0qb73MmMQ_30000,4.286,6.423
X8_AwKsqskY_10000,0.772,3.047
db5MDEi6GXc_30000,2.307,2.961
