 segment_id,start_time_seconds,end_time_seconds
NQNTnl0zaqU_70000,4.944,6.951
uxK-1dhnQ9Y_10000,0.0,0.465
uxK-1dhnQ9Y_10000,3.709,4.961
uxK-1dhnQ9Y_10000,8.961,10.0
1UR1QzZFcR4_30000,0.0,1.449
PEbjBT73Bf8_40000,2.535,3.268
tePAn2mTomI_50000,3.252,6.378
L10zhD4-TmA_480000,0.0,1.319
L10zhD4-TmA_480000,1.514,5.78
51DAVKSdj4Y_150000,0.0,2.359
51DAVKSdj4Y_150000,2.49,10.0
t9iR9oZVSTo_100000,8.457,9.102
dWCWw2f9CEo_280000,4.134,5.386
ZYa5SoBIXfE_0,8.235,10.0
bh7S0MwX_S4_40000,6.796,10.0
JzpnO_-A3o8_10000,0.0,0.842
1R2Ejgfkmp8_0,6.884,8.459
wD_mMVaP8Nw_160000,0.0,2.753
wD_mMVaP8Nw_160000,3.076,5.261
ij4RUa3I53A_30000,8.226,9.319
5XquGZ5QZms_330000,2.13,2.827
wWzFqbwcoAM_30000,0.0,10.0
62LWXjv584k_20000,5.55,6.278
1NwWkBX8K5M_30000,0.217,0.777
1NwWkBX8K5M_30000,1.395,7.447
9qI2YcUExNE_390000,5.715,6.086
gB40-dkgnv4_0,3.869,5.414
XMwv_tR4QGg_130000,1.354,1.994
a6q52zsNJcw_500000,0.0,6.042
FQfXpxtYMbQ_440000,0.0,1.901
kJCXjkQJ23A_50000,0.0,0.493
kJCXjkQJ23A_50000,1.045,2.491
kJCXjkQJ23A_50000,2.816,3.466
kJCXjkQJ23A_50000,6.691,7.731
kJCXjkQJ23A_50000,7.918,8.186
kJCXjkQJ23A_50000,8.6,9.323
8TTcRAiqYGM_340000,5.117,6.34
noHN7NkdD_U_30000,0.0,2.732
noHN7NkdD_U_30000,9.364,10.0
CvJB8eo74q4_30000,0.0,2.126
HJ0BTG9INLY_40000,0.0,2.294
HJ0BTG9INLY_40000,2.913,4.06
HJ0BTG9INLY_40000,6.25,8.555
QnE7FMvoj0w_30000,6.646,7.26
a2hVjLBTh-s_30000,2.957,4.596
a2hVjLBTh-s_30000,4.845,9.035
eHu_C_gwXFc_0,0.538,4.801
e-fNphnOQQQ_60000,0.82,2.759
mDuSWDTU8Dg_50000,0.0,5.323
0m7vah74J8k_280000,2.127,2.478
0m7vah74J8k_280000,5.227,5.763
JJ1nHBvwD3k_30000,0.0,0.931
I2Lks7nu0G8_130000,0.0,3.825
I2Lks7nu0G8_130000,4.151,5.94
jKWYE_hdaMk_330000,2.664,5.734
KeoJ5d2CwAM_10000,1.857,2.472
KeoJ5d2CwAM_10000,2.791,3.738
KeoJ5d2CwAM_10000,4.16,5.833
Q6nDsLXifgk_30000,3.395,7.395
FsxBcvfLVZE_380000,0.0,2.513
WbeeRChu4jA_300000,9.632,10.0
g5h9F-LuIT0_40000,0.0,0.745
g5h9F-LuIT0_40000,1.029,8.088
g5h9F-LuIT0_40000,8.259,10.0
nmtaX0zlRgo_30000,0.0,2.696
nmtaX0zlRgo_30000,3.614,7.73
nmtaX0zlRgo_30000,9.13,10.0
HocsqZoaVsQ_30000,9.526,10.0
IdqEbjujFb8_30000,3.73,4.338
KFZkQh6S0wY_30000,9.301,10.0
afUOjFYjqbY_170000,0.0,5.947
COFFwmwc6mY_190000,3.422,4.134
COFFwmwc6mY_190000,4.483,6.369
t_AiwY4rgqw_40000,5.587,9.008
6X6XwKasQOE_10000,8.485,10.0
q4PwrzXZZFs_0,0.039,8.792
vF_i8HMuVkU_310000,0.0,0.705
rNuo0zpuUhw_60000,2.753,3.268
h_c8NKY_5Lk_30000,6.614,7.392
0n8DNmAjdJI_90000,0.0,10.0
qh7p0J1ydww_10000,0.0,3.557
qh7p0J1ydww_10000,6.134,10.0
LWZUkxZiZa8_50000,0.0,0.607
LWZUkxZiZa8_50000,1.809,2.954
LWZUkxZiZa8_50000,3.117,6.529
JrsUlYG1GHM_10000,1.906,3.488
yflTXeXuktA_150000,0.0,0.489
yflTXeXuktA_150000,5.726,9.436
op3OTVbvsMw_10000,9.43,10.0
vgkcEfoh5ZY_0,0.056,2.877
X0S2NDSlciM_30000,7.811,9.378
1jioOKOVSBg_20000,9.103,10.0
piqKlQiGiFo_0,2.276,7.094
C6svmQwOq5g_80000,0.251,1.243
CLK9NvN3EEU_30000,1.273,4.254
CLK9NvN3EEU_30000,4.944,6.667
CLK9NvN3EEU_30000,7.089,8.616
_c479a_tdgo_110000,0.0,1.063
_c479a_tdgo_110000,1.343,2.261
XKvLkIM8dck_40000,9.172,10.0
avHm5YJ83qE_20000,7.459,9.13
gtChvLrjZCQ_0,1.118,5.52
W64_vFyP2W8_240000,0.0,2.905
XSHEjKJz7cY_30000,0.597,6.933
XSHEjKJz7cY_30000,8.282,9.953
BPOmTEaFf8g_10000,1.22,3.402
MxIBsgxEoCA_0,0.094,4.26
Fxx2L_q8WcE_50000,8.268,9.264
8kS-gIWJGpg_320000,4.157,10.0
ztRxfoZZoHU_260000,2.231,10.0
Wuvqdgiqc3c_30000,0.847,5.619
E9dREUFUgkc_340000,1.612,1.777
E9dREUFUgkc_340000,1.9,2.107
oZSt8D5NYNI_440000,0.0,5.009
gfOu1rp0K18_10000,0.0,1.95
gfOu1rp0K18_10000,5.45,7.63
sBdnqgeUB5w_20000,0.0,7.344
sBdnqgeUB5w_20000,7.674,8.361
sBdnqgeUB5w_20000,8.973,10.0
1zJ3K1iGy5U_20000,7.82,10.0
KMscn9WbbJQ_0,0.11,2.016
CTfs1miO_Ew_220000,3.444,4.645
5oOOcQrQ_oE_30000,7.165,7.961
6bUb8AmMA6w_80000,0.409,1.457
6bUb8AmMA6w_80000,3.528,4.591
6bUb8AmMA6w_80000,5.354,8.408
RcbIPKjyx2w_150000,9.427,10.0
iYzB1aEEnYY_30000,1.488,2.34
1bDdJWC1JmI_30000,6.501,6.975
Wv5HhHqkpSo_10000,5.024,8.622
aRUUZvEVIUw_30000,0.0,6.443
fTnIon6ORSA_210000,4.296,5.247
fTnIon6ORSA_210000,7.647,8.173
0RurXUfKyow_4000,5.586,7.073
0RurXUfKyow_4000,7.69,8.259
P9qTJIjANxU_0,0.339,5.658
Q4v-rQ9eR6w_20000,0.011,6.972
Q4v-rQ9eR6w_20000,7.775,10.0
J_7LhzoMRKk_30000,0.0,2.175
J_7LhzoMRKk_30000,2.711,3.33
J_7LhzoMRKk_30000,3.632,4.753
sedfvixsq9g_0,0.221,10.0
uIxtZ3mdnII_28000,0.0,1.886
LwNFrxoGLko_60000,6.411,9.248
L9UGP4JZ2kM_0,0.065,0.849
L9UGP4JZ2kM_0,3.323,4.794
L9UGP4JZ2kM_0,6.643,7.165
xO5wOwjJ0eU_30000,5.976,8.055
bI9EquqrgZw_510000,5.887,7.041
vLKBmoP9UUA_20000,0.0,1.142
Vzc4oOhAW3M_30000,9.724,10.0
IdCDqV6Py1I_90000,9.748,10.0
rGy4tqugPZ0_240000,1.591,4.48
HyfqPfiPLCk_30000,0.979,1.912
HyfqPfiPLCk_30000,2.604,2.874
HyfqPfiPLCk_30000,3.551,4.492
HyfqPfiPLCk_30000,5.107,6.746
HyfqPfiPLCk_30000,7.376,7.542
HyfqPfiPLCk_30000,8.952,9.243
0Jd5v9oW4E0_20000,0.0,0.405
0Jd5v9oW4E0_20000,7.304,7.626
kMDfIZSU764_0,6.0,6.528
Y2QZWPKquME_110000,5.109,10.0
7KdSGBzXvz8_130000,2.174,4.725
AAx6u5N173A_220000,0.0,2.279
AAx6u5N173A_220000,2.377,2.863
jhcuklor0nY_0,0.323,3.947
gcZAba9W5R0_200000,6.21,7.467
beYsVLwE25Y_50000,4.019,5.695
olJRo273t9M_30000,0.0,0.865
olJRo273t9M_30000,3.662,5.056
2-Wz_45SeqM_30000,7.857,9.507
AO2u0VzHGJo_440000,6.941,10.0
GYSz0jxhpBM_320000,8.683,10.0
gGWPzvqzBQk_270000,6.694,9.312
93StBYkKorQ_290000,0.737,1.744
93StBYkKorQ_290000,2.881,5.976
Qa9Q2aNjMi4_10000,1.583,4.598
WAOMcQBvXkU_70000,0.722,1.937
WAOMcQBvXkU_70000,2.598,4.341
WAOMcQBvXkU_70000,5.601,6.11
WAOMcQBvXkU_70000,6.316,9.336
LFW28X78tww_70000,0.74,10.0
pde5Jm2i7TM_13000,4.155,4.794
Y1ffwVIDKTU_60000,5.0,6.48
W792aBPDhwc_280000,0.0,0.542
W792aBPDhwc_280000,2.402,2.759
W792aBPDhwc_280000,5.716,6.91
RhH6qxoOWXE_60000,5.651,7.406
AeWwmSRaz_w_230000,0.0,10.0
cpiZw77BK_U_20000,4.052,6.031
oBl_Thz6nVI_240000,0.0,0.472
oBl_Thz6nVI_240000,3.591,5.055
