 segment_id,start_time_seconds,end_time_seconds
Cn2i5v4AGwQ_30000,0.782,1.69
Cn2i5v4AGwQ_30000,4.218,5.74
a43rlA1JJfo_30000,4.126,4.396
brEO6DuEYzI_200000,8.533,10.0
2D_7eli74mA_100000,2.54,2.694
2D_7eli74mA_100000,2.849,3.011
2D_7eli74mA_100000,3.141,3.336
2D_7eli74mA_100000,3.702,4.213
2D_7eli74mA_100000,4.62,5.058
2D_7eli74mA_100000,5.204,5.432
2D_7eli74mA_100000,5.578,6.569
Hpn0oLqNRiE_30000,0.158,0.406
Hpn0oLqNRiE_30000,1.768,2.445
Hpn0oLqNRiE_30000,3.845,4.455
-12Z-4hvmyU_350000,0.138,0.401
N2Aq4XhfPNg_10000,3.987,4.381
hBAa-9pHSwE_30000,0.0,10.0
z_sdhRMMvJA_20000,1.087,1.323
z_sdhRMMvJA_20000,1.528,1.764
z_sdhRMMvJA_20000,1.945,2.22
z_sdhRMMvJA_20000,2.339,2.717
z_sdhRMMvJA_20000,2.811,3.071
z_sdhRMMvJA_20000,3.26,3.543
z_sdhRMMvJA_20000,3.701,3.945
z_sdhRMMvJA_20000,4.118,4.866
z_sdhRMMvJA_20000,7.89,10.0
-o7Wy0ePIv4_70000,0.0,1.37
-o7Wy0ePIv4_70000,2.63,2.795
wLFEfbvyBZk_140000,2.689,3.329
idE3Vc9BIPk_30000,4.929,5.205
idE3Vc9BIPk_30000,5.598,5.961
idE3Vc9BIPk_30000,6.165,7.402
idE3Vc9BIPk_30000,8.213,9.039
2wWs7MLxbTk_30000,0.287,0.768
pyg-DR8uCsA_0,3.024,3.378
_zWEBd8JKlA_120000,1.392,2.052
_zWEBd8JKlA_120000,5.591,6.155
cKX1wRa4Xbo_40000,2.972,4.304
cKX1wRa4Xbo_40000,4.929,5.734
cKX1wRa4Xbo_40000,6.554,7.231
w_JLA82N6D4_280000,8.805,9.858
BA4qayqjvGk_30000,2.78,3.26
pVcW5x2Xbeg_20000,7.467,7.983
pVcW5x2Xbeg_20000,8.849,9.179
pVcW5x2Xbeg_20000,9.66,10.0
H4HzFnRPQs0_0,2.156,4.083
H4HzFnRPQs0_0,4.337,4.825
d0NPbhFtvSI_0,4.304,5.826
d0NPbhFtvSI_0,6.17,8.22
d0NPbhFtvSI_0,9.233,10.0
tK_4XQQ5eGU_30000,0.0,0.594
tK_4XQQ5eGU_30000,1.701,2.43
xriiaRoimFU_270000,5.58,5.654
aPWCPjc7bBg_0,6.255,6.652
_MXjq0eaIVk_60000,4.566,10.0
APm2NfxyuXQ_30000,0.722,1.365
APm2NfxyuXQ_30000,3.911,4.381
APm2NfxyuXQ_30000,5.975,6.697
QuoKr7t6YeU_0,2.442,3.529
QuoKr7t6YeU_0,4.058,5.087
QuoKr7t6YeU_0,5.87,7.181
QD_pZ30Px3c_40000,9.167,10.0
mFp8Ffffya0_30000,1.102,1.719
mFp8Ffffya0_30000,2.012,2.556
mFp8Ffffya0_30000,3.693,3.986
CD_479dAS8A_90000,5.728,7.439
--HXYSM3ydo_2000,7.138,9.703
dqkRz896XIw_9000,1.841,3.449
dqkRz896XIw_9000,4.445,5.863
dqkRz896XIw_9000,6.285,7.798
fRJwStp0Dlg_90000,1.339,1.645
fRJwStp0Dlg_90000,7.315,7.577
3eejc8bVGnA_28000,2.964,4.954
tjMEgfp_RaM_30000,3.758,5.611
tjMEgfp_RaM_30000,7.557,10.0
9D5zrR8ygd4_160000,5.795,6.182
gtjXFzoRQdg_14000,8.047,9.556
CZROScapZsM_80000,0.466,1.316
CZROScapZsM_80000,6.24,6.461
CZROScapZsM_80000,6.822,8.335
CZROScapZsM_80000,8.766,9.092
OecJVl8rGBM_50000,7.799,8.422
OecJVl8rGBM_50000,8.815,9.095
1OXReEz1YWI_30000,1.131,1.341
1OXReEz1YWI_30000,1.592,1.955
tlVlDFW2ucE_30000,3.341,3.539
xCvoaevHTtQ_210000,2.491,3.304
xqe-f5F9bwA_0,4.235,4.934
kmgtDjkNUp4_0,3.775,4.051
kmgtDjkNUp4_0,6.886,7.674
kmgtDjkNUp4_0,8.251,8.511
24pz7PVwcw0_90000,1.949,3.601
Fl-rauDg4sU_22000,1.439,3.937
2LDloLm_qQs_30000,6.715,7.82
2LDloLm_qQs_30000,8.957,9.575
ZhgxeEHX-zY_30000,6.551,7.346
mgdDGdmr0Mw_0,2.271,2.969
mgdDGdmr0Mw_0,3.152,3.978
mgdDGdmr0Mw_0,4.548,5.352
mgdDGdmr0Mw_0,5.462,6.199
oAd6__9YKMc_210000,0.773,4.918
ccWa468NJOo_30000,2.954,3.612
ccWa468NJOo_30000,5.099,7.138
ccWa468NJOo_30000,8.446,9.096
0raNq797vUA_20000,0.919,2.694
0raNq797vUA_20000,5.77,6.007
0raNq797vUA_20000,7.317,7.527
0raNq797vUA_20000,7.654,7.891
SkfRFY_p9_U_0,0.0,10.0
Ox75KpSar7Q_30000,8.843,9.63
FCQEYsl289k_7000,2.505,3.336
mKKgfJKh-m0_0,1.71,5.242
YWq1GG9CG5M_0,4.315,5.286
YWq1GG9CG5M_0,8.131,8.515
tVDZXCMvQsE_10000,3.512,3.913
tVDZXCMvQsE_10000,6.126,7.197
tVDZXCMvQsE_10000,7.78,8.118
tVDZXCMvQsE_10000,8.732,9.126
tUEpHqlazp8_10000,0.008,1.097
tUEpHqlazp8_10000,1.274,8.586
tUEpHqlazp8_10000,9.337,10.0
18Fb-yAI_6c_90000,7.103,9.612
noAuhAkldho_10000,7.359,8.289
cNTFVLjx8Wo_30000,0.0,2.122
oVZPA33H2ro_30000,5.239,5.771
oVZPA33H2ro_30000,7.21,7.479
DRg6VuboqpU_30000,1.646,2.694
DRg6VuboqpU_30000,5.269,6.455
QzMAVUJKfO8_20000,0.0,10.0
wN0i4-VxOgc_120000,6.813,7.105
wN0i4-VxOgc_120000,7.528,9.201
bE2KZveD5Q4_60000,8.406,9.596
IOlBypBcuxs_50000,1.62,2.666
9Botkvq32u0_30000,1.383,2.241
9Botkvq32u0_30000,2.548,3.022
9Botkvq32u0_30000,3.252,3.483
9Botkvq32u0_30000,3.598,4.2
9Botkvq32u0_30000,8.656,8.848
9Botkvq32u0_30000,8.976,9.718
cnNeEPdJrRw_0,1.857,4.633
V2UA-YvsElM_0,1.839,3.044
V2UA-YvsElM_0,3.728,4.712
4LcUgKZ0M0A_100000,3.149,3.85
6ZBYrFpQt6w_0,2.332,3.361
CLK9NvN3EEU_30000,2.564,2.946
CLK9NvN3EEU_30000,5.026,6.618
CLK9NvN3EEU_30000,7.755,9.997
UNKpR_3fUqE_30000,7.09,8.417
8oKpFZPvk7w_0,0.295,0.968
8oKpFZPvk7w_0,1.285,1.915
