 segment_id,start_time_seconds,end_time_seconds
5J8gt_7hbLI_30000,0.0,0.536
5J8gt_7hbLI_30000,0.838,6.473
bWmxpN73v6Q_30000,1.134,1.315
bWmxpN73v6Q_30000,4.535,4.772
bWmxpN73v6Q_30000,4.937,5.118
bWmxpN73v6Q_30000,5.457,5.661
bWmxpN73v6Q_30000,5.945,6.228
bWmxpN73v6Q_30000,6.575,6.89
bWmxpN73v6Q_30000,7.094,7.457
bWmxpN73v6Q_30000,7.614,7.969
aiYa3U7ym-c_30000,0.233,0.753
aiYa3U7ym-c_30000,1.516,2.109
aiYa3U7ym-c_30000,2.28,2.735
aiYa3U7ym-c_30000,3.336,3.71
aiYa3U7ym-c_30000,3.937,4.473
aiYa3U7ym-c_30000,4.741,5.659
aiYa3U7ym-c_30000,7.008,7.69
aiYa3U7ym-c_30000,8.031,8.34
aiYa3U7ym-c_30000,9.713,10.0
aBA8SdHpg9w_22000,2.171,2.413
aBA8SdHpg9w_22000,4.077,4.327
aBA8SdHpg9w_22000,4.934,5.07
aBA8SdHpg9w_22000,5.441,5.648
wlI32tJjCV8_30000,7.124,8.068
BuLU4VDdQ58_30000,2.555,2.846
BuLU4VDdQ58_30000,5.654,5.944
ro8yR1--N2A_14000,2.373,2.889
ro8yR1--N2A_14000,6.914,7.446
JJEXhydzVlE_1000,2.629,3.141
JJEXhydzVlE_1000,4.449,4.95
92XHIJuxni4_26000,3.773,4.083
92XHIJuxni4_26000,5.502,5.84
92XHIJuxni4_26000,6.88,7.225
92XHIJuxni4_26000,7.934,8.17
3SyE93O3lYI_4000,0.0,0.407
3SyE93O3lYI_4000,0.623,1.099
3SyE93O3lYI_4000,1.33,1.703
3SyE93O3lYI_4000,1.822,2.231
3SyE93O3lYI_4000,2.477,2.864
3SyE93O3lYI_4000,3.043,3.512
3SyE93O3lYI_4000,4.286,5.128
3SyE93O3lYI_4000,5.515,6.043
3SyE93O3lYI_4000,6.252,7.205
DRWYcFx1haE_30000,1.138,2.086
ZUcJmxKrSMA_30000,9.43,9.874
gxUc60nE46A_50000,2.361,2.67
gxUc60nE46A_50000,3.261,3.612
gxUc60nE46A_50000,3.983,4.251
gxUc60nE46A_50000,4.918,5.206
gxUc60nE46A_50000,7.364,7.694
gxUc60nE46A_50000,8.107,8.333
gxUc60nE46A_50000,8.952,9.199
gxUc60nE46A_50000,9.736,10.0
ESdJ-WwHgwE_0,4.642,4.779
ESdJ-WwHgwE_0,5.244,6.284
ESdJ-WwHgwE_0,6.907,7.044
ESdJ-WwHgwE_0,7.345,8.549
CbItqafOZhM_30000,3.044,3.536
CbItqafOZhM_30000,5.449,6.29
hs-GpHQsEfg_7000,6.233,6.539
hs-GpHQsEfg_7000,7.171,8.462
WZ2KizFuslc_14000,1.268,1.535
WZ2KizFuslc_14000,2.201,3.83
WZ2KizFuslc_14000,7.231,8.293
WZ2KizFuslc_14000,8.451,8.588
WZ2KizFuslc_14000,8.949,9.042
IjDB8D1yvX4_12000,4.906,5.581
IjDB8D1yvX4_12000,7.194,8.379
jQQKEyFUiIM_30000,8.265,9.086
nG9NCbs3WpA_11000,7.061,7.784
DM9rqK0Xj44_30000,1.005,1.295
DM9rqK0Xj44_30000,4.213,4.56
DM9rqK0Xj44_30000,7.285,7.527
L0Pj2OWlLIg_0,4.234,4.415
dEMhw2sPgj4_7000,2.485,2.808
dEMhw2sPgj4_7000,3.829,4.134
dEMhw2sPgj4_7000,5.033,5.321
XFDeuVhV9pk_30000,0.0,0.359
XFDeuVhV9pk_30000,0.819,1.306
XFDeuVhV9pk_30000,4.597,5.327
XFDeuVhV9pk_30000,7.641,8.028
XFDeuVhV9pk_30000,8.976,9.117
ufnEydC4ofg_30000,3.391,3.826
ufnEydC4ofg_30000,6.85,7.159
ufnEydC4ofg_30000,7.826,7.942
ufnEydC4ofg_30000,8.589,8.705
ufnEydC4ofg_30000,9.333,9.459
I8Jl1AEjsHA_70000,8.693,10.0
fvfUt_RurWU_3000,0.081,0.689
fvfUt_RurWU_3000,0.882,1.541
fvfUt_RurWU_3000,1.754,3.619
fvfUt_RurWU_3000,3.832,5.759
fvfUt_RurWU_3000,5.901,7.371
fvfUt_RurWU_3000,7.533,8.527
fvfUt_RurWU_3000,8.841,8.963
tDQqRYui_CY_30000,8.844,9.181
MudNYzQ1iHk_30000,6.213,6.969
jY-pNzXJDAU_30000,1.58,2.272
jY-pNzXJDAU_30000,6.712,7.419
jY-pNzXJDAU_30000,8.999,9.609
cQXTOFqdjrA_23000,0.0,0.311
cQXTOFqdjrA_23000,1.254,2.19
cQXTOFqdjrA_23000,3.642,4.424
cQXTOFqdjrA_23000,6.624,7.226
cQXTOFqdjrA_23000,7.828,8.089
lwqtTq9ZakI_30000,7.457,8.161
5qyVLjYbX8c_22000,0.0,2.806
Y1cSp4sX3OY_30000,9.524,9.748
RZQtuC4sbWk_12000,3.414,4.515
zrOgRZBV_MU_30000,2.41,2.678
F2CUqJEo1Xc_14000,8.646,9.03
TS4_Nqzihbk_30000,4.457,4.732
TS4_Nqzihbk_30000,4.952,5.392
TS4_Nqzihbk_30000,9.268,9.509
TCr6p6z4WMw_30000,5.467,5.985
LhbzdtNRTKs_30000,0.0,0.773
LhbzdtNRTKs_30000,0.959,1.385
LhbzdtNRTKs_30000,3.062,3.756
LhbzdtNRTKs_30000,3.921,4.581
LhbzdtNRTKs_30000,5.034,5.516
LhbzdtNRTKs_30000,6.065,6.313
LhbzdtNRTKs_30000,6.546,7.412
LhbzdtNRTKs_30000,7.742,8.155
LhbzdtNRTKs_30000,8.464,9.021
LhbzdtNRTKs_30000,9.165,10.0
8vTLcP9sK8o_13000,0.581,1.124
8vTLcP9sK8o_13000,3.937,4.266
8vTLcP9sK8o_13000,7.538,7.897
dg9QJewQVbU_4000,1.469,1.681
dg9QJewQVbU_4000,2.812,3.063
dg9QJewQVbU_4000,4.696,4.947
dg9QJewQVbU_4000,5.478,6.618
dg9QJewQVbU_4000,6.928,7.111
dg9QJewQVbU_4000,8.454,9.295
mOzq0PAVdhk_30000,9.828,10.0
sXuQbr0bwbY_6000,1.088,1.496
sXuQbr0bwbY_6000,1.933,2.277
sXuQbr0bwbY_6000,2.792,3.079
sXuQbr0bwbY_6000,3.465,3.78
sXuQbr0bwbY_6000,4.368,4.611
sXuQbr0bwbY_6000,5.198,5.606
sXuQbr0bwbY_6000,6.83,7.103
sXuQbr0bwbY_6000,8.441,8.728
cF_k8UOuIg8_14000,0.0,0.509
cF_k8UOuIg8_14000,0.672,1.695
cF_k8UOuIg8_14000,1.923,2.816
cF_k8UOuIg8_14000,3.06,3.669
cF_k8UOuIg8_14000,4.157,4.685
cF_k8UOuIg8_14000,5.123,5.952
cF_k8UOuIg8_14000,7.373,8.243
cF_k8UOuIg8_14000,8.519,9.461
4BTinxmALc4_30000,9.405,9.904
vSKvZlIlmJY_30000,0.126,0.344
