 segment_id,start_time_seconds,end_time_seconds
O35jXasNYxc_30000,0.000,10.0
cUAe_N9oODs_0,0.160,10.0
JwVPpjAuphk_120000,0.000,10.0
-FI_F5Lclrg_0,1.140.000,4.0
-FI_F5Lclrg_0,7.756,9.021
T98j2xSPmNI_10000,0.000,10.0
ARe0EJjxLgI_140000,0.000,10.0
-x1F1bVe6JM_30000,0.000,1.818
kN06AK8F69U_70000,0.000,10.0
Vik92IFLCW0_250000,0.000,10.0
4_8pphEX25g_30000,0.000,10.0
1MjtxzIAz4s_30000,0.000,10.0
aVdPh-RiNcc_0,0.151,5.267
3YiF8aSw51g_10000,0.000,10.0
DL2wJuDxsrc_30000,0.000,10.0
X6U476H2pWw_20000,0.000,10.0
5Oh1RcMds78_30000,0.000,10.0
tAN1g7ZhE4c_0,0.121,9.0
VQ30FoRBzDY_200000,0.000,10.0
R9fgM0p4MTg_0,0.024,10.0
aSL8YvLPJwA_13000,0.000,9.355
AFuLJEP7Qdo_0,4.092,7.933
AFuLJEP7Qdo_0,8.142,10.0
7m2LYY8fo0E_10000,0.000,9.064
28oK-ruIvVw_70000,0.000,10.0
U_Vx4xCaP_E_0,0.000,10.0
1G5IEKEzQwE_20000,0.000,6.2
b3jLqJ-L8as_30000,0.000,10.0
BT-koNYZQzU_30000,0.000,10.0
jVcWTLN1OrY_0,4.480,10.0
SbTznxQqisg_120000,3.478,10.0
SR1jvKfk3ng_2000,0.000,9.855
gFkcOhYLI7A_60000,0.000,10.0
6yTmSBQs_bo_100000,0.000,10.0
CUtbzo2jqkQ_20000,0.000,10.0
yxf89RrH61U_200000,0.000,10.0
Dvtz6Y1hSiA_30000,0.000,10.0
zl_8NDANRbY_0,2.784,10.0
Gw2hH6xjjzc_10000,0.000,10.0
yA2pJreaGGs_30000,0.000,10.0
SPGMdNN6j18_50000,0.008,10.0
bOA53yS3bTI_0,1.836,2.705
bOA53yS3bTI_0,7.391,10.0
KcgMyfsPYEA_20000,0.000,10.0
8N0f6KMD6xw_450000,0.000,10.0
xt6fg3Zwk-8_390000,0.000,10.0
tl5XgWJ3xK8_0,0.054,6.358
tl5XgWJ3xK8_0,6.691,10.0
-NrpfrEGq5w_40000,0.000,10.0
MMMCcZQ5bLY_120000,0.000,10.0
95JAgJldpCE_10000,0.000,3.597
RvfNqUp3oAA_160000,0.000,10.0
g_XV8FlSEn4_30000,0.000,10.0
DMXZ31lpI3Y_0,2.423,8.385
nICqIaJPP2o_370000,0.000,10.0
2H8FC4xTLNE_30000,0.000,10.0
FQtyo6HAWSI_40000,0.000,10.0
AK4iN4tltjs_250000,0.000,2.266
AK4iN4tltjs_250000,2.958,8.041
4nRZMEckRAg_510000,5.402,10.0
89O7_9cFQn0_6000,0.000,7.845
85gBmJmnxBU_510000,0.008,10.0
g3-CqgicYRM_100000,0.000,10.0
SIa9tdDXkGg_30000,0.000,10.0
gwWfVEvOPhk_510000,0.000,10.0
h1HVpQ0AC-4_220000,0.000,6.232
KIK8cEPxMFE_40000,0.000,10.0
hkVoq1bU4Pk_290000,0.000,10.0
2129spRdjDo_90000,0.000,10.0
5Y-wIUKiqBE_30000,0.000,10.0
fcWZQkkD3IM_190000,0.000,10.0
OrsHnvVdUV8_70000,0.000,10.0
wE-PqX8yREk_40000,0.000,10.0
wV7HO5B0pd4_570000,4.891,10.0
c9OnubhhvZY_0,0.000,10.0
77JvW-b2ZS4_30000,0.000,10.0
9fd5hN9ivdE_0,0.079,1.65
BfSrfU-BvfQ_60000,0.000,10.0
_oRib1d-9LA_30000,1.829,3.012
Rc_ANPs4YH4_30000,0.015,10.0
o7adUPJULjQ_20000,0.000,10.0
nwc3x6rjbhU_30000,0.000,10.0
w-KnxqiaNL4_20000,4.213,9.185
rbXzrD1V-Hc_40000,0.000,10.0
iqeD445r9UU_10000,0.000,10.0
8HsUSw982IM_110000,9.197,10.0
YtmHEUy5EU0_0,0.875,10.0
md_Qh7yl5rM_60000,0.000,10.0
2XCFddN1Dfg_30000,0.000,10.0
OI-1ob0saio_30000,0.000,10.0
5MZYUwiSfVg_70000,0.000,10.0
UoreTst_XYg_140000,0.000,0.493
UoreTst_XYg_140000,0.667,10.0
xWBSrAcF-P4_29000,0.000,9.151
l0eS8xE5XII_260000,0.000,10.0
4gCXfIj1xyY_60000,0.000,10.0
2E_2Gnoj8_Y_30000,0.000,10.0
LRMGMVCUA9E_8000,0.000,9.877
n5H_-JVBEzU_50000,0.000,10.0
PkJ01biMcAA_10000,0.000,10.0
F3t3NRFYM_Q_10000,0.000,10.0
NoaWpfdN4mc_20000,0.000,10.0
NJ5P3Yy150I_30000,0.000,10.0
6Ji_UEYmWlE_140000,0.000,3.095
6Ji_UEYmWlE_140000,3.247,3.662
6Ji_UEYmWlE_140000,3.807,6.518
6Ji_UEYmWlE_140000,6.649,8.448
6Ji_UEYmWlE_140000,8.994,10.0
MPF-nNshbB8_70000,0.000,10.0
IVxADeQXXvU_250000,1.399,10.0
xitOXLtQ7yA_10000,0.000,10.0
CfEHqU1Tq-4_30000,0.000,10.0
uEZMop-H5fc_90000,0.000,10.0
6bYimTpNCdc_370000,0.000,10.0
jH9znfSNCX4_70000,0.000,10.0
EP_xmAcyYJg_30000,0.000,10.0
d-x3nlkE3ig_230000,0.000,0.377
d-x3nlkE3ig_230000,0.501,7.348
jH_wKMLQVkA_0,0.058,10.0
SULC89tVzbY_0,0.015,10.0
hT97CiTFXHY_230000,0.000,10.0
ZM7HHKoV06g_200000,0.000,10.0
nKdPjkVUbzc_210000,0.000,10.0
M8s5FCErKbM_30000,0.000,10.0
0FCMzPtyq6g_30000,0.000,10.0
nTb9u_w_4Ls_30000,0.000,10.0
V2FuraJKqPI_180000,0.000,10.0
-w9BldxFbKc_70000,0.000,10.0
bLIdQagC2KE_30000,0.000,10.0
1AoGeVAP6vo_30000,1.362,10.0
UKe4fbDH2XI_370000,0.000,10.0
0BQTsgJwA-E_30000,0.000,10.0
pmbXOq5ikiU_130000,0.000,10.0
KbvWHDRt69Q_30000,0.000,10.0
ZU-zJHTAUt8_30000,0.000,10.0
wAD17TNgpEw_10000,0.000,10.0
8jtKYSQKCpY_160000,0.000,10.0
n8D4rTJ-1E4_190000,0.000,10.0
MG7Q7TWJ_oQ_200000,0.000,8.63
VtbOYk9tGsA_14000,0.000,9.326
RjMP8QvvZcs_60000,0.000,10.0
zI6nfVyJWn4_100000,0.000,10.0
id5yZxqknYM_50000,0.000,10.0
2Gk0hUFw68M_0,4.457,10.0
O7rh8IRAtDs_490000,0.000,10.0
Mw6qbBeBvLM_50000,0.000,10.0
V6QKSFx_fo4_10000,0.037,1.031
V6QKSFx_fo4_10000,6.259,10.0
8L4JS3c-I8A_29000,0.000,4.144
8L4JS3c-I8A_29000,4.876,7.01
8L4JS3c-I8A_29000,7.743,8.988
tFWAyWlJeCI_30000,0.015,10.0
