 segment_id,start_time_seconds,end_time_seconds
JwVPpjAuphk_120000,0.354,0.794
JwVPpjAuphk_120000,3.096,3.309
JwVPpjAuphk_120000,4.065,4.828
JwVPpjAuphk_120000,5.055,5.392
JwVPpjAuphk_120000,5.577,6.292
JwVPpjAuphk_120000,6.478,7.165
JwVPpjAuphk_120000,7.344,7.55
3YiF8aSw51g_10000,9.157,9.606
5Oh1RcMds78_30000,5.424,6.334
99Bhn0OHqYo_70000,0.0,1.386
99Bhn0OHqYo_70000,3.369,5.164
99Bhn0OHqYo_70000,6.455,8.186
99Bhn0OHqYo_70000,8.324,9.518
u8c8dfSKzkQ_80000,0.005,5.903
OijOyLZzZHQ_70000,1.581,1.947
OijOyLZzZHQ_70000,2.239,2.922
OijOyLZzZHQ_70000,3.157,3.872
OijOyLZzZHQ_70000,6.894,7.3
FaVBRSiCw4w_320000,5.154,5.601
FaVBRSiCw4w_320000,6.816,7.43
8N0f6KMD6xw_450000,8.333,8.519
8N0f6KMD6xw_450000,8.711,8.897
8N0f6KMD6xw_450000,9.083,9.33
e36RMZUdxcE_40000,0.472,0.961
e36RMZUdxcE_40000,2.646,3.079
e36RMZUdxcE_40000,3.559,3.961
e36RMZUdxcE_40000,6.142,6.496
2b29WCiRpdM_330000,1.337,1.487
2b29WCiRpdM_330000,2.75,3.361
HunNHkOaWu0_30000,7.874,8.26
2H8FC4xTLNE_30000,6.338,6.85
2H8FC4xTLNE_30000,7.507,7.884
8h-pXiNJlHo_5000,0.0,1.654
8h-pXiNJlHo_5000,1.988,2.54
8h-pXiNJlHo_5000,2.719,2.922
8h-pXiNJlHo_5000,3.182,4.181
8h-pXiNJlHo_5000,4.636,4.839
8h-pXiNJlHo_5000,5.066,6.277
8h-pXiNJlHo_5000,6.504,6.821
8h-pXiNJlHo_5000,7.016,7.95
8h-pXiNJlHo_5000,8.161,8.73
8h-pXiNJlHo_5000,8.925,10.0
H8qwXObkhxg_30000,0.0,2.304
H8qwXObkhxg_30000,2.459,7.666
AR1E_nLhw8k_30000,1.256,1.69
k4L73axUivk_10000,3.401,4.268
k4L73axUivk_10000,4.913,5.698
k4L73axUivk_10000,6.561,7.375
k4L73axUivk_10000,8.633,9.515
U-rMLpfjRkU_40000,0.827,1.735
U-rMLpfjRkU_40000,7.02,7.369
U-rMLpfjRkU_40000,8.929,9.22
z46zbVIXUzs_60000,7.866,10.0
g6h0MKg2-7w_30000,0.0,0.255
g6h0MKg2-7w_30000,0.382,0.63
g6h0MKg2-7w_30000,0.746,0.839
g6h0MKg2-7w_30000,0.977,1.191
g6h0MKg2-7w_30000,1.296,1.538
g6h0MKg2-7w_30000,1.706,1.943
g6h0MKg2-7w_30000,2.111,2.267
g6h0MKg2-7w_30000,2.406,2.487
g6h0MKg2-7w_30000,2.608,2.713
g6h0MKg2-7w_30000,2.875,2.944
g6h0MKg2-7w_30000,3.002,3.106
g6h0MKg2-7w_30000,3.436,5.269
g6h0MKg2-7w_30000,5.373,5.46
g6h0MKg2-7w_30000,5.726,5.842
g6h0MKg2-7w_30000,5.905,6.015
g6h0MKg2-7w_30000,6.304,6.403
g6h0MKg2-7w_30000,7.091,7.195
g6h0MKg2-7w_30000,7.368,7.559
g6h0MKg2-7w_30000,7.75,7.924
g6h0MKg2-7w_30000,8.178,8.41
g6h0MKg2-7w_30000,8.485,8.618
g6h0MKg2-7w_30000,8.733,8.849
g6h0MKg2-7w_30000,8.947,9.051
g6h0MKg2-7w_30000,9.173,9.294
g6h0MKg2-7w_30000,9.364,9.537
g6h0MKg2-7w_30000,9.641,9.711
g6h0MKg2-7w_30000,9.809,9.919
0wVH8azj0CI_30000,0.022,0.33
0wVH8azj0CI_30000,0.688,1.24
0wVH8azj0CI_30000,2.142,2.426
0wVH8azj0CI_30000,2.597,2.987
0wVH8azj0CI_30000,3.84,4.295
0wVH8azj0CI_30000,4.611,5.586
0wVH8azj0CI_30000,6.009,6.488
0wVH8azj0CI_30000,6.918,7.138
0wVH8azj0CI_30000,7.479,8.023
0wVH8azj0CI_30000,8.763,9.169
0wVH8azj0CI_30000,9.486,9.916
F3t3NRFYM_Q_10000,7.584,8.127
bKZxCu5vn8s_30000,0.066,0.488
bKZxCu5vn8s_30000,0.778,1.484
bKZxCu5vn8s_30000,1.663,3.579
bKZxCu5vn8s_30000,3.738,4.098
bKZxCu5vn8s_30000,4.277,4.692
bKZxCu5vn8s_30000,5.149,5.439
bKZxCu5vn8s_30000,5.55,6.145
bKZxCu5vn8s_30000,6.525,6.94
bKZxCu5vn8s_30000,7.14,7.618
bKZxCu5vn8s_30000,7.804,8.344
bKZxCu5vn8s_30000,8.51,9.305
rdmbyYreqiU_10000,8.846,9.533
IwU1aHKGreA_250000,1.086,1.237
IwU1aHKGreA_250000,1.871,2.054
IwU1aHKGreA_250000,6.537,6.779
IwU1aHKGreA_250000,8.758,9.053
1AoGeVAP6vo_30000,0.879,2.483
1AoGeVAP6vo_30000,3.188,3.478
1AoGeVAP6vo_30000,5.13,5.517
1AoGeVAP6vo_30000,7.015,7.362
1AoGeVAP6vo_30000,7.894,8.444
1AoGeVAP6vo_30000,8.85,9.604
pX5tBmYNJd8_50000,0.039,0.157
pX5tBmYNJd8_50000,0.591,0.724
pX5tBmYNJd8_50000,3.992,4.205
pX5tBmYNJd8_50000,6.717,7.488
RjMP8QvvZcs_60000,1.557,1.679
2Gk0hUFw68M_0,8.213,8.323
8L4JS3c-I8A_29000,0.241,4.144
8L4JS3c-I8A_29000,4.876,5.975
8L4JS3c-I8A_29000,7.753,8.988
SRFr69xe2c0_30000,6.321,6.729
SRFr69xe2c0_30000,9.322,9.682
NXSMEuYMYTE_30000,0.355,2.394
NXSMEuYMYTE_30000,8.673,8.966
4FNqQtpRAHs_30000,8.65,10.0
Qk5bP08Is_8_420000,0.087,0.477
Qk5bP08Is_8_420000,0.615,1.175
Qk5bP08Is_8_420000,2.54,2.93
Qk5bP08Is_8_420000,3.271,3.693
Qk5bP08Is_8_420000,4.002,4.441
Qk5bP08Is_8_420000,4.644,4.904
Qk5bP08Is_8_420000,5.123,5.424
Qk5bP08Is_8_420000,5.627,5.976
Qk5bP08Is_8_420000,6.163,6.537
Qk5bP08Is_8_420000,6.78,7.187
Qk5bP08Is_8_420000,7.341,7.706
Qk5bP08Is_8_420000,7.901,8.275
Qk5bP08Is_8_420000,8.47,8.844
Qk5bP08Is_8_420000,9.039,9.461
Qk5bP08Is_8_420000,9.68,10.0
qeieIOKLwmM_5000,0.388,2.946
qeieIOKLwmM_5000,3.533,7.187
7c29dbjnENA_20000,0.0,0.196
7c29dbjnENA_20000,0.783,8.626
JGvFVP0Fb7Y_10000,1.944,2.91
JGvFVP0Fb7Y_10000,3.306,3.562
JGvFVP0Fb7Y_10000,3.865,4.214
JGvFVP0Fb7Y_10000,4.47,4.82
JGvFVP0Fb7Y_10000,5.134,5.518
JGvFVP0Fb7Y_10000,5.774,6.682
JGvFVP0Fb7Y_10000,7.381,8.615
cq6bqC_AsO4_0,0.629,4.114
cq6bqC_AsO4_0,4.313,10.0
P6V-AA-R05k_80000,0.008,0.315
P6V-AA-R05k_80000,0.859,1.142
P6V-AA-R05k_80000,5.0,5.512
P6V-AA-R05k_80000,6.417,6.85
P6V-AA-R05k_80000,7.811,7.89
P6V-AA-R05k_80000,8.772,9.024
1dYSqcaVkkw_30000,2.502,2.628
8MLyXIN6baA_30000,1.512,2.133
8MLyXIN6baA_30000,7.972,10.0
KfUbPgwRL_w_3000,7.469,8.943
bIacRVAHQZ0_30000,0.787,1.362
bIacRVAHQZ0_30000,7.575,8.142
WDF7PWPrNHs_280000,3.849,4.367
WDF7PWPrNHs_280000,4.492,4.858
WDF7PWPrNHs_280000,5.757,5.958
WDF7PWPrNHs_280000,6.124,6.774
b_VYqLiy93E_90000,0.911,1.248
b_VYqLiy93E_90000,2.354,2.684
b_VYqLiy93E_90000,2.973,3.742
b_VYqLiy93E_90000,6.168,6.395
b_VYqLiy93E_90000,7.083,7.309
b_VYqLiy93E_90000,7.577,9.206
0OImwO8O7Kw_30000,0.303,0.501
0OImwO8O7Kw_30000,1.013,1.595
0OImwO8O7Kw_30000,2.643,6.566
0OImwO8O7Kw_30000,7.718,7.986
CvTWj8uvTPs_0,0.363,1.013
CvTWj8uvTPs_0,5.204,5.416
CvTWj8uvTPs_0,6.618,6.748
CvTWj8uvTPs_0,7.755,8.348
WHVQjbuYIvs_0,8.12,8.41
aHZJZ3lgjHU_30000,8.561,8.813
HOpqOrECufQ_0,7.117,7.99
HOpqOrECufQ_0,8.402,8.629
zwz2DAZr-UE_50000,0.0,0.867
zwz2DAZr-UE_50000,1.11,1.589
zwz2DAZr-UE_50000,1.906,6.748
zwz2DAZr-UE_50000,6.91,10.0
GjkDN1hZ1UI_6000,0.0,9.372
AdJm_m7RAW4_7000,0.39,0.909
AdJm_m7RAW4_7000,1.702,2.105
AdJm_m7RAW4_7000,3.027,3.482
AdJm_m7RAW4_7000,4.34,4.781
AdJm_m7RAW4_7000,5.652,6.094
AdJm_m7RAW4_7000,7.003,7.445
AdJm_m7RAW4_7000,8.302,8.731
vFXLo_j9S3s_320000,0.0,0.607
vFXLo_j9S3s_320000,0.712,1.07
vFXLo_j9S3s_320000,1.752,1.874
vFXLo_j9S3s_320000,3.921,3.97
vFXLo_j9S3s_320000,4.083,4.157
vFXLo_j9S3s_320000,4.286,5.944
vFXLo_j9S3s_320000,6.228,6.602
vFXLo_j9S3s_320000,6.732,6.845
vFXLo_j9S3s_320000,6.992,7.373
vFXLo_j9S3s_320000,7.771,7.999
vFXLo_j9S3s_320000,8.129,8.226
vFXLo_j9S3s_320000,8.389,8.771
vFXLo_j9S3s_320000,8.933,9.201
vFXLo_j9S3s_320000,9.315,9.981
WvDevBncvzI_30000,1.63,2.118
8nErvD2m8dM_30000,9.063,10.0
Mp_BDiPo4Is_120000,9.874,10.0
8dLOuOtb18U_350000,0.615,0.957
GS9kIj9n-BU_50000,3.905,4.579
GS9kIj9n-BU_50000,7.333,8.064
GS9kIj9n-BU_50000,8.551,9.063
-xAMGytl3Xo_30000,0.0,7.441
-xAMGytl3Xo_30000,7.677,10.0
Q7fBGvCgBmc_19000,0.474,2.093
CvyjRmHoqfg_14000,7.787,10.0
idE3Vc9BIPk_30000,0.252,0.378
idE3Vc9BIPk_30000,0.543,0.661
idE3Vc9BIPk_30000,0.811,0.913
idE3Vc9BIPk_30000,1.024,1.134
idE3Vc9BIPk_30000,1.213,1.512
idE3Vc9BIPk_30000,7.685,7.945
BU1RHWLVlhQ_10000,3.58,3.791
BU1RHWLVlhQ_10000,4.685,4.928
BU1RHWLVlhQ_10000,5.391,5.773
m3wSKGh4LkQ_2000,2.683,2.88
cppRdZLr-OU_30000,0.052,1.99
cppRdZLr-OU_30000,2.168,2.457
cppRdZLr-OU_30000,4.567,6.093
cppRdZLr-OU_30000,7.289,7.804
EY4u8Ip39KE_27000,2.004,2.298
EY4u8Ip39KE_27000,3.931,4.016
EY4u8Ip39KE_27000,4.155,4.225
ls6KWdtakb8_30000,3.85,4.291
1qfc5nr634U_24000,0.614,0.79
1qfc5nr634U_24000,2.263,2.399
1qfc5nr634U_24000,3.232,3.36
1qfc5nr634U_24000,3.896,4.008
1qfc5nr634U_24000,4.584,4.825
1qfc5nr634U_24000,5.289,5.473
1qfc5nr634U_24000,5.993,6.21
1qfc5nr634U_24000,6.498,6.978
1qfc5nr634U_24000,7.298,7.522
1qfc5nr634U_24000,8.091,8.611
1qfc5nr634U_24000,9.196,9.42
4HfHRvLxQ8M_30000,0.086,2.237
4HfHRvLxQ8M_30000,2.588,3.392
4HfHRvLxQ8M_30000,3.681,5.756
4HfHRvLxQ8M_30000,5.9,6.979
4HfHRvLxQ8M_30000,7.096,8.581
