 segment_id,start_time_seconds,end_time_seconds
3rmbKeJ_ydE_30000,4.132,4.49
3rmbKeJ_ydE_30000,5.627,5.936
ZvAdd4Jb1xA_30000,7.675,8.322
ARe0EJjxLgI_140000,9.681,10.0
3zOfKHtXxws_30000,8.763,9.38
NlmTOFjtPpQ_30000,1.061,1.265
kN06AK8F69U_70000,8.948,9.687
xd0S5JNxKrY_410000,0.0,3.014
xd0S5JNxKrY_410000,3.748,10.0
Vik92IFLCW0_250000,2.307,2.772
Vik92IFLCW0_250000,4.709,5.709
Vik92IFLCW0_250000,8.102,8.976
qy7bIeBh-0c_30000,2.183,2.491
qy7bIeBh-0c_30000,6.845,7.154
4_8pphEX25g_30000,4.228,4.787
NL63n_7vYSY_30000,6.622,7.323
YdFfhvxPe2g_70000,5.354,5.701
YdFfhvxPe2g_70000,6.37,6.787
YdFfhvxPe2g_70000,8.094,8.378
GiX-9TQI6RM_130000,0.745,1.013
GiX-9TQI6RM_130000,2.832,3.141
GiX-9TQI6RM_130000,4.676,4.839
GiX-9TQI6RM_130000,6.829,7.057
gmBew75tFZs_210000,1.242,1.52
gmBew75tFZs_210000,2.032,2.303
gmBew75tFZs_210000,4.357,4.703
FYlqpw_DjOU_340000,0.579,0.927
FYlqpw_DjOU_340000,7.182,7.68
gDfsE-DEO8s_30000,0.489,1.061
gDfsE-DEO8s_30000,6.591,6.998
gDfsE-DEO8s_30000,8.164,8.442
DL2wJuDxsrc_30000,3.45,4.132
DL2wJuDxsrc_30000,7.674,8.153
b4b0Hk3rirs_30000,0.0,0.237
b4b0Hk3rirs_30000,3.813,4.19
b4b0Hk3rirs_30000,8.799,9.162
IP76iz_I2hc_160000,5.131,5.302
IP76iz_I2hc_160000,5.643,6.027
IP76iz_I2hc_160000,8.458,8.796
VQ30FoRBzDY_200000,3.198,3.646
VQ30FoRBzDY_200000,3.972,4.426
VQ30FoRBzDY_200000,6.042,6.524
VQ30FoRBzDY_200000,8.921,9.891
r2RQXZoAs_Q_40000,1.614,2.02
R9fgM0p4MTg_0,5.583,6.197
aSL8YvLPJwA_13000,0.0,0.394
AFuLJEP7Qdo_0,8.142,8.408
I3feF0l7WAk_160000,5.087,5.483
I3feF0l7WAk_160000,6.193,6.484
NkMq6uzS-Z8_27000,0.0,0.75
NkMq6uzS-Z8_27000,2.276,2.737
LhSV8rp8wJI_130000,5.846,6.439
28oK-ruIvVw_70000,4.425,4.652
28oK-ruIvVw_70000,9.429,9.802
aJnBeVung88_30000,5.845,6.766
aJnBeVung88_30000,7.034,7.406
FUNlb0qViSE_10000,0.315,0.75
FUNlb0qViSE_10000,3.937,5.586
FUNlb0qViSE_10000,6.829,7.308
BT-koNYZQzU_30000,3.496,3.973
BT-koNYZQzU_30000,6.587,6.898
SbTznxQqisg_120000,4.846,5.14
WXhyFfREPHI_30000,5.244,5.543
6yTmSBQs_bo_100000,3.0,3.619
6yTmSBQs_bo_100000,3.818,4.278
6yTmSBQs_bo_100000,5.536,6.278
6yTmSBQs_bo_100000,8.505,9.117
TbdGnNEO67g_40000,0.0,0.299
TbdGnNEO67g_40000,4.34,4.849
aehFUA2CRmY_90000,1.99,2.423
aehFUA2CRmY_90000,7.639,8.107
StCVu_aXZXY_30000,1.241,1.509
Dvtz6Y1hSiA_30000,0.643,0.835
Dvtz6Y1hSiA_30000,3.199,3.385
Dvtz6Y1hSiA_30000,5.887,6.114
Dvtz6Y1hSiA_30000,8.938,9.186
mptnPwhdvUg_20000,0.719,1.169
RYkHdf4KFlI_560000,1.035,1.301
RYkHdf4KFlI_560000,4.575,4.835
xt6fg3Zwk-8_390000,2.142,2.369
kZ93uTRHthk_260000,0.423,0.705
kZ93uTRHthk_260000,1.804,2.045
kZ93uTRHthk_260000,2.897,3.186
kZ93uTRHthk_260000,5.268,5.612
kZ93uTRHthk_260000,6.526,6.815
kZ93uTRHthk_260000,7.66,8.134
kZ93uTRHthk_260000,9.103,9.426
bbb63TfcYMo_6000,1.021,1.305
bbb63TfcYMo_6000,3.213,3.661
sahVbvsD5mQ_80000,8.56,8.856
-NrpfrEGq5w_40000,2.004,2.485
_L4PfGXn9uY_30000,1.559,2.0
_L4PfGXn9uY_30000,7.819,8.126
95JAgJldpCE_10000,9.43,9.663
H9Zwnqr8UF4_30000,2.638,2.827
gyv7oH2MDVo_80000,7.764,8.165
gWxfqR7v0Eg_10000,0.564,0.918
gWxfqR7v0Eg_10000,2.287,2.792
gWxfqR7v0Eg_10000,3.085,3.281
gWxfqR7v0Eg_10000,3.574,4.018
gWxfqR7v0Eg_10000,4.206,4.944
89O7_9cFQn0_6000,0.706,0.94
89O7_9cFQn0_6000,2.377,2.548
Z4ZPceGRAPc_0,0.075,0.489
Z4ZPceGRAPc_0,4.733,5.425
eUJ2S0qC6MU_140000,4.652,5.188
zfp2JGBgzes_240000,0.0,0.175
zfp2JGBgzes_240000,0.361,0.54
