 segment_id,start_time_seconds,end_time_seconds
vNuO2muCeNo_0,8.543,10.0
YdFfhvxPe2g_70000,4.354,5.094
aSL8YvLPJwA_13000,2.712,3.202
FUNlb0qViSE_10000,3.392,3.945
jVcWTLN1OrY_0,8.11,8.835
6yTmSBQs_bo_100000,0.175,0.973
6yTmSBQs_bo_100000,1.344,2.196
6yTmSBQs_bo_100000,3.062,3.557
6yTmSBQs_bo_100000,4.258,5.282
6yTmSBQs_bo_100000,6.753,7.983
OijOyLZzZHQ_70000,1.906,2.467
OijOyLZzZHQ_70000,6.91,7.544
OijOyLZzZHQ_70000,9.615,10.0
-8yNBmjX1bE_30000,0.0,1.908
-8yNBmjX1bE_30000,4.507,5.262
-8yNBmjX1bE_30000,5.967,6.364
SfXW8PwJsLw_50000,6.535,6.819
xt6fg3Zwk-8_390000,0.168,0.412
7eufkRDmIzU_10000,8.545,8.913
AK4iN4tltjs_250000,0.0,2.151
AK4iN4tltjs_250000,3.15,7.823
AK4iN4tltjs_250000,9.475,9.936
BjxejIQ6cTc_30000,6.876,7.875
BjxejIQ6cTc_30000,8.489,9.373
wFDzME9EshA_20000,0.071,1.43
eFuJQu5wPXM_0,0.042,0.468
eFuJQu5wPXM_0,4.392,4.665
SSv-Fbud5oA_80000,2.109,3.157
SSv-Fbud5oA_80000,3.304,3.661
SSv-Fbud5oA_80000,5.968,8.421
wE-PqX8yREk_40000,0.266,0.489
YmuJeq__g8w_30000,7.178,7.577
fYC5N-KNdOw_520000,0.0,0.34
fYC5N-KNdOw_520000,8.725,8.895
nwc3x6rjbhU_30000,9.22,10.0
UWzPzjgWVAI_220000,5.863,6.113
_gS-xLrmDPk_400000,0.016,0.302
_gS-xLrmDPk_400000,0.462,1.571
_gS-xLrmDPk_400000,3.134,3.501
_gS-xLrmDPk_400000,4.296,4.734
_gS-xLrmDPk_400000,7.46,8.264
m7KNrjqgs8Y_180000,0.016,0.679
m7KNrjqgs8Y_180000,1.249,2.6
m7KNrjqgs8Y_180000,3.803,4.997
yhbpAGdv_d8_50000,0.087,1.244
yhbpAGdv_d8_50000,8.646,9.293
yhbpAGdv_d8_50000,9.654,10.0
Un7Yvajn3RY_60000,7.341,8.129
QnnUtkhR-fY_380000,3.378,3.951
UwNmMewIp1U_10000,3.363,3.988
UwNmMewIp1U_10000,6.26,6.93
UwNmMewIp1U_10000,8.51,10.0
IwU1aHKGreA_250000,1.2,1.863
IwU1aHKGreA_250000,2.958,3.663
IwU1aHKGreA_250000,4.842,6.516
IwU1aHKGreA_250000,7.263,8.705
IwU1aHKGreA_250000,9.526,9.779
KpUv2ztKALY_480000,0.0,0.835
KpUv2ztKALY_480000,1.289,2.691
KpUv2ztKALY_480000,3.117,5.371
KpUv2ztKALY_480000,6.3,7.323
KpUv2ztKALY_480000,9.138,9.674
KpUv2ztKALY_480000,9.804,10.0
3qrVku794u0_12000,4.954,5.372
id5yZxqknYM_50000,0.0,0.392
id5yZxqknYM_50000,0.592,0.922
2qMHE8NMSmA_30000,1.354,1.711
2qMHE8NMSmA_30000,2.719,3.239
2qMHE8NMSmA_30000,5.481,5.692
2qMHE8NMSmA_30000,5.976,6.334
2qMHE8NMSmA_30000,7.341,8.153
2qMHE8NMSmA_30000,8.803,9.356
2qMHE8NMSmA_30000,9.802,10.0
bq_IO25i8BQ_30000,0.0,0.639
bq_IO25i8BQ_30000,0.834,1.5
2qWyZoTFp5M_30000,5.646,6.622
SRFr69xe2c0_30000,3.085,3.638
nTjXKvuUhsY_110000,0.0,0.336
nTjXKvuUhsY_110000,1.981,3.157
nTjXKvuUhsY_110000,4.34,5.543
nTjXKvuUhsY_110000,8.932,10.0
UU7AWztCls4_0,2.626,3.17
UU7AWztCls4_0,3.547,4.106
UU7AWztCls4_0,6.171,6.691
UU7AWztCls4_0,8.561,8.813
UU7AWztCls4_0,9.05,9.372
to4Fi7Ie9mQ_90000,9.268,10.0
vGA9whc1dt0_10000,0.0,0.622
vGA9whc1dt0_10000,0.858,1.748
vGA9whc1dt0_10000,2.039,2.283
vGA9whc1dt0_10000,4.339,5.079
pWQwgHZgnqo_0,6.328,7.103
APV65gMZT18_4000,3.256,5.632
APV65gMZT18_4000,7.909,8.98
0SuMMsS9FzQ_30000,0.0,0.355
0SuMMsS9FzQ_30000,0.582,1.232
0SuMMsS9FzQ_30000,1.46,2.109
0SuMMsS9FzQ_30000,8.421,10.0
1ERr7V0brQ4_30000,0.512,1.283
1ERr7V0brQ4_30000,1.512,2.37
1ERr7V0brQ4_30000,4.094,5.102
W_h_ePtzOrk_280000,3.921,4.748
1w4nx8vGh_s_200000,3.747,10.0
0OImwO8O7Kw_30000,1.083,2.468
0OImwO8O7Kw_30000,3.341,5.46
0OImwO8O7Kw_30000,8.056,8.638
0OImwO8O7Kw_30000,9.22,9.814
aBA8SdHpg9w_22000,6.797,8.025
