 segment_id,start_time_seconds,end_time_seconds
cUAe_N9oODs_0,0.363,0.883
cUAe_N9oODs_0,4.847,5.107
cUAe_N9oODs_0,9.094,10.0
sWdJR9dInhw_19000,2.286,2.991
eBbJ6jsZGyI_20000,0.335,2.246
NlmTOFjtPpQ_30000,1.354,4.319
845Zjsbezrg_30000,0.0,4.806
845Zjsbezrg_30000,4.928,5.968
845Zjsbezrg_30000,6.748,7.122
845Zjsbezrg_30000,8.226,9.908
kN06AK8F69U_70000,7.26,8.035
qy7bIeBh-0c_30000,0.0,2.109
qy7bIeBh-0c_30000,2.54,4.148
qy7bIeBh-0c_30000,4.278,6.829
qy7bIeBh-0c_30000,7.154,8.413
qy7bIeBh-0c_30000,8.551,10.0
NL63n_7vYSY_30000,0.443,1.9
NL63n_7vYSY_30000,2.423,2.815
NL63n_7vYSY_30000,4.065,4.787
iPF9iH0iECk_0,0.272,2.697
DL2wJuDxsrc_30000,0.0,0.493
DL2wJuDxsrc_30000,1.598,1.947
DL2wJuDxsrc_30000,2.979,3.401
DL2wJuDxsrc_30000,9.364,10.0
k66bTjbqu0Q_20000,0.362,0.811
k66bTjbqu0Q_20000,1.142,1.921
R9fgM0p4MTg_0,6.37,8.283
aCNk-6UiGLI_100000,5.896,6.435
aCNk-6UiGLI_100000,7.064,8.012
aCNk-6UiGLI_100000,8.973,9.243
aCNk-6UiGLI_100000,9.699,10.0
NkMq6uzS-Z8_27000,0.774,2.263
NkMq6uzS-Z8_27000,2.856,5.141
NkMq6uzS-Z8_27000,5.425,6.077
NkMq6uzS-Z8_27000,6.762,7.987
LhSV8rp8wJI_130000,6.561,8.283
aJnBeVung88_30000,0.691,0.87
aJnBeVung88_30000,2.052,2.629
aJnBeVung88_30000,5.041,5.248
aJnBeVung88_30000,8.382,9.103
aJnBeVung88_30000,9.591,10.0
FUNlb0qViSE_10000,1.663,2.12
6yTmSBQs_bo_100000,1.33,3.076
6yTmSBQs_bo_100000,9.681,10.0
HTNt5L3gjX4_80000,4.502,5.288
HTNt5L3gjX4_80000,7.719,8.698
u8c8dfSKzkQ_80000,0.412,1.061
u8c8dfSKzkQ_80000,1.5,2.832
u8c8dfSKzkQ_80000,3.052,4.425
-8yNBmjX1bE_30000,0.0,1.383
-8yNBmjX1bE_30000,1.536,2.292
-8yNBmjX1bE_30000,2.663,3.406
-8yNBmjX1bE_30000,3.675,4.187
-8yNBmjX1bE_30000,7.132,7.516
-8yNBmjX1bE_30000,8.937,9.206
-8yNBmjX1bE_30000,9.91,10.0
yxf89RrH61U_200000,9.511,10.0
Dvtz6Y1hSiA_30000,0.037,0.608
Dvtz6Y1hSiA_30000,0.877,3.179
Dvtz6Y1hSiA_30000,3.447,5.701
Dvtz6Y1hSiA_30000,6.148,8.918
Dvtz6Y1hSiA_30000,9.206,10.0
yA2pJreaGGs_30000,1.612,1.907
yA2pJreaGGs_30000,3.076,3.495
yA2pJreaGGs_30000,4.065,4.258
yA2pJreaGGs_30000,5.062,5.736
yA2pJreaGGs_30000,6.732,8.34
yA2pJreaGGs_30000,8.65,10.0
hy7szSmYMZM_380000,5.98,7.99
hy7szSmYMZM_380000,9.462,9.923
8jq5lB7_Af0_130000,0.0,1.064
8jq5lB7_Af0_130000,1.336,2.024
8jq5lB7_Af0_130000,9.526,10.0
l_Z1Cl9RS7k_30000,6.938,7.845
l_Z1Cl9RS7k_30000,8.485,10.0
U5TFlr5Ih5Q_60000,0.0,0.221
U5TFlr5Ih5Q_60000,0.431,1.036
U5TFlr5Ih5Q_60000,3.83,4.843
BjKEzvmaQAA_100000,1.492,4.189
BjKEzvmaQAA_100000,4.392,5.822
BjKEzvmaQAA_100000,6.033,6.464
BjKEzvmaQAA_100000,6.667,10.0
8N0f6KMD6xw_450000,0.0,1.392
8N0f6KMD6xw_450000,3.323,3.742
8N0f6KMD6xw_450000,3.88,4.979
8N0f6KMD6xw_450000,5.66,6.155
8N0f6KMD6xw_450000,9.206,9.557
xt6fg3Zwk-8_390000,7.217,9.507
NJm3GOMUszg_120000,0.0,0.107
NJm3GOMUszg_120000,1.546,3.24
NJm3GOMUszg_120000,5.529,8.724
sahVbvsD5mQ_80000,8.828,10.0
-NrpfrEGq5w_40000,1.22,2.127
-NrpfrEGq5w_40000,2.546,3.9
-NrpfrEGq5w_40000,5.158,6.65
-NrpfrEGq5w_40000,6.931,8.065
-NrpfrEGq5w_40000,8.828,9.784
5sjd9zwDDFg_17000,2.734,3.783
vCF-KWMXhSc_150000,0.0,1.828
vCF-KWMXhSc_150000,2.328,4.459
vCF-KWMXhSc_150000,5.087,5.879
vCF-KWMXhSc_150000,6.903,7.253
vCF-KWMXhSc_150000,7.87,8.72
vCF-KWMXhSc_150000,9.046,10.0
z-ehTdI9hkk_160000,2.777,3.424
z-ehTdI9hkk_160000,5.448,6.772
z-ehTdI9hkk_160000,6.99,10.0
lNm8zPp22dQ_450000,7.354,9.039
