 segment_id,start_time_seconds,end_time_seconds
cUAe_N9oODs_0,0.964,1.135
cUAe_N9oODs_0,3.645,3.775
cUAe_N9oODs_0,4.311,4.449
cUAe_N9oODs_0,5.123,5.237
cUAe_N9oODs_0,6.504,7.024
cUAe_N9oODs_0,7.268,7.414
cUAe_N9oODs_0,7.512,7.641
cUAe_N9oODs_0,8.714,8.941
cUAe_N9oODs_0,9.128,9.282
cUAe_N9oODs_0,9.412,9.575
cUAe_N9oODs_0,9.745,9.916
OcnirTasFEk_30000,0.885,1.129
OcnirTasFEk_30000,5.204,5.611
OcnirTasFEk_30000,7.649,8.277
pKxkspcqxlU_90000,1.096,1.227
pKxkspcqxlU_90000,4.072,4.237
ZvAdd4Jb1xA_30000,2.671,2.942
ZvAdd4Jb1xA_30000,4.244,4.507
ZvAdd4Jb1xA_30000,7.487,8.33
7s1hTxxxKW8_30000,0.346,0.614
7s1hTxxxKW8_30000,0.732,0.945
7s1hTxxxKW8_30000,1.102,1.417
7s1hTxxxKW8_30000,2.402,2.535
7s1hTxxxKW8_30000,2.661,2.795
7s1hTxxxKW8_30000,2.898,2.976
7s1hTxxxKW8_30000,3.11,3.189
7s1hTxxxKW8_30000,5.362,5.441
7s1hTxxxKW8_30000,5.606,5.724
7s1hTxxxKW8_30000,5.866,5.953
7s1hTxxxKW8_30000,6.252,6.362
7s1hTxxxKW8_30000,6.866,7.0
7s1hTxxxKW8_30000,7.669,7.724
-x1F1bVe6JM_30000,0.0,0.253
-x1F1bVe6JM_30000,0.594,1.04
-x1F1bVe6JM_30000,2.194,2.649
-x1F1bVe6JM_30000,3.007,3.121
-x1F1bVe6JM_30000,4.196,4.309
-x1F1bVe6JM_30000,4.554,4.659
-x1F1bVe6JM_30000,5.848,6.294
-x1F1bVe6JM_30000,6.495,6.67
-x1F1bVe6JM_30000,7.701,7.858
-x1F1bVe6JM_30000,8.182,8.313
-x1F1bVe6JM_30000,8.698,8.986
NlmTOFjtPpQ_30000,3.247,3.507
NlmTOFjtPpQ_30000,7.731,7.934
NlmTOFjtPpQ_30000,8.616,8.714
NlmTOFjtPpQ_30000,8.868,9.201
NlmTOFjtPpQ_30000,9.624,9.875
0r4zxu38gt0_0,1.309,1.505
