 segment_id,start_time_seconds,end_time_seconds
3zOfKHtXxws_30000,0.387,2.467
3zOfKHtXxws_30000,8.454,8.933
_-c2pttdt5g_30000,4.237,4.478
GiX-9TQI6RM_130000,5.822,6.334
-Z0OfTAK5VU_30000,5.543,6.394
XHzSL1ZUQmo_30000,1.691,2.078
R9fgM0p4MTg_0,0.157,1.283
4YUp45FEi5U_30000,9.884,10.0
lI2Hed2-L0M_0,1.994,2.249
lI2Hed2-L0M_0,2.542,2.783
lI2Hed2-L0M_0,8.778,9.0
aLeh8Mc8_l8_30000,9.842,10.0
28oK-ruIvVw_70000,0.0,0.282
28oK-ruIvVw_70000,1.037,1.191
28oK-ruIvVw_70000,4.847,4.969
28oK-ruIvVw_70000,6.001,6.212
U_Vx4xCaP_E_0,0.571,0.833
U_Vx4xCaP_E_0,1.746,1.995
U_Vx4xCaP_E_0,2.77,3.371
U_Vx4xCaP_E_0,3.745,4.07
U_Vx4xCaP_E_0,4.679,5.273
U_Vx4xCaP_E_0,6.082,6.414
U_Vx4xCaP_E_0,6.608,7.127
U_Vx4xCaP_E_0,7.286,7.535
U_Vx4xCaP_E_0,7.68,9.132
BT-koNYZQzU_30000,0.377,1.145
BT-koNYZQzU_30000,1.29,1.975
BT-koNYZQzU_30000,6.131,6.56
BT-koNYZQzU_30000,7.431,7.825
uZuEn8mguGE_10000,8.546,9.227
SR1jvKfk3ng_2000,5.145,5.371
-Azy5tTojZU_30000,0.0,0.278
u8c8dfSKzkQ_80000,0.0,0.363
OijOyLZzZHQ_70000,3.182,3.364
OijOyLZzZHQ_70000,4.295,4.538
OijOyLZzZHQ_70000,5.164,5.976
OijOyLZzZHQ_70000,8.673,9.737
-8yNBmjX1bE_30000,8.348,8.784
6p4YV8ISD1k_250000,3.575,3.961
6p4YV8ISD1k_250000,8.055,8.307
1GKIgYJMuSw_370000,9.819,10.0
GXQWgHBe6Y0_30000,1.551,1.772
SfXW8PwJsLw_50000,3.118,3.339
xt6fg3Zwk-8_390000,9.448,10.0
VXq7gPVi5Po_2000,4.173,4.416
3fo-fkgWyOo_30000,0.176,1.338
3fo-fkgWyOo_30000,1.919,2.493
3fo-fkgWyOo_30000,3.288,3.952
3fo-fkgWyOo_30000,9.471,10.0
gyv7oH2MDVo_80000,0.701,1.134
0BhhYpDRwVY_30000,5.743,6.101
0BhhYpDRwVY_30000,6.881,7.051
G2kRtFmwk1E_30000,8.143,8.302
G2kRtFmwk1E_30000,8.537,8.738
eFuJQu5wPXM_0,0.641,0.841
eFuJQu5wPXM_0,1.847,2.004
eFuJQu5wPXM_0,2.077,3.014
eFuJQu5wPXM_0,3.767,4.097
gwWfVEvOPhk_510000,1.437,1.839
voBpayt28EI_30000,4.205,4.898
y_TdiMOUOjI_20000,3.763,4.448
y_TdiMOUOjI_20000,5.516,6.002
y_TdiMOUOjI_20000,6.972,7.265
LfIOfnjRKOU_30000,0.0,0.173
LfIOfnjRKOU_30000,7.252,9.929
SSv-Fbud5oA_80000,1.654,1.76
_n3EwOztt-c_10000,0.428,0.68
_n3EwOztt-c_10000,2.361,2.857
Ci5kFLJqyXU_30000,0.64,1.121
AD8YsJamRTU_90000,0.843,1.094
AD8YsJamRTU_90000,8.748,10.0
sNSHV8zlddE_220000,4.522,4.733
OUV58Cw87oY_30000,0.071,0.228
