 segment_id,start_time_seconds,end_time_seconds
cUAe_N9oODs_0,2.979,3.539
OcnirTasFEk_30000,8.347,9.488
3zOfKHtXxws_30000,6.983,8.048
kN06AK8F69U_70000,4.881,6.144
YdFfhvxPe2g_70000,5.921,6.252
YdFfhvxPe2g_70000,7.638,8.11
GiX-9TQI6RM_130000,4.774,5.741
-Z0OfTAK5VU_30000,6.866,7.575
R9fgM0p4MTg_0,8.953,10.0
aSL8YvLPJwA_13000,3.293,3.783
aSL8YvLPJwA_13000,3.938,7.027
aSL8YvLPJwA_13000,7.188,8.581
NkMq6uzS-Z8_27000,6.156,7.085
28oK-ruIvVw_70000,2.491,4.311
28oK-ruIvVw_70000,8.218,9.477
SbTznxQqisg_120000,0.0,0.642
HTNt5L3gjX4_80000,7.334,10.0
OijOyLZzZHQ_70000,0.168,0.818
OijOyLZzZHQ_70000,1.159,1.557
aF_2IDHjRUU_30000,7.065,10.0
xt6fg3Zwk-8_390000,4.323,5.759
z-ehTdI9hkk_160000,3.461,5.41
H9Zwnqr8UF4_30000,1.874,3.244
gyv7oH2MDVo_80000,9.882,10.0
gWxfqR7v0Eg_10000,0.0,0.572
7eufkRDmIzU_10000,9.472,10.0
X350MvrZ7BU_40000,6.441,7.118
y_TdiMOUOjI_20000,0.008,0.405
y_TdiMOUOjI_20000,0.494,1.377
y_TdiMOUOjI_20000,3.019,3.454
y_TdiMOUOjI_20000,4.279,5.295
y_TdiMOUOjI_20000,7.946,8.851
y_TdiMOUOjI_20000,9.271,10.0
AD8YsJamRTU_90000,4.016,4.339
kwUfW2Li_Uk_430000,8.876,10.0
CgeHjJr-CaQ_90000,1.126,2.016
_pXtEUeDXFk_30000,5.092,9.333
_gS-xLrmDPk_400000,7.022,7.924
_gS-xLrmDPk_400000,8.13,8.657
kFWatka_mIo_240000,0.602,1.023
kFWatka_mIo_240000,1.287,1.768
kFWatka_mIo_240000,8.36,9.067
OI-1ob0saio_30000,7.901,9.445
5MZYUwiSfVg_70000,1.215,1.704
5MZYUwiSfVg_70000,7.671,8.153
fIXziy4uYao_20000,1.26,1.817
fIXziy4uYao_20000,2.346,3.229
MPF-nNshbB8_70000,6.437,8.546
7TSlDW_9V9U_30000,0.303,2.193
UwNmMewIp1U_10000,0.0,0.88
A7qS6N7Nf1w_70000,0.29,1.468
A7qS6N7Nf1w_70000,3.141,4.165
A7qS6N7Nf1w_70000,4.676,6.131
mns182wNj9E_40000,0.0,1.012
DL6-uzNe3Ng_40000,0.134,2.705
DL6-uzNe3Ng_40000,2.849,3.103
DL6-uzNe3Ng_40000,3.323,3.856
DL6-uzNe3Ng_40000,4.01,8.251
DL6-uzNe3Ng_40000,9.653,10.0
JZ8gs05Oy-g_30000,8.598,9.543
0FCMzPtyq6g_30000,2.126,3.504
0FCMzPtyq6g_30000,8.992,9.583
JII-fsX8gxE_30000,0.391,1.196
JII-fsX8gxE_30000,3.168,4.229
UX02p1UGbRc_360000,3.604,6.637
cgl8SL73mkA_25000,2.454,3.167
-12Z-4hvmyU_350000,5.539,6.399
BrQz_0O0qlY_470000,5.237,7.333
N2Aq4XhfPNg_10000,8.247,9.049
6HfwD2hpsFU_420000,5.869,6.877
GRUzmRj7f5w_10000,0.528,0.811
GRUzmRj7f5w_10000,2.173,2.606
O267Mi9q0Vc_130000,4.154,5.184
O267Mi9q0Vc_130000,7.871,8.646
nNNDXbSPkEM_230000,0.0,1.504
UU7AWztCls4_0,5.419,7.57
WpwglsgRHGg_550000,9.255,9.609
B1M868KOyAU_20000,0.096,0.214
B1M868KOyAU_20000,0.339,0.867
B1M868KOyAU_20000,0.987,2.666
B1M868KOyAU_20000,2.946,4.934
B1M868KOyAU_20000,5.42,7.099
B1M868KOyAU_20000,7.474,9.175
14G7RSesaYA_60000,5.716,6.728
cRJSf-gQiuc_30000,7.087,8.197
wnXVN7IyGhI_30000,0.151,9.488
RlohgC_lEYM_10000,5.74,6.283
L3Df7jYRzl4_10000,0.581,0.808
L3Df7jYRzl4_10000,0.918,1.227
L3Df7jYRzl4_10000,1.474,1.866
L3Df7jYRzl4_10000,1.983,2.21
Sn-Ys6oYlho_16000,8.835,9.565
kP4Hi__1x84_0,1.654,1.971
kP4Hi__1x84_0,2.317,2.759
kP4Hi__1x84_0,5.309,6.321
AjOUP6RJMZw_190000,0.0,10.0
--OMDPXfO6o_9000,0.116,1.071
36ZvZIQG5jE_24000,4.557,9.623
Orb_lZ88zKs_70000,0.0,3.677
OX9HvIixzZU_170000,0.369,1.219
JQDOqbQwZ88_30000,5.007,7.559
Y4Q2gZybG90_26000,0.0,1.342
Y4Q2gZybG90_26000,5.655,7.447
53kaG5WsNcs_24000,4.496,5.629
53kaG5WsNcs_24000,7.823,8.797
53kaG5WsNcs_24000,9.209,9.692
Vpi3hCbu9Ow_30000,0.573,1.617
Vpi3hCbu9Ow_30000,8.819,9.622
WhCFv8s2gjM_3000,0.0,0.412
WhCFv8s2gjM_3000,9.087,9.583
JRxqDTFvuUk_30000,7.116,7.842
JRxqDTFvuUk_30000,8.189,10.0
JzTzJhQcdf4_0,1.101,1.488
JzTzJhQcdf4_0,3.681,5.024
N-AcU_csqIs_20000,0.0,0.684
N-AcU_csqIs_20000,1.187,2.095
N-AcU_csqIs_20000,2.388,3.883
N-AcU_csqIs_20000,4.763,10.0
GibtR7-QyaQ_5000,7.062,9.022
HCaFdz0mp0o_0,6.707,8.4
kXd3hDYYPO4_40000,4.74,5.346
kXd3hDYYPO4_40000,6.071,7.677
kXd3hDYYPO4_40000,8.543,9.189
3MqN8F3ccDw_10000,5.616,6.006
Ao0n1cqfFDw_20000,5.605,5.916
Ao0n1cqfFDw_20000,8.662,8.973
Ao0n1cqfFDw_20000,9.388,9.734
kPMXLRtInJs_30000,9.364,9.908
akjMQB5tOc8_320000,7.248,7.392
7P6lcyeDKNI_0,9.232,10.0
GfBixmAfiSE_10000,2.979,3.174
GfBixmAfiSE_10000,8.673,8.86
27jqGr5T9Ek_24000,0.846,1.535
