 segment_id,start_time_seconds,end_time_seconds
b0RFKhbpFJA_30000,4.753,5.72
vNuO2muCeNo_0,4.756,5.606
3rmbKeJ_ydE_30000,0.0,2.247
3rmbKeJ_ydE_30000,3.279,4.1
3rmbKeJ_ydE_30000,4.481,5.643
3rmbKeJ_ydE_30000,5.911,10.0
sWdJR9dInhw_19000,5.446,5.792
sWdJR9dInhw_19000,6.546,7.327
sWdJR9dInhw_19000,7.514,8.952
WOFwd-GTeSk_0,2.268,3.252
3uTU95L0F_E_10000,3.386,3.92
3uTU95L0F_E_10000,4.861,5.561
3uTU95L0F_E_10000,7.968,8.495
3uTU95L0F_E_10000,9.443,10.0
ARe0EJjxLgI_140000,6.495,9.681
3zOfKHtXxws_30000,2.759,3.864
3zOfKHtXxws_30000,5.221,5.627
3zOfKHtXxws_30000,5.814,6.269
3zOfKHtXxws_30000,6.455,6.951
3zOfKHtXxws_30000,9.421,9.754
3zOfKHtXxws_30000,9.884,10.0
_-c2pttdt5g_30000,0.856,1.124
_-c2pttdt5g_30000,8.567,8.856
0r4zxu38gt0_0,7.156,7.75
7qZT6AuH_qg_10000,2.76,3.307
7qZT6AuH_qg_10000,3.631,4.341
7qZT6AuH_qg_10000,4.712,5.537
Vik92IFLCW0_250000,0.0,1.52
Vik92IFLCW0_250000,1.78,2.173
Vik92IFLCW0_250000,2.819,3.598
4_8pphEX25g_30000,0.0,0.819
4_8pphEX25g_30000,4.858,6.496
4_8pphEX25g_30000,6.654,9.039
4_8pphEX25g_30000,9.142,10.0
aVdPh-RiNcc_0,0.143,2.942
aVdPh-RiNcc_0,3.439,5.011
aVdPh-RiNcc_0,6.637,7.216
gmBew75tFZs_210000,0.128,0.707
gmBew75tFZs_210000,0.835,1.181
gmBew75tFZs_210000,1.588,1.994
gmBew75tFZs_210000,2.415,4.221
gmBew75tFZs_210000,4.695,7.562
gmBew75tFZs_210000,8.164,9.248
gmBew75tFZs_210000,9.586,10.0
FYlqpw_DjOU_340000,2.016,7.161
FYlqpw_DjOU_340000,7.991,9.506
Y-vIH1M7IV4_30000,0.0,1.374
Y-vIH1M7IV4_30000,7.628,9.549
gDfsE-DEO8s_30000,0.068,0.61
gDfsE-DEO8s_30000,3.807,6.689
gDfsE-DEO8s_30000,7.028,8.164
gDfsE-DEO8s_30000,8.518,10.0
DL2wJuDxsrc_30000,0.623,1.419
DL2wJuDxsrc_30000,1.906,2.93
DL2wJuDxsrc_30000,4.351,4.993
DL2wJuDxsrc_30000,5.302,6.033
DL2wJuDxsrc_30000,8.275,8.746
DL2wJuDxsrc_30000,8.933,10.0
IP76iz_I2hc_160000,0.677,1.61
IP76iz_I2hc_160000,6.02,8.442
IP76iz_I2hc_160000,8.834,9.91
k66bTjbqu0Q_20000,0.394,1.44
k66bTjbqu0Q_20000,1.937,5.394
k66bTjbqu0Q_20000,6.055,7.457
k66bTjbqu0Q_20000,8.307,10.0
tAN1g7ZhE4c_0,5.143,6.597
tAN1g7ZhE4c_0,6.727,7.822
tAN1g7ZhE4c_0,8.354,9.0
-Z0OfTAK5VU_30000,8.913,9.441
N6n-QGFjnZg_30000,0.0,3.466
N6n-QGFjnZg_30000,4.278,4.88
N6n-QGFjnZg_30000,5.042,5.318
N6n-QGFjnZg_30000,5.968,6.715
N6n-QGFjnZg_30000,7.146,8.031
N6n-QGFjnZg_30000,8.243,10.0
3tDgrjEX1mE_30000,8.974,10.0
nsR9YogY2Lc_30000,3.307,5.551
r2RQXZoAs_Q_40000,0.103,1.451
r2RQXZoAs_Q_40000,2.109,4.961
I6ON2x4VJlc_70000,0.156,0.73
AFuLJEP7Qdo_0,8.408,10.0
I3feF0l7WAk_160000,0.233,1.339
I3feF0l7WAk_160000,2.096,2.701
I3feF0l7WAk_160000,3.073,3.772
aCNk-6UiGLI_100000,0.0,0.211
aCNk-6UiGLI_100000,0.405,0.737
aCNk-6UiGLI_100000,1.069,1.311
aCNk-6UiGLI_100000,3.759,4.824
