 segment_id,start_time_seconds,end_time_seconds
s451ci8Fric_30000,0.0,10.0
3rmbKeJ_ydE_30000,0.0,10.0
OcnirTasFEk_30000,0.0,10.0
pKxkspcqxlU_90000,0.0,10.0
seUr9_LHUMQ_50000,0.0,10.0
zfI3S4Pgqg0_5000,5.522,9.002
7qZT6AuH_qg_10000,0.0,9.333
xd0S5JNxKrY_410000,0.0,10.0
euwPrw-I3Gw_340000,0.0,10.0
-RP1-cUHLT8_22000,0.0,9.44
NL63n_7vYSY_30000,0.0,10.0
gmBew75tFZs_210000,0.0,10.0
iPF9iH0iECk_0,0.0,2.695
b4b0Hk3rirs_30000,0.0,10.0
-Z0OfTAK5VU_30000,0.0,10.0
nsR9YogY2Lc_30000,0.0,10.0
I3feF0l7WAk_160000,0.0,10.0
aCNk-6UiGLI_100000,0.0,10.0
HN8v2mMMc9c_30000,0.0,10.0
r1ahlBUJkUE_13000,0.007,9.1
LhSV8rp8wJI_130000,0.0,10.0
28oK-ruIvVw_70000,0.55,1.2
28oK-ruIvVw_70000,1.654,3.019
28oK-ruIvVw_70000,6.715,9.055
kR5xcyfP8jw_30000,0.0,10.0
yR3i-E65xz0_17000,0.0,9.07
bOIwlhn3NR0_30000,0.0,1.932
3Wu1GXUb3MM_26000,0.0,8.841
aJnBeVung88_30000,0.0,10.0
FUNlb0qViSE_10000,0.0,10.0
doifi3hl7Ec_40000,0.0,7.615
doifi3hl7Ec_40000,7.728,10.0
WXhyFfREPHI_30000,0.0,10.0
S7X8VIkM3oU_0,7.701,10.0
HTNt5L3gjX4_80000,0.0,10.0
u8c8dfSKzkQ_80000,0.0,5.903
c0O9In2MD_s_90000,0.0,10.0
-8yNBmjX1bE_30000,0.0,10.0
pyB5ELA_1Zo_90000,0.0,10.0
k7Kop2iZ-iQ_30000,0.0,5.962
TbdGnNEO67g_40000,0.0,10.0
6p4YV8ISD1k_250000,0.0,10.0
S7bJtcD84F0_230000,2.929,10.0
tDvbhlMF4rY_40000,0.0,10.0
yIXzA4IFkkw_23000,0.0,9.77
R4VxBZZ7HqE_80000,0.0,10.0
Gw2hH6xjjzc_10000,0.0,8.467
FaVBRSiCw4w_320000,0.0,10.0
U5TFlr5Ih5Q_60000,0.0,10.0
SfXW8PwJsLw_50000,0.0,10.0
RYkHdf4KFlI_560000,0.0,10.0
vlkjbGwF8cY_30000,0.0,10.0
NJm3GOMUszg_120000,0.0,10.0
sahVbvsD5mQ_80000,0.0,10.0
dSbkC3oKDDc_30000,2.269,9.653
OevrLlXH_pA_30000,0.0,10.0
9qTFbTel0s4_0,0.0,10.0
95JAgJldpCE_10000,4.214,9.337
8qhkT2FufiE_70000,0.0,10.0
z-ehTdI9hkk_160000,0.0,6.742
z-ehTdI9hkk_160000,6.998,10.0
lNm8zPp22dQ_450000,0.0,10.0
VXq7gPVi5Po_2000,0.0,9.053
aWgqsfvIOQo_30000,0.0,10.0
FKWArdlknOk_220000,0.0,10.0
w_gNilSTO4s_190000,0.0,10.0
2b29WCiRpdM_330000,0.0,10.0
nbFT6i3Ks2E_20000,0.0,10.0
pZJkl3yfi10_420000,0.0,10.0
gyv7oH2MDVo_80000,0.0,10.0
76u-cxBfFt4_30000,0.0,10.0
BDY9T3K1qDk_13000,0.0,9.329
3u_WPuhbtnE_30000,0.0,10.0
mlOlU8MGAjo_80000,0.0,10.0
Msy4mmS1DYc_110000,0.0,10.0
Bq5BHjPZk6Y_30000,0.0,10.0
F366TJ4KG0U_30000,0.0,10.0
MYnXmzTqoU0_90000,0.0,10.0
qQkWzOgmru8_20000,0.0,10.0
wFDzME9EshA_20000,0.0,10.0
CK0TRz-C_VQ_4000,2.435,4.565
y_TdiMOUOjI_20000,0.0,10.0
-L68XDzhn2g_80000,0.0,2.491
LfIOfnjRKOU_30000,0.0,10.0
Ci5kFLJqyXU_30000,0.0,10.0
fhFOArLxbA4_530000,0.0,10.0
45FElpwPRnc_460000,0.0,10.0
_S-mfveBhk8_430000,0.0,10.0
kwUfW2Li_Uk_430000,0.0,10.0
S3NRQ-pCnPE_20000,0.0,10.0
68qaX3ZoZek_30000,0.0,10.0
ZW96hV3mr0A_0,0.148,9.309
94KAogR9OsY_30000,0.0,10.0
Pi5si_Ztl88_510000,0.0,10.0
oVwT5cKlQNk_0,0.0,10.0
Ycn81CA5Nsg_30000,0.0,10.0
5FcL-m6dcZs_50000,0.0,10.0
pHpDAdzhNY0_40000,0.0,10.0
YENPuFEAaTg_30000,0.0,10.0
fYC5N-KNdOw_520000,0.0,10.0
jQ66GE1mi6E_50000,0.0,10.0
GSCt61WbjSY_60000,0.0,10.0
gefic-LXX7w_70000,0.0,10.0
-_JNLl_J-_A_13000,0.007,4.11
AR1E_nLhw8k_30000,0.0,10.0
UWzPzjgWVAI_220000,0.0,10.0
tJ5lZY1ihMc_30000,0.0,10.0
VZxbU4YvbgU_40000,8.711,10.0
J8XhYS2lwDM_230000,0.0,10.0
11rTZSQls6g_30000,0.0,10.0
A91D9B1DVro_12000,1.873,9.478
z46zbVIXUzs_60000,0.0,10.0
2mtOnPaSx3A_30000,0.0,10.0
g6h0MKg2-7w_30000,0.0,10.0
Cabn1b2OmCo_0,0.054,10.0
YtmHEUy5EU0_0,5.654,6.048
i9-L5lbNjHU_260000,0.0,10.0
1UR1QzZFcR4_30000,0.0,10.0
WP8D4rrD9_c_120000,0.0,10.0
6ZEtbX95qYo_190000,0.0,10.0
muTEkKFEoGY_30000,0.0,10.0
gpiZcLRrD4A_10000,0.0,2.899
gpiZcLRrD4A_10000,4.928,10.0
6XzmXfelr00_30000,0.0,4.441
k0tIXL-c7mw_30000,0.0,10.0
6XMtieeWQxk_20000,0.0,9.176
0IuJ1tiJb-g_60000,0.0,10.0
MoJvPUTehmo_10000,0.0,10.0
mN5jM3EuMeE_25000,0.0,9.586
ww5BDIxEyeU_30000,0.409,10.0
j2MppcbXj70_18000,0.0,8.981
3RBEKkG5tKo_30000,0.0,10.0
fIXziy4uYao_20000,0.0,9.536
jN2N1QBXa7Y_0,0.05,3.204
ud1W71FeIpo_0,0.307,10.0
vwh2ZcrBpf8_10000,0.0,10.0
TOpIG9mIc-w_50000,0.0,0.341
TOpIG9mIc-w_50000,1.503,1.844
AWXWNjMjano_20000,0.0,10.0
HSsb3Q6_YeE_140000,0.0,10.0
QnnUtkhR-fY_380000,0.0,10.0
a43rlA1JJfo_30000,0.0,10.0
UwNmMewIp1U_10000,0.0,10.0
A7qS6N7Nf1w_70000,0.0,10.0
Pc3hbfvTAtI_14000,0.0,9.862
brEO6DuEYzI_200000,0.0,10.0
DdUurjG2r5w_270000,0.0,10.0
rdmbyYreqiU_10000,0.0,10.0
DL6-uzNe3Ng_40000,0.0,10.0
mMomyUEZPy0_30000,0.0,10.0
ZPDBaLv5y7w_580000,7.106,10.0
2JOc_xN5ALI_30000,0.0,10.0
CSrYYxsMRrg_0,0.0,10.0
Qz8IAE9tQIc_8000,0.0,9.763
yuXLgvxNwNw_16000,0.0,9.31
0l70KR79oOI_30000,0.0,10.0
Z-61wzHZEws_220000,0.0,10.0
sAMgyq-g17s_110000,0.0,10.0
2hk1c8WZtnU_30000,0.0,10.0
Xa3rS8mVT38_30000,0.0,10.0
1-CAHNYl7OY_30000,0.0,10.0
EJrdkGLf0hU_30000,0.0,10.0
zOhWBlir2iA_140000,8.21,10.0
DHHxfs_kQ1c_70000,0.0,10.0
1DKHkGt6A5Y_30000,0.0,10.0
3qUg1gbDRqs_40000,0.0,10.0
7wDeN5TBpss_30000,0.0,10.0
21vfIdV2B60_30000,0.0,10.0
Gphls4tfX4o_20000,0.0,10.0
BrQz_0O0qlY_470000,0.008,10.0
FNazkT6XNcw_30000,0.0,3.461
FNazkT6XNcw_30000,6.29,10.0
npmN7_f2Bq0_180000,0.0,10.0
wqugJOvBkhY_40000,0.0,10.0
dzmy0dOZOgI_110000,4.866,10.0
2qMHE8NMSmA_30000,0.0,10.0
WuVeCabz-c4_10000,0.0,10.0
V2EUcdh7J2E_30000,0.0,5.206
V2EUcdh7J2E_30000,5.529,10.0
MuDDj_zhPHI_50000,5.772,10.0
IXJOl7m4PG8_270000,0.0,10.0
jl5qC38vVWU_0,0.057,10.0
isO3K_xUKy4_20000,0.0,10.0
Prbv6ueWq9k_20000,0.0,10.0
30qO0xQUIcA_30000,0.0,10.0
hTwI-gO0cQ4_30000,0.0,10.0
iYxGFiaOD-M_140000,0.0,10.0
GRUzmRj7f5w_10000,0.0,10.0
9RbIpxpyyRo_50000,0.0,10.0
-z7f__rdRrc_20000,0.0,10.0
LPTsZZVr06o_30000,0.0,10.0
d1gE89KLxcs_180000,0.0,10.0
SRFr69xe2c0_30000,0.0,10.0
GT-vJXmqdE0_310000,0.0,7.44
hYIW3T9_7-c_10000,0.0,10.0
UU7AWztCls4_0,0.0,10.0
S5rMrd1Jb08_0,0.0,9.299
or4xjxo92Oo_30000,0.0,5.055
TJP3HnwwTnQ_70000,0.0,10.0
dneg2OTx8Qs_20000,0.0,10.0
1RWGzyOqJ9k_30000,0.0,10.0
xk2PJK9E2Q0_50000,0.0,10.0
hQjjXq0MYII_550000,0.0,10.0
uwU2xkAoy2I_430000,2.572,10.0
MqDA0h-8IvE_260000,0.0,10.0
Jtjx2lxb4rs_130000,0.0,10.0
to4Fi7Ie9mQ_90000,0.0,10.0
mHUc3agmskc_0,4.85,6.22
ICgHOrzNA-Y_380000,0.0,10.0
gUVOxxb2144_30000,0.0,10.0
pvLbIw5FBiI_130000,0.0,10.0
tVXZDtM237s_30000,0.0,10.0
ugSJHtv-C0A_0,0.054,5.326
iq2X0F83kK8_0,0.496,10.0
D9K-uH_Ngts_30000,0.0,10.0
vGA9whc1dt0_10000,0.0,10.0
kvaX9gWrqJs_240000,0.0,10.0
StHnzqHrTLM_17000,8.155,8.806
14G7RSesaYA_60000,0.0,10.0
-JgOJ9dVCXA_40000,0.0,10.0
IBv6PrBpQ60_210000,3.766,10.0
-FXn0Mc_t_U_30000,0.0,10.0
Qk5bP08Is_8_420000,0.0,10.0
4Qya4ch1qho_30000,3.206,10.0
cRJSf-gQiuc_30000,0.0,10.0
hSj_3aSS2rQ_340000,0.0,10.0
KkUFgoU_LO0_80000,0.0,10.0
tdnCMx5e7Aw_30000,0.0,8.744
tdnCMx5e7Aw_30000,9.082,10.0
p24XuMlN_yo_30000,0.0,10.0
7c29dbjnENA_20000,0.0,9.139
ussCuLzISmA_200000,0.0,10.0
