 segment_id,start_time_seconds,end_time_seconds
XMl9lI7mKsM_50000,0.0,10.0
-FI_F5Lclrg_0,1.179,7.371
-FI_F5Lclrg_0,9.034,10.0
WOFwd-GTeSk_0,0.575,0.576
doDQsgDRZ9w_100000,0.0,10.0
3zOfKHtXxws_30000,0.0,4.457
n_2iNMmiYco_150000,0.0,5.134
n_2iNMmiYco_150000,9.267,10.0
7qZT6AuH_qg_10000,0.0,2.422
845Zjsbezrg_30000,0.0,10.0
pItdNzDM0_8_230000,0.0,10.0
rKBrhg-3HQs_420000,0.0,4.643
aVdPh-RiNcc_0,5.282,10.0
GiX-9TQI6RM_130000,0.0,10.0
3YiF8aSw51g_10000,9.551,10.0
Y-vIH1M7IV4_30000,3.198,10.0
gDfsE-DEO8s_30000,0.0,10.0
DL2wJuDxsrc_30000,0.0,4.441
DL2wJuDxsrc_30000,8.795,10.0
k66bTjbqu0Q_20000,0.0,10.0
VQ30FoRBzDY_200000,0.0,2.444
VQ30FoRBzDY_200000,4.413,5.832
VQ30FoRBzDY_200000,7.156,8.642
nNpDGaqVtSE_0,8.784,10.0
3tDgrjEX1mE_30000,0.42,10.0
XHzSL1ZUQmo_30000,0.0,10.0
4YUp45FEi5U_30000,5.456,6.65
NTBpf7rU9B8_30000,0.0,10.0
aLeh8Mc8_l8_30000,0.0,10.0
1ocPW6Ofyaw_1000,0.0,9.333
_hMJSLg00MQ_320000,0.0,10.0
F9prHHaaGmo_30000,0.0,10.0
bOIwlhn3NR0_30000,1.952,10.0
8NIRGX91Hf8_180000,0.0,10.0
1G5IEKEzQwE_20000,6.204,10.0
XJirC-yJIPw_120000,0.0,10.0
jVcWTLN1OrY_0,0.071,10.0
WXhyFfREPHI_30000,0.0,0.512
WXhyFfREPHI_30000,2.661,3.449
WXhyFfREPHI_30000,5.292,5.547
WXhyFfREPHI_30000,5.899,6.795
GStlakHbgg8_30000,4.331,10.0
3fNdWVCTX1Y_20000,0.0,10.0
bo9lWU4tFzw_290000,0.0,10.0
k7Kop2iZ-iQ_30000,5.887,10.0
6p4YV8ISD1k_250000,0.0,6.866
yxf89RrH61U_200000,1.053,1.821
yxf89RrH61U_200000,4.394,10.0
VPueASe6yxY_440000,0.0,10.0
StCVu_aXZXY_30000,0.0,10.0
1GKIgYJMuSw_370000,4.904,10.0
1SlgQmZlEZA_30000,0.0,10.0
F-59CuClu70_30000,0.008,10.0
aF_2IDHjRUU_30000,0.015,0.941
GXQWgHBe6Y0_30000,0.0,10.0
HdGFlU7nGxc_30000,0.0,10.0
MO_Bdw3YHJ8_290000,0.0,10.0
BBBALtZpiws_0,0.087,10.0
hy7szSmYMZM_380000,0.0,10.0
U5TFlr5Ih5Q_60000,0.966,2.55
U5TFlr5Ih5Q_60000,4.855,7.066
BjKEzvmaQAA_100000,1.451,10.0
NJ4Nu2mrHZY_30000,0.0,10.0
fU_xFg71IB8_50000,0.0,10.0
UYfZfJaBIFw_30000,0.0,10.0
K0NX5GmC2M0_110000,0.0,10.0
EE2_B32ITew_30000,0.0,10.0
x9XWxD6cJuY_90000,7.646,10.0
MMMCcZQ5bLY_120000,0.0,2.026
MMMCcZQ5bLY_120000,2.41,4.948
MMMCcZQ5bLY_120000,5.658,9.43
YbDuhKa6pD0_30000,0.0,10.0
U_o1KnqaF48_30000,0.0,10.0
5sjd9zwDDFg_17000,0.0,8.359
95JAgJldpCE_10000,4.994,6.368
TKh4I1tjdVY_100000,0.0,10.0
H9Zwnqr8UF4_30000,7.748,10.0
3fo-fkgWyOo_30000,0.0,10.0
o_52RulyB1Y_80000,0.0,10.0
FKWArdlknOk_220000,0.0,3.144
2b29WCiRpdM_330000,0.0,10.0
WR2Z2pKE_qk_70000,0.0,10.0
7vBIvetY4SI_30000,1.007,9.102
MZDPbQ0tVKo_30000,0.0,10.0
FQtyo6HAWSI_40000,7.823,8.987
eUJ2S0qC6MU_140000,0.0,10.0
1Y4AmnaymmA_30000,0.03,10.0
IssLKPi6BfQ_0,0.876,10.0
zfp2JGBgzes_240000,0.0,10.0
uCZN4a9AxJs_30000,0.0,10.0
aJm5QDhteMA_90000,6.782,10.0
jd6C4yYFYpg_30000,0.135,0.439
jd6C4yYFYpg_30000,0.55,0.854
jd6C4yYFYpg_30000,0.979,1.691
jd6C4yYFYpg_30000,1.815,10.0
1YYhDn819qM_340000,0.0,10.0
K-quxM8X0xc_30000,0.0,10.0
1aan0wKmRQY_30000,0.0,10.0
eFuJQu5wPXM_0,0.227,4.822
gS0mS7lHNTQ_20000,0.0,10.0
S6Zs5g0hpkY_30000,9.108,10.0
voBpayt28EI_30000,0.0,10.0
7-qrWyG1xQU_50000,0.0,10.0
h1HVpQ0AC-4_220000,0.0,6.232
h1HVpQ0AC-4_220000,7.575,10.0
Gs5A1IUCNlg_30000,0.0,10.0
HwBWMWW2Phg_410000,0.0,10.0
2129spRdjDo_90000,0.0,10.0
TznAj8s5DPk_40000,0.0,10.0
5Y-wIUKiqBE_30000,0.0,10.0
AD8YsJamRTU_90000,0.0,9.567
sNSHV8zlddE_220000,0.0,10.0
OUV58Cw87oY_30000,0.0,10.0
CgeHjJr-CaQ_90000,6.346,10.0
M10kx55QZns_21000,0.0,8.579
xQYdBoZ-G-Y_240000,0.0,10.0
VgSSIjq-itk_0,0.168,10.0
5FcL-m6dcZs_50000,4.52,6.74
77JvW-b2ZS4_30000,2.327,6.401
1uuu_2Q6kXw_30000,0.0,10.0
OZgbc5xyJ7Q_210000,0.0,10.0
v_EUBIkeMoM_10000,0.0,7.836
_oRib1d-9LA_30000,0.0,1.815
_oRib1d-9LA_30000,3.053,10.0
yGymbg9aU28_30000,0.0,10.0
pQtHe7mkbmo_30000,0.0,10.0
JDJUq_95fOQ_50000,0.0,10.0
w-KnxqiaNL4_20000,9.226,10.0
tJ5lZY1ihMc_30000,0.0,10.0
U9xmUOxNBYE_30000,0.0,10.0
I-TQdBT3Ims_0,5.024,10.0
11rTZSQls6g_30000,6.898,10.0
PwowXtmBXyA_30000,0.0,10.0
1vpQ82mtp80_0,0.711,10.0
uGMed45J48w_30000,0.0,9.112
HGoi5lbKM0Y_30000,0.0,10.0
1aIrlmkHjnw_30000,0.0,10.0
ME7N0SmTZV0_80000,0.179,1.852
ME7N0SmTZV0_80000,2.317,4.293
ME7N0SmTZV0_80000,5.089,7.46
ME7N0SmTZV0_80000,8.149,10.0
2XCFddN1Dfg_30000,0.0,10.0
l-6tLqGUvEg_200000,0.0,10.0
YsgJ3s5tBnA_20000,0.0,10.0
QivzaLO6U3U_140000,0.0,10.0
