 segment_id,start_time_seconds,end_time_seconds
NQNTnl0zaqU_70000,6.975,7.869
NQNTnl0zaqU_70000,7.999,8.933
NQNTnl0zaqU_70000,9.063,10.0
-FI_F5Lclrg_0,6.375,8.045
nNpDGaqVtSE_0,0.68,5.708
3tDgrjEX1mE_30000,9.583,9.981
jVcWTLN1OrY_0,0.386,1.622
GStlakHbgg8_30000,6.496,6.701
1SlgQmZlEZA_30000,5.117,5.701
1SlgQmZlEZA_30000,6.292,7.179
1SlgQmZlEZA_30000,8.031,8.395
GXQWgHBe6Y0_30000,1.189,1.37
GXQWgHBe6Y0_30000,1.661,1.772
GXQWgHBe6Y0_30000,4.575,5.299
GXQWgHBe6Y0_30000,7.882,8.252
GXQWgHBe6Y0_30000,8.433,8.811
GXQWgHBe6Y0_30000,8.992,9.559
R4VxBZZ7HqE_80000,2.849,3.804
R4VxBZZ7HqE_80000,5.083,6.072
U5TFlr5Ih5Q_60000,2.55,3.097
K0NX5GmC2M0_110000,1.037,2.087
K0NX5GmC2M0_110000,2.382,2.689
K0NX5GmC2M0_110000,4.43,5.352
K0NX5GmC2M0_110000,8.988,9.462
x9XWxD6cJuY_90000,7.071,8.024
AK4iN4tltjs_250000,8.246,8.592
AK4iN4tltjs_250000,8.873,9.104
AK4iN4tltjs_250000,9.309,10.0
mOLPxAalmhI_30000,0.737,1.395
mOLPxAalmhI_30000,1.89,10.0
S6Zs5g0hpkY_30000,7.956,8.492
7-qrWyG1xQU_50000,0.0,0.906
7-qrWyG1xQU_50000,1.065,1.937
7-qrWyG1xQU_50000,2.04,2.621
7-qrWyG1xQU_50000,2.87,3.313
7-qrWyG1xQU_50000,5.719,7.047
7-qrWyG1xQU_50000,7.31,8.098
h1HVpQ0AC-4_220000,6.493,10.0
StS965keSS8_10000,9.907,10.0
_n3EwOztt-c_10000,1.289,2.329
_n3EwOztt-c_10000,5.822,6.066
OUV58Cw87oY_30000,0.064,0.787
OUV58Cw87oY_30000,0.949,1.712
OUV58Cw87oY_30000,1.891,2.094
OUV58Cw87oY_30000,2.354,4.106
OUV58Cw87oY_30000,5.547,6.252
OUV58Cw87oY_30000,7.154,7.634
OUV58Cw87oY_30000,7.727,8.155
OUV58Cw87oY_30000,8.305,9.451
OUV58Cw87oY_30000,9.832,10.0
ZW96hV3mr0A_0,3.289,9.289
GfcQeSO8NKs_0,0.14,5.728
qqkGKeQkVe8_30000,0.211,0.788
qqkGKeQkVe8_30000,2.354,3.001
qqkGKeQkVe8_30000,4.311,4.881
qqkGKeQkVe8_30000,6.321,6.877
qqkGKeQkVe8_30000,8.208,8.486
5FcL-m6dcZs_50000,2.945,4.342
9fd5hN9ivdE_0,1.528,1.649
1uuu_2Q6kXw_30000,1.693,3.469
1uuu_2Q6kXw_30000,4.522,6.704
OZgbc5xyJ7Q_210000,8.575,9.843
H8qwXObkhxg_30000,7.601,8.34
VZxbU4YvbgU_40000,4.274,4.413
VZxbU4YvbgU_40000,4.93,5.084
VZxbU4YvbgU_40000,5.992,6.117
VZxbU4YvbgU_40000,6.913,7.123
11rTZSQls6g_30000,5.437,5.72
uGMed45J48w_30000,8.36,8.849
uGMed45J48w_30000,9.172,10.0
HGoi5lbKM0Y_30000,0.0,10.0
1aIrlmkHjnw_30000,0.103,3.645
1aIrlmkHjnw_30000,6.114,8.324
1aIrlmkHjnw_30000,9.364,9.591
UoreTst_XYg_140000,0.0,0.493
UoreTst_XYg_140000,3.92,5.787
JGjbcBGVvkc_30000,0.0,10.0
4gCXfIj1xyY_60000,0.0,1.915
4gCXfIj1xyY_60000,2.312,3.388
4gCXfIj1xyY_60000,3.77,4.897
4gCXfIj1xyY_60000,5.472,6.37
4gCXfIj1xyY_60000,6.9,8.932
4gCXfIj1xyY_60000,9.308,10.0
3BbjWM5htKY_260000,0.583,4.047
3BbjWM5htKY_260000,7.362,8.15
