 segment_id,start_time_seconds,end_time_seconds
pKxkspcqxlU_90000,4.382,4.643
pKxkspcqxlU_90000,5.282,5.392
pKxkspcqxlU_90000,8.691,8.815
7s1hTxxxKW8_30000,4.409,5.22
7s1hTxxxKW8_30000,7.394,8.315
7s1hTxxxKW8_30000,8.52,9.126
7s1hTxxxKW8_30000,9.472,10.0
NlmTOFjtPpQ_30000,0.0,0.485
aTh9_IrguMo_30000,0.0,0.647
aTh9_IrguMo_30000,0.834,1.549
aTh9_IrguMo_30000,2.264,2.881
1MjtxzIAz4s_30000,7.079,7.677
I3feF0l7WAk_160000,5.495,6.124
aCNk-6UiGLI_100000,1.815,2.099
aCNk-6UiGLI_100000,2.348,2.542
aCNk-6UiGLI_100000,4.381,4.616
aCNk-6UiGLI_100000,4.762,4.941
aCNk-6UiGLI_100000,5.543,5.757
aCNk-6UiGLI_100000,9.367,9.609
aCNk-6UiGLI_100000,9.734,9.927
4YUp45FEi5U_30000,8.283,8.86
LhSV8rp8wJI_130000,8.438,8.616
U_Vx4xCaP_E_0,5.176,5.439
BT-koNYZQzU_30000,0.239,1.359
WXhyFfREPHI_30000,4.913,5.228
6yTmSBQs_bo_100000,0.725,1.536
OijOyLZzZHQ_70000,4.676,5.034
TbdGnNEO67g_40000,3.577,4.361
yIXzA4IFkkw_23000,9.029,9.115
Gw2hH6xjjzc_10000,1.818,2.723
bOA53yS3bTI_0,7.981,8.57
NJ4Nu2mrHZY_30000,9.492,9.755
NJm3GOMUszg_120000,0.612,0.75
8qhkT2FufiE_70000,4.485,4.596
8qhkT2FufiE_70000,7.825,8.143
8qhkT2FufiE_70000,8.745,8.994
e36RMZUdxcE_40000,0.969,1.425
e36RMZUdxcE_40000,1.661,2.102
e36RMZUdxcE_40000,4.661,5.819
e36RMZUdxcE_40000,6.37,8.535
mlOlU8MGAjo_80000,3.799,4.083
Msy4mmS1DYc_110000,3.117,3.482
qQkWzOgmru8_20000,0.732,1.124
wFDzME9EshA_20000,2.409,2.78
wFDzME9EshA_20000,2.937,3.157
wFDzME9EshA_20000,4.433,4.937
wFDzME9EshA_20000,5.795,5.929
wFDzME9EshA_20000,7.78,7.937
wFDzME9EshA_20000,9.008,9.425
CK0TRz-C_VQ_4000,3.718,3.883
KIK8cEPxMFE_40000,2.023,2.147
pmW0lcxykv8_30000,4.319,4.589
pmW0lcxykv8_30000,7.313,8.6
AD8YsJamRTU_90000,2.984,3.252
AD8YsJamRTU_90000,6.74,7.087
fhFOArLxbA4_530000,1.787,2.008
fhFOArLxbA4_530000,2.118,2.402
fhFOArLxbA4_530000,2.567,2.74
fhFOArLxbA4_530000,2.89,3.031
fhFOArLxbA4_530000,3.488,3.583
45FElpwPRnc_460000,0.0,0.842
45FElpwPRnc_460000,1.265,1.581
45FElpwPRnc_460000,2.28,2.507
45FElpwPRnc_460000,2.889,3.442
45FElpwPRnc_460000,4.083,4.392
45FElpwPRnc_460000,5.72,6.28
45FElpwPRnc_460000,6.783,7.362
45FElpwPRnc_460000,8.087,8.754
45FElpwPRnc_460000,9.198,9.826
94KAogR9OsY_30000,3.394,3.567
94KAogR9OsY_30000,5.677,6.039
94KAogR9OsY_30000,7.079,7.906
pHpDAdzhNY0_40000,4.008,4.243
A91D9B1DVro_12000,0.44,1.067
A91D9B1DVro_12000,4.038,4.187
A91D9B1DVro_12000,5.583,5.829
A91D9B1DVro_12000,5.963,6.135
A91D9B1DVro_12000,6.463,6.866
md_Qh7yl5rM_60000,1.729,1.997
md_Qh7yl5rM_60000,2.151,2.318
md_Qh7yl5rM_60000,2.766,3.227
6XMtieeWQxk_20000,0.0,0.677
6XMtieeWQxk_20000,0.887,1.222
6XMtieeWQxk_20000,2.88,3.168
6XMtieeWQxk_20000,3.51,4.366
m7KNrjqgs8Y_180000,7.909,8.493
LRMGMVCUA9E_8000,4.744,5.825
LRMGMVCUA9E_8000,6.051,6.401
LRMGMVCUA9E_8000,9.185,9.496
F3t3NRFYM_Q_10000,0.575,0.717
NoaWpfdN4mc_20000,0.0,0.452
NoaWpfdN4mc_20000,2.069,2.402
NoaWpfdN4mc_20000,2.767,3.076
NoaWpfdN4mc_20000,4.116,4.579
NoaWpfdN4mc_20000,5.139,5.294
FXQHoSlSr8Y_30000,0.828,1.467
FXQHoSlSr8Y_30000,1.962,2.382
FXQHoSlSr8Y_30000,2.794,3.756
FXQHoSlSr8Y_30000,7.845,8.711
58VC2k91-xg_30000,2.764,3.087
vwh2ZcrBpf8_10000,0.15,0.999
vwh2ZcrBpf8_10000,1.642,4.395
vwh2ZcrBpf8_10000,5.905,6.629
uEZMop-H5fc_90000,1.849,2.499
uEZMop-H5fc_90000,2.922,3.661
uEZMop-H5fc_90000,6.236,6.845
6bYimTpNCdc_370000,0.361,0.663
6bYimTpNCdc_370000,1.206,1.701
rdmbyYreqiU_10000,0.295,0.731
mMomyUEZPy0_30000,4.181,4.506
mMomyUEZPy0_30000,9.802,10.0
2hk1c8WZtnU_30000,0.175,0.769
2hk1c8WZtnU_30000,1.897,3.191
2hk1c8WZtnU_30000,5.42,5.743
pmbXOq5ikiU_130000,7.41,8.883
pmbXOq5ikiU_130000,9.222,9.658
WekpNdCPA-0_140000,3.709,4.283
3qUg1gbDRqs_40000,7.863,8.051
uOVxzZJCQMU_30000,1.516,2.02
bWmxpN73v6Q_30000,0.031,0.402
bWmxpN73v6Q_30000,4.614,5.26
WuVeCabz-c4_10000,1.395,1.809
WuVeCabz-c4_10000,9.615,9.867
07ZXB1501rM_30000,3.227,3.726
Prbv6ueWq9k_20000,0.087,1.961
Prbv6ueWq9k_20000,2.567,3.654
Prbv6ueWq9k_20000,3.819,4.165
Prbv6ueWq9k_20000,4.291,7.087
Prbv6ueWq9k_20000,7.252,10.0
nTjXKvuUhsY_110000,0.377,0.667
nTjXKvuUhsY_110000,1.331,1.961
nTjXKvuUhsY_110000,3.06,3.496
nTjXKvuUhsY_110000,5.211,5.529
nTjXKvuUhsY_110000,5.778,5.944
nTjXKvuUhsY_110000,6.103,6.311
sPy_cVjF1mA_310000,5.546,7.284
fYr1yOdc7WA_30000,5.099,5.334
fYr1yOdc7WA_30000,5.879,6.017
fYr1yOdc7WA_30000,7.95,8.08
Jtjx2lxb4rs_130000,9.185,9.331
e7F7rnT3U3U_70000,0.394,0.717
e7F7rnT3U3U_70000,1.157,1.551
e7F7rnT3U3U_70000,1.764,2.898
e7F7rnT3U3U_70000,3.031,3.52
e7F7rnT3U3U_70000,3.583,5.299
e7F7rnT3U3U_70000,5.449,5.575
14G7RSesaYA_60000,4.637,5.397
Qk5bP08Is_8_420000,3.482,3.807
Qk5bP08Is_8_420000,6.91,7.544
704x1zhSTuw_0,6.969,7.827
z_sdhRMMvJA_20000,6.447,7.079
z_sdhRMMvJA_20000,7.327,7.595
z_sdhRMMvJA_20000,7.911,8.158
OrwximvUjTU_270000,6.894,7.113
GIR9WrZvfV8_90000,0.323,0.89
v8p8szpd-NY_220000,3.74,4.118
7dkHshJUTAE_30000,0.149,0.301
u23hqN0mFlw_10000,6.415,8.28
fCOCl7sFhmw_10000,5.302,6.009
1F4T5wUB064_80000,5.321,7.123
1F4T5wUB064_80000,7.709,7.961
61WRDnJ0nPc_30000,1.143,1.5
r8c_JvNllD4_30000,3.677,4.083
0NOe6SoMpgM_30000,0.709,5.228
WDF7PWPrNHs_280000,3.019,3.683
WDF7PWPrNHs_280000,4.132,4.36
WDF7PWPrNHs_280000,4.533,5.052
WDF7PWPrNHs_280000,6.954,7.396
WDF7PWPrNHs_280000,7.598,7.977
WDF7PWPrNHs_280000,8.261,8.593
WDF7PWPrNHs_280000,8.759,10.0
02pGcYBBG-Y_9000,2.578,2.904
OX9HvIixzZU_170000,4.928,5.107
3kBazgIloaU_30000,4.787,5.055
gf-PBDWNTCU_10000,0.128,0.356
gf-PBDWNTCU_10000,0.529,1.041
gf-PBDWNTCU_10000,4.589,4.962
OZete7K0H9Q_100000,2.109,2.865
OZete7K0H9Q_100000,4.88,5.448
HOpqOrECufQ_0,1.206,1.557
HOpqOrECufQ_0,3.866,4.114
HOpqOrECufQ_0,6.519,6.753
ER4iV6362IM_510000,2.207,4.343
ER4iV6362IM_510000,4.709,5.156
ER4iV6362IM_510000,8.836,9.445
ER4iV6362IM_510000,9.64,10.0
UHrSRDrm_VY_30000,2.183,2.889
JRxqDTFvuUk_30000,1.105,1.874
JRxqDTFvuUk_30000,5.853,6.505
LuVGoAo_89E_100000,1.816,2.247
LuVGoAo_89E_100000,3.921,5.131
8dLOuOtb18U_350000,3.884,4.512
5rcBuVjF2us_7000,6.774,6.991
CQXJmUEnE6c_23000,2.85,3.354
E-drvxhrF_k_370000,0.0,0.992
E-drvxhrF_k_370000,1.52,1.622
E-drvxhrF_k_370000,3.024,3.299
E-drvxhrF_k_370000,3.488,3.764
E-drvxhrF_k_370000,5.661,5.969
E-drvxhrF_k_370000,9.134,9.858
mG7ZlbuEcr4_70000,8.622,9.591
izEBjBuGzQo_5000,2.637,2.987
izEBjBuGzQo_5000,3.149,3.953
izEBjBuGzQo_5000,4.116,4.49
baVQ1PkJ54s_290000,0.0,0.623
baVQ1PkJ54s_290000,1.53,2.361
baVQ1PkJ54s_290000,9.235,9.481
baVQ1PkJ54s_290000,9.702,10.0
HCaFdz0mp0o_0,2.769,3.377
r0BK6IPSr2g_10000,7.56,7.828
XJsCjLlwRUQ_30000,0.0,0.663
XJsCjLlwRUQ_30000,6.155,6.643
XJsCjLlwRUQ_30000,7.309,7.804
VA07bjrTYzU_50000,5.74,6.446
VA07bjrTYzU_50000,6.715,7.103
ZPT9zbueKMs_0,0.34,0.711
ZPT9zbueKMs_0,2.663,3.076
ZPT9zbueKMs_0,5.103,5.694
ZPT9zbueKMs_0,7.784,8.361
ZPT9zbueKMs_0,9.117,9.612
0v3j-Rac59k_30000,9.43,9.637
_JGDbmPK2Es_390000,2.976,3.874
5LEW_H__nmA_18000,4.559,4.89
CvyjRmHoqfg_14000,8.465,8.803
G50gPfHdkSk_24000,1.401,1.846
G50gPfHdkSk_24000,2.298,2.58
G50gPfHdkSk_24000,3.15,3.313
G50gPfHdkSk_24000,6.404,6.743
G50gPfHdkSk_24000,6.83,7.1
G50gPfHdkSk_24000,8.172,8.511
RPNBiacHdlw_230000,2.077,2.467
RPNBiacHdlw_230000,3.726,4.425
RPNBiacHdlw_230000,4.766,6.496
4T62kk9jRP8_30000,8.99,9.226
j39HHZPOcb4_19000,0.899,1.273
j39HHZPOcb4_19000,2.145,2.445
j39HHZPOcb4_19000,7.202,7.503
j39HHZPOcb4_19000,8.144,8.437
f-HvmGIj36E_40000,1.906,2.499
ls6KWdtakb8_30000,1.197,1.85
9PWdRxE7yXE_30000,7.248,7.598
GAPITSG7fQM_0,6.608,6.753
GAPITSG7fQM_0,7.189,7.327
NK-DctgyVuc_30000,0.94,1.395
NK-DctgyVuc_30000,3.734,4.189
7dQJPilhlNU_130000,0.84,1.269
7dQJPilhlNU_130000,1.421,2.286
7dQJPilhlNU_130000,2.493,2.784
7dQJPilhlNU_130000,4.201,4.492
7dQJPilhlNU_130000,7.597,8.019
7dQJPilhlNU_130000,9.651,9.817
AlI7_vIYjro_20000,3.903,4.439
AlI7_vIYjro_20000,6.262,6.754
AlI7_vIYjro_20000,7.692,8.059
DL2DPJMw7As_10000,0.322,0.655
DL2DPJMw7As_10000,0.915,1.265
DL2DPJMw7As_10000,1.451,2.361
DL2DPJMw7As_10000,2.597,3.076
0NH_iIqzQ-4_0,7.039,7.15
dfgeNSIGBVk_70000,4.111,4.485
dfgeNSIGBVk_70000,7.002,7.438
FGAcC29fUHo_30000,1.252,1.787
8DiMXx6k-30_30000,7.521,7.915
gi1UJO3BwUM_520000,7.144,7.898
gi1UJO3BwUM_520000,8.119,8.389
rGxto94eG3k_310000,7.432,8.368
rGxto94eG3k_310000,8.8,9.589
hE6vxMcihXk_30000,4.637,5.253
hE6vxMcihXk_30000,6.027,6.753
TATdZPmzMU8_90000,0.663,1.227
TATdZPmzMU8_90000,7.323,7.454
V_dQLqll5tQ_30000,5.294,5.377
V_dQLqll5tQ_30000,8.759,9.056
meoMdubt3TQ_6000,0.039,0.233
meoMdubt3TQ_6000,0.457,3.371
meoMdubt3TQ_6000,3.478,3.964
meoMdubt3TQ_6000,5.955,7.277
meoMdubt3TQ_6000,7.481,9.229
2LW-pin9aW8_28000,7.556,8.051
qax3RItJVOI_210000,0.948,1.167
qax3RItJVOI_210000,1.33,1.484
qax3RItJVOI_210000,7.235,7.528
fqwz4Kpm4-E_190000,4.464,4.921
fqwz4Kpm4-E_190000,5.356,5.792
CiPkt1ekb_E_30000,0.0,0.22
CiPkt1ekb_E_30000,1.142,5.134
CiPkt1ekb_E_30000,6.583,6.882
CiPkt1ekb_E_30000,7.142,10.0
ZCLg2BD5r7o_240000,5.07,5.721
OcPSeBR2CVY_30000,5.945,6.236
_i5ljTr4zzE_210000,2.087,2.356
_i5ljTr4zzE_210000,2.676,3.201
_i5ljTr4zzE_210000,3.419,3.982
_i5ljTr4zzE_210000,5.275,5.775
_i5ljTr4zzE_210000,6.12,6.569
3C9gbaFQJ1w_30000,3.136,3.593
YZRHQYtDgyU_20000,3.344,3.628
YZRHQYtDgyU_20000,4.059,4.603
YZRHQYtDgyU_20000,4.806,5.107
zxlZh7_0CaM_330000,6.11,6.58
UV82C1IHkYU_310000,8.373,8.868
oOcpiK0vPAk_70000,4.947,5.093
oOcpiK0vPAk_70000,6.369,6.629
oOcpiK0vPAk_70000,9.691,10.0
dLqkPtrPf84_30000,2.433,3.008
n-UxY0PTc5E_80000,0.513,0.885
n-UxY0PTc5E_80000,7.084,7.319
n-UxY0PTc5E_80000,8.863,9.155
HZbBwJm7Ew8_130000,0.543,0.944
HZbBwJm7Ew8_130000,7.659,7.846
HZbBwJm7Ew8_130000,7.991,8.33
s84s6gX2_Zs_90000,1.719,2.004
4LocIx9ISpE_80000,3.738,4.367
SFcAM4Y7x9g_0,2.581,4.622
7-d3xQb7LDk_20000,2.417,3.06
7-d3xQb7LDk_20000,3.448,3.869
7-d3xQb7LDk_20000,4.111,4.609
7-d3xQb7LDk_20000,4.734,6.497
w1jA-Rsrqzk_20000,8.228,8.649
JCYrKbHpSlQ_410000,6.211,6.802
JCYrKbHpSlQ_410000,9.623,10.0
rw2aCO3ZD_w_10000,2.134,2.499
XywjjfVExxA_180000,4.579,4.798
GCvuGb_MtC8_80000,2.085,2.244
GCvuGb_MtC8_80000,2.438,2.784
9BapWiq6MbU_30000,0.0,0.48
9BapWiq6MbU_30000,4.024,4.157
9BapWiq6MbU_30000,8.102,8.488
9BapWiq6MbU_30000,8.709,9.181
9BapWiq6MbU_30000,9.433,9.803
2q4DPK0bJi8_30000,4.514,4.766
2q4DPK0bJi8_30000,5.822,6.163
2q4DPK0bJi8_30000,7.04,7.284
2q4DPK0bJi8_30000,7.853,8.088
ok4A2lGB_hM_340000,0.992,1.496
ok4A2lGB_hM_340000,2.646,3.063
xPOlNJExZsU_260000,0.73,1.338
xPOlNJExZsU_260000,3.178,3.703
xPOlNJExZsU_260000,4.526,4.803
xPOlNJExZsU_260000,5.647,5.771
xPOlNJExZsU_260000,5.958,6.214
xPOlNJExZsU_260000,6.56,7.286
xPOlNJExZsU_260000,7.542,7.811
xPOlNJExZsU_260000,8.074,8.51
7t7RfDh-YKA_20000,8.969,10.0
k9UACS934_Q_80000,9.008,9.488
yWsFcVxtAYQ_0,1.38,2.293
yWsFcVxtAYQ_0,5.425,6.193
yWsFcVxtAYQ_0,6.394,7.203
yWsFcVxtAYQ_0,7.293,8.012
gGL-1zijqX8_80000,2.922,3.174
gGL-1zijqX8_80000,4.295,5.156
gGL-1zijqX8_80000,7.43,8.389
cKanD7GRRC0_110000,8.649,9.071
eV3g3_V_MRI_230000,9.667,10.0
u27q6v3E2nE_280000,6.055,6.592
9x-QBLaaKz0_400000,6.279,6.744
tggA9nysM2M_10000,3.506,7.224
