 segment_id,start_time_seconds,end_time_seconds
3rmbKeJ_ydE_30000,2.304,2.589
3rmbKeJ_ydE_30000,2.784,2.897
3rmbKeJ_ydE_30000,3.052,3.336
ZMFi-kcw7lE_30000,0.225,0.388
ZMFi-kcw7lE_30000,3.458,3.735
ZMFi-kcw7lE_30000,6.903,7.074
Vik92IFLCW0_250000,6.063,6.205
YdFfhvxPe2g_70000,3.622,3.685
aSL8YvLPJwA_13000,0.447,0.607
yR3i-E65xz0_17000,7.82,7.894
3Wu1GXUb3MM_26000,8.413,8.784
WXhyFfREPHI_30000,5.449,5.567
WXhyFfREPHI_30000,6.764,6.913
WXhyFfREPHI_30000,9.165,9.307
z0qomNg_jRM_30000,5.047,5.165
aF_2IDHjRUU_30000,5.049,5.335
aF_2IDHjRUU_30000,9.707,10.0
20pa_fSSyX0_30000,2.061,2.45
20pa_fSSyX0_30000,7.413,7.813
nbFT6i3Ks2E_20000,2.787,2.89
xfxGYKG9_QA_0,0.313,0.442
KBSe43bn6Es_30000,0.512,0.606
KBSe43bn6Es_30000,0.866,1.055
KBSe43bn6Es_30000,1.528,1.685
KBSe43bn6Es_30000,1.874,2.024
KBSe43bn6Es_30000,2.496,2.811
KBSe43bn6Es_30000,2.953,3.031
KBSe43bn6Es_30000,3.543,3.638
KBSe43bn6Es_30000,3.906,4.024
KBSe43bn6Es_30000,5.157,5.276
KBSe43bn6Es_30000,7.598,7.795
KBSe43bn6Es_30000,9.039,9.205
A91D9B1DVro_12000,1.418,1.53
A91D9B1DVro_12000,7.934,8.105
A91D9B1DVro_12000,8.747,8.919
YtmHEUy5EU0_0,2.058,2.127
YtmHEUy5EU0_0,2.749,2.825
YtmHEUy5EU0_0,5.073,5.176
YtmHEUy5EU0_0,6.269,6.38
YtmHEUy5EU0_0,7.127,7.189
YtmHEUy5EU0_0,7.562,7.638
YtmHEUy5EU0_0,8.759,8.842
9fXlUfl4xDg_30000,8.511,8.616
WP8D4rrD9_c_120000,3.781,3.903
6XMtieeWQxk_20000,1.502,1.673
6XMtieeWQxk_20000,2.0,2.07
6XMtieeWQxk_20000,2.771,2.95
6XMtieeWQxk_20000,3.074,3.269
6XMtieeWQxk_20000,3.798,3.938
MoJvPUTehmo_10000,0.337,0.578
nQk4Dq6eMNA_15000,0.417,0.546
zH63wZySFN8_70000,0.827,0.929
jH9znfSNCX4_70000,1.819,2.114
jH9znfSNCX4_70000,2.944,3.176
jH9znfSNCX4_70000,3.901,4.921
jH9znfSNCX4_70000,8.065,8.465
IwU1aHKGreA_250000,2.179,2.368
EkrhoqYWLbQ_80000,5.172,5.478
bXr3UOKTKKI_25000,7.733,7.836
sAMgyq-g17s_110000,7.394,7.457
bbeYuQueKkM_10000,8.0,8.093
VtbOYk9tGsA_14000,0.694,0.768
cgl8SL73mkA_25000,3.024,3.099
cgl8SL73mkA_25000,5.074,5.196
cgl8SL73mkA_25000,7.681,7.789
9_bWXE1SCLU_30000,6.388,6.537
9_bWXE1SCLU_30000,7.81,7.913
9_bWXE1SCLU_30000,9.756,9.821
jl5qC38vVWU_0,1.162,1.357
jl5qC38vVWU_0,2.509,2.777
jl5qC38vVWU_0,3.932,4.119
jl5qC38vVWU_0,5.459,5.743
jl5qC38vVWU_0,6.702,6.921
jl5qC38vVWU_0,8.416,8.587
jl5qC38vVWU_0,9.456,9.683
30qO0xQUIcA_30000,6.74,6.898
qMtvwxJCyrI_160000,1.618,1.776
qMtvwxJCyrI_160000,2.002,2.152
qMtvwxJCyrI_160000,2.611,2.822
OMZPBXsM9ig_30000,7.992,8.142
wjZE-1loc4c_90000,6.894,7.008
kvaX9gWrqJs_240000,9.78,9.929
Qk5bP08Is_8_420000,4.993,5.099
Qk5bP08Is_8_420000,5.261,5.351
Qk5bP08Is_8_420000,5.489,5.611
-Hcn9B9DRqg_90000,0.245,0.37
OrwximvUjTU_270000,5.911,6.171
OrwximvUjTU_270000,6.366,6.504
ussCuLzISmA_200000,5.585,5.874
RlohgC_lEYM_10000,0.024,0.181
RlohgC_lEYM_10000,0.362,0.512
RlohgC_lEYM_10000,1.945,2.055
RlohgC_lEYM_10000,3.874,4.0
RlohgC_lEYM_10000,4.26,4.457
RlohgC_lEYM_10000,5.512,5.654
RlohgC_lEYM_10000,5.756,5.866
ceWSDfJWfaA_260000,0.346,0.623
ceWSDfJWfaA_260000,9.496,9.699
P6V-AA-R05k_80000,4.441,4.528
W_h_ePtzOrk_280000,4.874,5.031
FGMglEQvMlo_230000,4.447,4.733
FGMglEQvMlo_230000,4.853,5.147
FGMglEQvMlo_230000,5.771,5.914
9SvXkH78apA_490000,8.945,9.031
3kBazgIloaU_30000,5.913,6.016
BsqZcBr8o1g_20000,7.63,7.717
HqnR8viGShw_30000,9.362,9.512
j8T59dA9j8A_190000,0.638,0.693
d_y278ixcvU_0,3.928,4.063
2Huj8aBDOLk_4000,9.124,9.265
5_YSkthqVvY_100000,8.738,8.901
mG7ZlbuEcr4_70000,4.409,4.63
6-12KKQ_M10_30000,7.254,7.479
4EukqAFIQPM_100000,2.118,2.345
4EukqAFIQPM_100000,3.392,3.702
4EukqAFIQPM_100000,5.217,5.568
4EukqAFIQPM_100000,7.442,7.586
4EukqAFIQPM_100000,9.88,10.0
Xx8Yllb7hw8_18000,0.772,0.858
Xx8Yllb7hw8_18000,5.362,5.441
Xx8Yllb7hw8_18000,7.055,7.118
5LEW_H__nmA_18000,9.394,9.465
CvyjRmHoqfg_14000,6.78,6.913
QUXBAbruIjk_220000,1.159,1.265
P6MtYXu6j0Q_30000,9.201,9.284
RzzdzztWrqM_150000,2.094,2.402
02JLnVRFNSw_50000,8.748,8.803
K1s__VIHBEg_40000,4.521,4.664
2QmTg9MlkOY_30000,8.645,8.905
8ZInwawBed8_80000,0.834,0.98
8ZInwawBed8_80000,1.143,1.362
0ZPafgZftWk_80000,8.47,8.608
I0RNxhpvars_170000,9.236,9.449
CrWiG7dvZIg_70000,8.766,8.894
CrWiG7dvZIg_70000,9.082,9.233
FGAcC29fUHo_30000,4.78,4.898
8KDkJBhY_SI_0,7.288,7.376
KXWa_nwfl9Q_0,9.835,9.949
8fKrqIhSrw4_60000,4.937,5.024
8fKrqIhSrw4_60000,5.165,5.283
FEAFXhvo1fs_90000,3.535,3.795
ieW_9Jeanag_20000,8.6,8.665
ieW_9Jeanag_20000,9.12,9.193
ieW_9Jeanag_20000,9.656,9.754
M4XDPC98zhg_30000,8.63,8.787
qZnusNShMOY_250000,2.032,2.257
qZnusNShMOY_250000,2.634,2.799
qZnusNShMOY_250000,3.273,3.491
qZnusNShMOY_250000,3.905,4.146
qZnusNShMOY_250000,4.793,5.049
qZnusNShMOY_250000,5.26,5.418
qZnusNShMOY_250000,5.824,6.035
qZnusNShMOY_250000,6.2,6.524
qZnusNShMOY_250000,6.84,7.111
9mHPOkGrCtI_400000,5.465,5.567
KP1yG28HajQ_19000,6.931,7.062
qPXp9184tA0_320000,1.626,1.933
qPXp9184tA0_320000,4.584,4.878
qPXp9184tA0_320000,8.054,8.528
1xt7Dxxu7F4_30000,1.643,1.792
1xt7Dxxu7F4_30000,2.655,3.001
RhE38V1QbM0_90000,5.102,5.311
kY0Gz-FU960_530000,1.633,1.763
hSNujfyaR7E_0,9.717,10.0
WL9WWyjuVLs_10000,1.277,1.37
wL9H1MadQMo_90000,0.504,0.598
wL9H1MadQMo_90000,5.764,5.858
w39FWK8ca9w_7000,3.954,4.064
S6KuRpGB32g_0,8.73,9.006
HbijjxLdyUM_370000,2.063,2.173
HbijjxLdyUM_370000,8.402,8.512
HbijjxLdyUM_370000,8.654,8.756
HbijjxLdyUM_370000,8.874,8.976
HbijjxLdyUM_370000,9.118,9.197
HbijjxLdyUM_370000,9.307,9.402
uVRdgnNIetk_110000,3.575,3.669
pRR0NoGHjVk_50000,7.512,7.701
UV82C1IHkYU_310000,7.179,7.557
UV82C1IHkYU_310000,8.805,8.921
CRzlZj6yQ40_0,5.055,5.11
dLqkPtrPf84_30000,5.205,5.402
uy-U2xwM2WY_30000,0.558,0.688
uy-U2xwM2WY_30000,3.994,4.197
