 segment_id,start_time_seconds,end_time_seconds
b0RFKhbpFJA_30000,6.899,7.01
4PPmyY_-YrA_30000,7.983,8.161
OcnirTasFEk_30000,0.99,1.083
OcnirTasFEk_30000,6.508,6.636
sWdJR9dInhw_19000,1.774,1.836
sWdJR9dInhw_19000,3.406,3.475
sWdJR9dInhw_19000,3.849,3.932
sWdJR9dInhw_19000,8.413,8.475
doDQsgDRZ9w_100000,6.204,6.309
NlmTOFjtPpQ_30000,0.72,0.818
NlmTOFjtPpQ_30000,1.46,1.581
0r4zxu38gt0_0,6.17,6.215
tstg4ljERAY_60000,2.077,2.144
tstg4ljERAY_60000,2.874,2.98
tstg4ljERAY_60000,4.439,4.515
tstg4ljERAY_60000,4.898,4.974
tstg4ljERAY_60000,8.653,8.706
tstg4ljERAY_60000,8.894,8.969
tstg4ljERAY_60000,9.819,9.902
kN06AK8F69U_70000,8.603,8.694
aTh9_IrguMo_30000,1.89,2.036
aTh9_IrguMo_30000,2.532,2.629
18PPxEB6Cb4_540000,4.696,4.831
YdFfhvxPe2g_70000,3.016,3.063
CwQKT8z0OsI_30000,4.591,4.712
CwQKT8z0OsI_30000,6.076,6.2
gDfsE-DEO8s_30000,1.919,1.971
gDfsE-DEO8s_30000,2.965,3.055
gDfsE-DEO8s_30000,3.552,3.604
gDfsE-DEO8s_30000,4.214,4.296
IP76iz_I2hc_160000,0.572,0.64
IP76iz_I2hc_160000,5.576,5.651
nsR9YogY2Lc_30000,4.402,4.48
AFuLJEP7Qdo_0,8.715,8.855
AFuLJEP7Qdo_0,9.427,9.539
I3feF0l7WAk_160000,6.217,6.298
I3feF0l7WAk_160000,7.637,7.753
NkMq6uzS-Z8_27000,0.359,0.445
NkMq6uzS-Z8_27000,0.623,0.702
NkMq6uzS-Z8_27000,5.043,5.108
NkMq6uzS-Z8_27000,5.919,6.017
NkMq6uzS-Z8_27000,7.618,7.697
4YUp45FEi5U_30000,2.67,2.8
4YUp45FEi5U_30000,3.539,3.645
4YUp45FEi5U_30000,6.358,6.472
4YUp45FEi5U_30000,9.559,9.689
lI2Hed2-L0M_0,1.526,1.606
28oK-ruIvVw_70000,5.562,5.692
yR3i-E65xz0_17000,8.91,8.966
U_Vx4xCaP_E_0,3.344,3.468
U_Vx4xCaP_E_0,3.745,3.786
U_Vx4xCaP_E_0,4.243,4.277
U_Vx4xCaP_E_0,5.19,5.239
U_Vx4xCaP_E_0,7.555,7.604
U_Vx4xCaP_E_0,8.413,8.489
doifi3hl7Ec_40000,6.78,6.847
doifi3hl7Ec_40000,7.111,7.186
doifi3hl7Ec_40000,8.585,8.646
vygkCMBTYvE_30000,0.173,0.26
vygkCMBTYvE_30000,2.717,2.976
vygkCMBTYvE_30000,7.118,7.244
tDvbhlMF4rY_40000,1.61,1.663
tDvbhlMF4rY_40000,3.875,3.95
bOA53yS3bTI_0,1.101,1.179
bOA53yS3bTI_0,1.826,1.923
bOA53yS3bTI_0,2.522,2.618
bOA53yS3bTI_0,3.256,3.353
bOA53yS3bTI_0,3.981,4.068
bOA53yS3bTI_0,4.725,4.802
bOA53yS3bTI_0,8.3,8.415
bOA53yS3bTI_0,8.86,8.957
FaVBRSiCw4w_320000,1.145,1.229
FaVBRSiCw4w_320000,6.536,6.648
FaVBRSiCw4w_320000,8.226,8.338
FaVBRSiCw4w_320000,9.791,9.986
8jq5lB7_Af0_130000,3.505,3.557
8jq5lB7_Af0_130000,6.31,6.362
8jq5lB7_Af0_130000,7.831,7.877
8jq5lB7_Af0_130000,8.936,8.988
xt6fg3Zwk-8_390000,6.52,6.594
U_o1KnqaF48_30000,0.256,0.301
U_o1KnqaF48_30000,1.008,1.053
U_o1KnqaF48_30000,2.152,2.235
U_o1KnqaF48_30000,4.146,4.244
U_o1KnqaF48_30000,8.721,8.819
P3QYYc5OOls_30000,1.117,1.215
P3QYYc5OOls_30000,1.341,1.466
P3QYYc5OOls_30000,1.746,1.955
P3QYYc5OOls_30000,4.232,4.316
P3QYYc5OOls_30000,5.293,5.433
P3QYYc5OOls_30000,5.628,5.796
P3QYYc5OOls_30000,8.45,8.547
vCF-KWMXhSc_150000,2.748,2.852
z-ehTdI9hkk_160000,1.385,1.437
z-ehTdI9hkk_160000,1.934,1.986
z-ehTdI9hkk_160000,2.528,2.588
9elyrAhNzS8_140000,8.087,8.142
aWgqsfvIOQo_30000,8.779,8.901
e36RMZUdxcE_40000,0.669,0.764
w_gNilSTO4s_190000,7.999,8.129
2b29WCiRpdM_330000,4.8,4.902
2b29WCiRpdM_330000,7.61,7.699
2b29WCiRpdM_330000,8.961,9.063
gyv7oH2MDVo_80000,4.827,4.913
2H8FC4xTLNE_30000,0.039,0.116
2H8FC4xTLNE_30000,2.164,2.242
FQtyo6HAWSI_40000,4.319,4.436
4nRZMEckRAg_510000,9.921,10.0
Z4ZPceGRAPc_0,4.108,4.184
Z4ZPceGRAPc_0,4.635,4.74
Z4ZPceGRAPc_0,5.696,5.764
Z4ZPceGRAPc_0,6.396,6.464
Z4ZPceGRAPc_0,6.599,6.652
Z4ZPceGRAPc_0,7.065,7.148
Z4ZPceGRAPc_0,7.389,7.487
3u_WPuhbtnE_30000,1.85,1.921
4ertekFHXbg_170000,6.189,6.246
4ertekFHXbg_170000,8.41,8.496
4ertekFHXbg_170000,9.78,9.838
1YYhDn819qM_340000,6.898,6.997
qQkWzOgmru8_20000,0.107,0.217
qQkWzOgmru8_20000,0.423,0.519
qQkWzOgmru8_20000,0.732,0.876
qQkWzOgmru8_20000,1.041,1.179
qQkWzOgmru8_20000,1.344,1.467
qQkWzOgmru8_20000,1.681,1.804
qQkWzOgmru8_20000,1.99,2.127
qQkWzOgmru8_20000,2.313,2.416
qQkWzOgmru8_20000,2.67,2.773
qQkWzOgmru8_20000,2.959,3.083
qQkWzOgmru8_20000,3.282,3.392
qQkWzOgmru8_20000,3.612,3.722
qQkWzOgmru8_20000,3.942,4.045
qQkWzOgmru8_20000,4.237,4.333
qQkWzOgmru8_20000,4.622,4.746
qQkWzOgmru8_20000,4.897,5.0
qQkWzOgmru8_20000,5.206,5.323
qQkWzOgmru8_20000,5.509,5.619
qQkWzOgmru8_20000,5.825,5.921
qQkWzOgmru8_20000,6.155,6.292
qQkWzOgmru8_20000,6.498,6.588
qQkWzOgmru8_20000,6.794,6.918
qQkWzOgmru8_20000,7.124,7.241
qQkWzOgmru8_20000,7.447,7.557
qQkWzOgmru8_20000,7.756,7.9
qQkWzOgmru8_20000,8.052,8.175
qQkWzOgmru8_20000,8.292,8.457
8h-pXiNJlHo_5000,6.918,7.04
7-qrWyG1xQU_50000,7.67,7.773
y_TdiMOUOjI_20000,1.826,1.991
y_TdiMOUOjI_20000,2.78,2.908
y_TdiMOUOjI_20000,7.678,7.889
-L68XDzhn2g_80000,1.121,1.196
-L68XDzhn2g_80000,3.868,3.943
-L68XDzhn2g_80000,4.379,4.439
-L68XDzhn2g_80000,5.35,5.425
-L68XDzhn2g_80000,5.606,5.689
StS965keSS8_10000,0.663,0.766
kH-g4lCZvqo_10000,2.134,2.272
fhFOArLxbA4_530000,4.11,4.315
fhFOArLxbA4_530000,4.598,4.803
45FElpwPRnc_460000,3.73,3.836
45FElpwPRnc_460000,5.411,5.556
GfcQeSO8NKs_0,1.828,1.909
y7uKcIG2kgQ_300000,0.639,0.777
y7uKcIG2kgQ_300000,2.247,2.394
y7uKcIG2kgQ_300000,3.377,3.482
y7uKcIG2kgQ_300000,7.341,7.479
_pXtEUeDXFk_30000,0.338,0.425
_pXtEUeDXFk_30000,2.0,2.097
94KAogR9OsY_30000,0.433,0.52
94KAogR9OsY_30000,0.732,0.803
94KAogR9OsY_30000,2.488,2.551
94KAogR9OsY_30000,3.181,3.236
94KAogR9OsY_30000,3.496,3.543
94KAogR9OsY_30000,3.622,3.677
94KAogR9OsY_30000,3.85,3.913
94KAogR9OsY_30000,4.173,4.22
94KAogR9OsY_30000,4.551,4.598
