 segment_id,start_time_seconds,end_time_seconds
CwQKT8z0OsI_30000,2.374,2.659
CwQKT8z0OsI_30000,2.853,3.126
CwQKT8z0OsI_30000,3.593,3.839
CwQKT8z0OsI_30000,4.228,4.462
CwQKT8z0OsI_30000,4.773,5.045
CwQKT8z0OsI_30000,5.422,5.668
CwQKT8z0OsI_30000,5.927,6.226
CwQKT8z0OsI_30000,6.524,6.887
CwQKT8z0OsI_30000,7.056,7.445
CwQKT8z0OsI_30000,7.899,8.054
CwQKT8z0OsI_30000,8.768,9.04
SR1jvKfk3ng_2000,9.084,9.349
-Azy5tTojZU_30000,1.628,2.064
-Azy5tTojZU_30000,2.58,3.417
K0NX5GmC2M0_110000,0.384,0.615
K0NX5GmC2M0_110000,0.755,0.896
K0NX5GmC2M0_110000,6.389,6.62
_L4PfGXn9uY_30000,8.173,8.291
_L4PfGXn9uY_30000,8.504,8.622
49qnHwM3ms8_30000,0.0,1.072
49qnHwM3ms8_30000,1.356,1.522
49qnHwM3ms8_30000,5.858,6.529
49qnHwM3ms8_30000,6.854,7.919
49qnHwM3ms8_30000,8.327,8.451
49qnHwM3ms8_30000,8.707,8.935
49qnHwM3ms8_30000,9.06,9.385
4nRZMEckRAg_510000,9.567,9.661
Msy4mmS1DYc_110000,3.905,4.092
Msy4mmS1DYc_110000,4.197,4.384
mOLPxAalmhI_30000,0.0,0.907
1YYhDn819qM_340000,6.636,6.767
pmW0lcxykv8_30000,5.46,5.55
pmW0lcxykv8_30000,6.525,6.643
pmW0lcxykv8_30000,7.514,7.638
pmW0lcxykv8_30000,7.998,8.283
pmW0lcxykv8_30000,8.446,8.633
pmW0lcxykv8_30000,9.609,9.72
80tRDZ6c6SI_30000,3.454,3.655
80tRDZ6c6SI_30000,3.952,4.049
80tRDZ6c6SI_30000,5.052,5.28
80tRDZ6c6SI_30000,5.584,6.131
AD8YsJamRTU_90000,2.921,3.024
k4L73axUivk_10000,5.676,6.017
k4L73axUivk_10000,6.547,7.913
k4L73axUivk_10000,8.161,10.0
8HsUSw982IM_110000,5.732,5.89
jN2N1QBXa7Y_0,2.19,2.278
jN2N1QBXa7Y_0,2.839,3.01
3BbjWM5htKY_260000,5.551,5.677
3BbjWM5htKY_260000,7.787,7.945
3BbjWM5htKY_260000,8.244,8.315
3BbjWM5htKY_260000,9.378,9.504
3BbjWM5htKY_260000,9.693,9.803
CXKupPWwO_A_30000,0.517,0.802
CXKupPWwO_A_30000,1.037,1.354
CXKupPWwO_A_30000,3.32,3.637
jH_wKMLQVkA_0,4.773,5.99
uOVxzZJCQMU_30000,3.45,3.888
uOVxzZJCQMU_30000,4.092,4.311
uOVxzZJCQMU_30000,4.587,4.847
bWmxpN73v6Q_30000,2.165,2.378
bWmxpN73v6Q_30000,4.346,4.496
bWmxpN73v6Q_30000,6.15,6.236
bWmxpN73v6Q_30000,6.929,7.008
tVXZDtM237s_30000,4.406,4.551
tVXZDtM237s_30000,4.744,4.928
tVXZDtM237s_30000,5.159,5.275
tVXZDtM237s_30000,5.816,5.952
go00DiADKes_10000,4.348,6.87
kvaX9gWrqJs_240000,5.547,6.414
-FXn0Mc_t_U_30000,0.883,1.112
-FXn0Mc_t_U_30000,1.319,1.651
OmErMs2ZtNM_140000,9.824,10.0
lk4PET8IyIk_20000,3.508,3.828
lk4PET8IyIk_20000,4.366,4.776
NnzSyzQdKUk_60000,0.36,0.487
NnzSyzQdKUk_60000,0.667,0.816
NnzSyzQdKUk_60000,1.109,1.296
NnzSyzQdKUk_60000,2.142,2.27
NnzSyzQdKUk_60000,2.734,2.891
NnzSyzQdKUk_60000,3.348,3.468
NnzSyzQdKUk_60000,4.157,4.322
NnzSyzQdKUk_60000,4.929,4.989
NnzSyzQdKUk_60000,5.363,5.625
NnzSyzQdKUk_60000,6.404,6.592
NnzSyzQdKUk_60000,6.996,7.161
bIacRVAHQZ0_30000,5.299,10.0
bIacRVAHQZ0_30000,8.394,8.606
