 segment_id,start_time_seconds,end_time_seconds
b0RFKhbpFJA_30000,8.534,9.156
ZvAdd4Jb1xA_30000,1.121,2.641
ZvAdd4Jb1xA_30000,3.77,5.455
sWdJR9dInhw_19000,0.0,9.803
7s1hTxxxKW8_30000,0.228,0.992
7s1hTxxxKW8_30000,6.724,7.15
7s1hTxxxKW8_30000,7.984,9.717
3zOfKHtXxws_30000,4.676,10.0
0r4zxu38gt0_0,3.454,4.665
0r4zxu38gt0_0,5.335,6.238
0r4zxu38gt0_0,8.924,10.0
YRS0I6WrjOs_30000,7.82,10.0
4XaFQxTLkfI_30000,0.217,1.632
4XaFQxTLkfI_30000,1.866,4.918
4XaFQxTLkfI_30000,5.467,5.763
4XaFQxTLkfI_30000,6.196,6.835
4XaFQxTLkfI_30000,7.241,7.619
4XaFQxTLkfI_30000,8.045,8.168
4XaFQxTLkfI_30000,8.395,8.794
CwQKT8z0OsI_30000,0.0,5.272
CwQKT8z0OsI_30000,5.825,7.743
CwQKT8z0OsI_30000,8.184,8.768
CwQKT8z0OsI_30000,9.025,9.204
CwQKT8z0OsI_30000,9.675,9.838
N6n-QGFjnZg_30000,0.0,1.679
N6n-QGFjnZg_30000,1.923,3.32
N6n-QGFjnZg_30000,3.693,6.009
N6n-QGFjnZg_30000,7.048,8.113
N6n-QGFjnZg_30000,8.966,10.0
6nMxp46t4Us_30000,2.296,4.018
6nMxp46t4Us_30000,4.295,5.253
kR5xcyfP8jw_30000,0.0,10.0
z0qomNg_jRM_30000,0.0,10.0
dIUthrXjhGM_30000,6.844,7.45
dIUthrXjhGM_30000,8.833,9.491
dIUthrXjhGM_30000,9.693,10.0
FaVBRSiCw4w_320000,0.0,10.0
8N0f6KMD6xw_450000,7.454,8.01
8N0f6KMD6xw_450000,8.56,9.034
tl5XgWJ3xK8_0,1.557,1.793
tl5XgWJ3xK8_0,2.118,2.304
tl5XgWJ3xK8_0,4.733,4.977
tl5XgWJ3xK8_0,5.521,5.976
tl5XgWJ3xK8_0,6.951,7.308
tl5XgWJ3xK8_0,8.844,9.006
tl5XgWJ3xK8_0,9.648,9.835
ULn77Pw3sos_0,0.024,10.0
_L4PfGXn9uY_30000,6.661,6.811
9qTFbTel0s4_0,7.22,10.0
9elyrAhNzS8_140000,0.0,10.0
AoRZRRn0cS8_14000,0.007,9.077
YbJimAUET_I_0,1.15,1.638
YbJimAUET_I_0,2.97,4.478
gWxfqR7v0Eg_10000,0.0,10.0
4nRZMEckRAg_510000,9.567,10.0
0BhhYpDRwVY_30000,0.52,0.715
0BhhYpDRwVY_30000,1.202,1.535
0BhhYpDRwVY_30000,1.698,2.957
0BhhYpDRwVY_30000,3.355,3.647
0BhhYpDRwVY_30000,4.005,4.939
0BhhYpDRwVY_30000,6.109,6.361
0BhhYpDRwVY_30000,8.156,10.0
jD5wQWI23EA_30000,0.833,1.006
jD5wQWI23EA_30000,1.546,1.712
jD5wQWI23EA_30000,3.558,5.647
jD5wQWI23EA_30000,5.923,8.551
LfIOfnjRKOU_30000,0.157,0.37
LfIOfnjRKOU_30000,0.512,1.528
LfIOfnjRKOU_30000,2.071,2.228
LfIOfnjRKOU_30000,3.071,3.858
LfIOfnjRKOU_30000,4.362,5.173
LfIOfnjRKOU_30000,5.772,6.417
LfIOfnjRKOU_30000,6.606,7.134
LfIOfnjRKOU_30000,7.26,7.906
LfIOfnjRKOU_30000,8.197,8.898
LfIOfnjRKOU_30000,9.15,9.378
LfIOfnjRKOU_30000,9.638,10.0
ECcj9K2AzOg_100000,1.578,2.835
ECcj9K2AzOg_100000,3.351,3.942
ECcj9K2AzOg_100000,4.519,10.0
p58PQVpnDsw_30000,0.0,1.924
p58PQVpnDsw_30000,2.106,2.805
p58PQVpnDsw_30000,2.967,3.902
p58PQVpnDsw_30000,4.246,4.429
p58PQVpnDsw_30000,4.633,4.881
KrO8LpwM70k_250000,0.0,5.301
KrO8LpwM70k_250000,6.146,7.606
KrO8LpwM70k_250000,8.822,10.0
IRLbAEX944w_30000,0.0,10.0
AnO7mJEbiSM_520000,0.0,10.0
KBSe43bn6Es_30000,4.268,6.252
KBSe43bn6Es_30000,6.661,9.236
A91D9B1DVro_12000,0.455,1.037
A91D9B1DVro_12000,1.358,1.814
A91D9B1DVro_12000,2.03,4.351
A91D9B1DVro_12000,4.739,5.657
z46zbVIXUzs_60000,7.063,7.465
Ifz_WKP6aVI_10000,0.0,0.493
Ifz_WKP6aVI_10000,0.996,2.865
Ifz_WKP6aVI_10000,3.199,4.067
Ifz_WKP6aVI_10000,4.397,4.494
Ifz_WKP6aVI_10000,5.001,6.269
8HsUSw982IM_110000,6.819,7.528
g-qtrrNFXSs_60000,5.33,5.9
g-qtrrNFXSs_60000,6.808,7.866
3vEA-7tSLoo_30000,0.0,2.579
3vEA-7tSLoo_30000,2.848,3.397
3vEA-7tSLoo_30000,3.945,4.773
3vEA-7tSLoo_30000,4.945,5.225
3vEA-7tSLoo_30000,5.429,5.902
ya3i_wMz9nU_0,0.266,1.7
ya3i_wMz9nU_0,1.84,2.241
ya3i_wMz9nU_0,2.573,2.938
ya3i_wMz9nU_0,3.326,3.661
ya3i_wMz9nU_0,4.331,5.579
ya3i_wMz9nU_0,5.67,5.815
YiPw_DWRw8s_30000,0.0,2.289
YiPw_DWRw8s_30000,2.764,3.946
A_sjWfW-lfk_40000,7.82,9.169
A_sjWfW-lfk_40000,9.624,9.884
4Ky6sRuu9bY_30000,7.094,7.465
4Ky6sRuu9bY_30000,7.78,7.882
4Ky6sRuu9bY_30000,8.331,10.0
nwQQLxEuIGY_30000,0.316,0.67
nwQQLxEuIGY_30000,0.948,5.786
nwQQLxEuIGY_30000,6.734,8.194
nwQQLxEuIGY_30000,9.338,10.0
K15EDFh3IZY_11000,0.0,9.387
PE-U8iMqwho_80000,2.621,3.174
PE-U8iMqwho_80000,9.356,9.843
2E_2Gnoj8_Y_30000,0.045,0.239
2E_2Gnoj8_Y_30000,0.481,0.716
2E_2Gnoj8_Y_30000,1.311,1.608
2E_2Gnoj8_Y_30000,1.732,2.438
2E_2Gnoj8_Y_30000,2.749,3.116
2E_2Gnoj8_Y_30000,3.413,4.782
2E_2Gnoj8_Y_30000,5.045,5.211
2E_2Gnoj8_Y_30000,5.398,7.161
2E_2Gnoj8_Y_30000,7.376,8.247
2E_2Gnoj8_Y_30000,8.496,8.828
2E_2Gnoj8_Y_30000,9.028,10.0
NJ5P3Yy150I_30000,0.795,10.0
zPARz8Y48WE_330000,0.0,10.0
Un7Yvajn3RY_60000,0.0,10.0
bKZxCu5vn8s_30000,0.0,2.306
bKZxCu5vn8s_30000,2.887,3.351
bKZxCu5vn8s_30000,6.193,10.0
brEO6DuEYzI_200000,5.483,7.509
brEO6DuEYzI_200000,8.498,10.0
jH9znfSNCX4_70000,2.313,3.933
jH9znfSNCX4_70000,5.689,10.0
jH_wKMLQVkA_0,0.237,0.457
jH_wKMLQVkA_0,0.773,3.198
jH_wKMLQVkA_0,3.614,5.179
jH_wKMLQVkA_0,5.75,6.232
jH_wKMLQVkA_0,6.879,7.121
jH_wKMLQVkA_0,7.623,9.314
jH_wKMLQVkA_0,9.604,10.0
hT97CiTFXHY_230000,9.412,10.0
IwU1aHKGreA_250000,0.0,1.484
IwU1aHKGreA_250000,2.958,4.705
IwU1aHKGreA_250000,4.863,5.221
IwU1aHKGreA_250000,6.053,6.526
JZ8gs05Oy-g_30000,0.433,1.299
JZ8gs05Oy-g_30000,1.803,2.591
JZ8gs05Oy-g_30000,2.85,3.346
EkrhoqYWLbQ_80000,9.216,10.0
sAMgyq-g17s_110000,2.504,3.126
sAMgyq-g17s_110000,3.228,3.299
sAMgyq-g17s_110000,9.575,9.819
9Z8ikRREnT4_30000,0.175,0.34
9Z8ikRREnT4_30000,1.034,1.433
9Z8ikRREnT4_30000,1.674,2.168
9Z8ikRREnT4_30000,2.32,4.993
9Z8ikRREnT4_30000,5.199,6.423
9Z8ikRREnT4_30000,6.581,6.711
9Z8ikRREnT4_30000,6.828,8.114
9Z8ikRREnT4_30000,8.581,8.794
9Z8ikRREnT4_30000,8.979,9.681
pX5tBmYNJd8_50000,0.0,9.543
zOhWBlir2iA_140000,2.062,2.893
zOhWBlir2iA_140000,3.385,4.341
TZgRQShtPQk_180000,4.603,5.481
TZgRQShtPQk_180000,7.983,8.608
uOVxzZJCQMU_30000,0.0,0.834
uOVxzZJCQMU_30000,0.964,3.214
uOVxzZJCQMU_30000,3.434,5.481
uOVxzZJCQMU_30000,5.806,6.041
uOVxzZJCQMU_30000,6.407,7.885
1PIqpwK7Lb4_0,1.025,1.431
1PIqpwK7Lb4_0,1.645,2.114
1PIqpwK7Lb4_0,2.299,2.555
1PIqpwK7Lb4_0,2.761,3.04
1PIqpwK7Lb4_0,3.256,3.736
Xd-vRfL8leY_30000,6.0,8.323
ZQtMTeFkJ84_30000,0.0,0.737
ZQtMTeFkJ84_30000,1.795,3.371
ZQtMTeFkJ84_30000,3.572,4.132
ZQtMTeFkJ84_30000,7.991,8.434
ZQtMTeFkJ84_30000,8.904,10.0
XgvmNbsv2CY_180000,1.717,3.134
sPy_cVjF1mA_310000,0.0,0.363
sPy_cVjF1mA_310000,0.915,1.906
sPy_cVjF1mA_310000,2.629,3.304
sPy_cVjF1mA_310000,3.661,4.027
sPy_cVjF1mA_310000,6.066,7.601
sPy_cVjF1mA_310000,8.178,8.405
to4Fi7Ie9mQ_90000,3.764,4.465
pvLbIw5FBiI_130000,0.152,1.784
pvLbIw5FBiI_130000,3.385,4.912
pvLbIw5FBiI_130000,5.976,8.186
pvLbIw5FBiI_130000,8.6,10.0
hBAa-9pHSwE_30000,0.0,10.0
--IVng5n_Mw_15000,1.575,9.002
qeieIOKLwmM_5000,0.0,2.063
qeieIOKLwmM_5000,2.592,3.109
qeieIOKLwmM_5000,3.416,4.75
qeieIOKLwmM_5000,4.966,5.691
qeieIOKLwmM_5000,5.868,7.659
qeieIOKLwmM_5000,8.346,8.914
Fl4bhI_GPW8_40000,1.979,3.596
Fl4bhI_GPW8_40000,4.62,6.212
Fl4bhI_GPW8_40000,9.551,10.0
CgKqsds8qmQ_30000,0.008,0.622
CgKqsds8qmQ_30000,6.937,10.0
vTVKrzxw4RY_420000,0.0,0.299
vTVKrzxw4RY_420000,3.392,3.66
vTVKrzxw4RY_420000,4.272,4.732
vTVKrzxw4RY_420000,5.179,5.412
vTVKrzxw4RY_420000,6.258,6.402
vTVKrzxw4RY_420000,6.787,7.076
vTVKrzxw4RY_420000,7.653,7.921
vTVKrzxw4RY_420000,8.505,8.725
vTVKrzxw4RY_420000,9.426,9.818
1ERr7V0brQ4_30000,0.0,10.0
lk4PET8IyIk_20000,1.012,2.279
lk4PET8IyIk_20000,2.548,2.971
lk4PET8IyIk_20000,3.15,3.636
lk4PET8IyIk_20000,4.904,6.287
lk4PET8IyIk_20000,6.799,7.734
lk4PET8IyIk_20000,7.9,10.0
TGZDLme1yco_30000,0.0,10.0
8MLyXIN6baA_30000,6.582,10.0
-gjwehwxRHA_30000,0.015,10.0
YiNSqj8rpMg_50000,5.911,10.0
7IcHHjvLDuw_26000,0.0,2.836
9xFjex7DTsA_40000,0.444,2.746
