 segment_id,start_time_seconds,end_time_seconds
b0RFKhbpFJA_30000,0.0,10.0
ZvAdd4Jb1xA_30000,0.0,10.0
sWdJR9dInhw_19000,0.0,9.803
3zOfKHtXxws_30000,0.0,10.0
0r4zxu38gt0_0,0.083,10.0
gICZlgNZuzo_370000,0.0,10.0
tstg4ljERAY_60000,0.0,10.0
YdFfhvxPe2g_70000,0.0,9.465
4XaFQxTLkfI_30000,0.008,10.0
CwQKT8z0OsI_30000,0.0,10.0
N6n-QGFjnZg_30000,0.0,10.0
nsR9YogY2Lc_30000,0.0,10.0
r2RQXZoAs_Q_40000,0.0,10.0
I6ON2x4VJlc_70000,0.0,10.0
n2b1L62_WvY_30000,0.0,10.0
99Bhn0OHqYo_70000,0.0,10.0
OijOyLZzZHQ_70000,0.0,10.0
Glu7-_KNUXo_140000,0.0,10.0
aehFUA2CRmY_90000,0.0,10.0
WMjytu6-ltE_20000,0.0,10.0
8jq5lB7_Af0_130000,0.0,10.0
bbb63TfcYMo_6000,0.0,9.745
U_o1KnqaF48_30000,0.0,10.0
P3QYYc5OOls_30000,0.0,10.0
9qTFbTel0s4_0,0.0,10.0
e36RMZUdxcE_40000,0.0,10.0
HunNHkOaWu0_30000,0.0,10.0
h494ZDC2b7M_20000,0.0,10.0
uay6kywfnjk_30000,0.0,10.0
Z4ZPceGRAPc_0,0.038,10.0
0BhhYpDRwVY_30000,0.0,10.0
8h-pXiNJlHo_5000,0.0,10.0
StS965keSS8_10000,0.0,10.0
HdDDpkC03y0_0,0.113,10.0
80tRDZ6c6SI_30000,0.0,10.0
ECcj9K2AzOg_100000,0.0,10.0
_S-mfveBhk8_430000,0.0,10.0
kwUfW2Li_Uk_430000,7.095,10.0
0EhV4zJk9V8_150000,0.0,10.0
NcnwtFbHhGM_0,0.0,10.0
KBSe43bn6Es_30000,0.0,10.0
bW_PMIAIHBE_40000,0.0,10.0
H8qwXObkhxg_30000,0.0,10.0
C27eNiXJAHg_30000,0.0,10.0
k4L73axUivk_10000,0.0,10.0
8HsUSw982IM_110000,0.0,9.181
g6h0MKg2-7w_30000,0.0,10.0
kFWatka_mIo_240000,0.0,10.0
ya3i_wMz9nU_0,0.101,5.944
j4EjXoLGSxE_130000,0.0,10.0
YiPw_DWRw8s_30000,0.0,10.0
0wVH8azj0CI_30000,0.0,10.0
A_sjWfW-lfk_40000,0.0,10.0
S3mtWXrLhsg_180000,0.0,10.0
PE-U8iMqwho_80000,0.0,10.0
2jp9prS9Q0E_30000,0.0,10.0
